Symbol,Date,Open,High,Low,Close,Volume,SNCR SMA,SNCR spanTwelveEMA,SNCR spanTwntySixEMA,SNCR_x,SNCR_y
SNCR,2021-04-09,3.52,3.52,3.52,3.52,879,3.52,3.752436241641561,3.949984558429665,-0.1975483167881035,-0.16603731978077058
SNCR,2021-04-08,3.55,3.55,3.5328,3.5328,4143,3.5328,3.794697376485481,3.984383323104038,-0.1896859466185567,-0.1581595705289372
SNCR,2021-04-07,3.63,3.63,3.63,3.63,4811,3.63,3.842315081301023,4.020509988952361,-0.1781949076513376,-0.1502779765065323
SNCR,2021-04-06,3.63,3.63,3.63,3.63,2620,3.63,3.8809178233557535,4.051750788068549,-0.1708329647127948,-0.14329874372033097
SNCR,2021-04-05,3.89,3.89,3.875,3.875,5502,3.875,3.9265392457840735,4.085490851114033,-0.1589516053299591,-0.1364151884722148
SNCR,2021-04-05,3.89,3.89,3.875,3.875,5502,3.875,3.935910017744814,4.102330119203155,-0.1664201014583413,-0.1307810842577787
SNCR,2021-04-01,3.64,3.64,3.64,3.64,3321,3.64,3.946984566425689,4.120516528739407,-0.1735319623137181,-0.12187132995763805
SNCR,2021-03-31,3.67,3.74,3.67,3.74,2385,3.74,4.0027999421394505,4.15895785103856,-0.1561579088991092,-0.10895617186861802
SNCR,2021-03-30,3.74,3.78,3.74,3.78,4841,3.78,4.050581749801168,4.192474479121644,-0.1418927293204763,-0.09715573761099522
SNCR,2021-03-29,3.89,3.89,3.89,3.89,2114,3.89,4.099778431583199,4.225472437451376,-0.1256940058681763,-0.08597148968362493
SNCR,2021-03-26,3.93,3.99,3.93,3.99,1764,3.99,4.137919964598326,4.252310232447486,-0.1143902678491599,-0.07604086063748684
SNCR,2021-03-25,3.77,3.77,3.74,3.74,7667,3.74,4.164814503616204,4.273295051043284,-0.1084805474270806,-0.06645350883456856
SNCR,2021-03-24,4.02,4.02,4.02,4.02,2113,4.02,4.242053504273695,4.315958655126747,-0.0739051508530517,-0.05594674918644053
SNCR,2021-03-23,4.08,4.08,4.08,4.08,2473,4.08,4.282426868687095,4.339635347536886,-0.057208478849791,-0.05145714876978772
SNCR,2021-03-22,4.24,4.26,4.24,4.25,5034,4.25,4.31923175390293,4.360406175339836,-0.0411744214369065,-0.05001931624978687
SNCR,2021-03-19,4.24,4.28,4.24,4.28,136029,4.28,4.3318193455216445,4.369238669367023,-0.0374193238453788,-0.05223053995300696
SNCR,2021-03-18,4.37,4.37,4.36,4.36,4187,4.36,4.341241044707398,4.376377762916385,-0.035136718208987,-0.05593334397991398
SNCR,2021-03-17,4.22,4.22,4.22,4.22,17526,4.22,4.337830325563289,4.377687983949696,-0.0398576583864072,-0.06113250042264572
SNCR,2021-03-16,4.66,4.66,4.66,4.66,2680,4.66,4.35925402112025,4.390303022665671,-0.031049001545421,-0.06645121093170535
SNCR,2021-03-15,4.58,4.58,4.58,4.58,5077,4.58,4.304572934051205,4.368727264478925,-0.0641543304277201,-0.07530176327827644
SNCR,2021-03-12,4.53,4.53,4.53,4.53,4913,4.53,4.254495285696878,4.351825445637238,-0.0973301599403599,-0.07808862149091551
SNCR,2021-03-11,4.13,4.15,4.13,4.131,7780,4.131,4.204403519459946,4.337571481288217,-0.1331679618282706,-0.07327823687855439
SNCR,2021-03-10,4.04,4.045,4.0,4.045,8719,4.045,4.21774961390721,4.3540971997912745,-0.1363475858840646,-0.058305805641125336
SNCR,2021-03-09,3.65,3.65,3.3,3.49,60816,3.49,4.249158634617611,4.3788249757745765,-0.1296663411569651,-0.03879536058039052
SNCR,2021-03-08,4.01,4.1,4.01,4.1,5338,4.1,4.387187477275359,4.449930973836543,-0.0627434965611843,-0.01607761543624685
SNCR,2021-03-05,4.5419,4.5419,3.98,3.98,5190,3.98,4.439403382234515,4.477925451743467,-0.0385220695089518,-0.0044111451550124655
SNCR,2021-03-04,4.34,4.445,4.34,4.445,10136,4.445,4.522931269913518,4.517759487882945,0.0051717820305734,0.004116585933472387
SNCR,2021-03-03,4.61,4.61,4.61,4.61,1564,4.61,4.537100591715976,4.52358024691358,0.0135203448023961,0.0038527869091971216
SNCR,2021-03-02,4.6,4.6,4.6,4.6,984,4.6,4.523846153846153,4.516666666666667,0.0071794871794867,0.0014358974358973599
SNCR,2021-03-01,4.5,4.52,4.5,4.51,2732,4.51,4.51,4.51,0.0,0.0
