Symbol,Date,Open,High,Low,Close,Volume,CIG SMA,CIG spanTwelveEMA,CIG spanTwntySixEMA,CIG_x,CIG_y
CIG,2021-04-09,2.2,2.2,2.19,2.19,59331,2.19,2.200258821963961,2.1723210410744955,0.0279377808894656,0.029009270950408377
CIG,2021-04-08,2.24,2.24,2.22,2.22,94231,2.22,2.2021240623210447,2.170906724360455,0.0312173379605895,0.02927714346564406
CIG,2021-04-07,2.24,2.24,2.23,2.23,105621,2.23,2.198873891833962,2.166979262309292,0.0318946295246704,0.028792094841907683
CIG,2021-04-06,2.18,2.18,2.18,2.18,20088,2.18,2.193214599440137,2.161937603294035,0.0312769961461016,0.028016461171217096
CIG,2021-04-05,2.22,2.24,2.22,2.225,81432,2.225,2.195617253883798,2.160492611557558,0.0351246423262399,0.027201327427495946
CIG,2021-04-05,2.22,2.24,2.22,2.225,81432,2.225,2.190274936408125,2.1553320204821627,0.0349429159259622,0.025220498702809954
CIG,2021-04-01,2.29,2.29,2.285,2.2853,32577,2.2853,2.1839612884823296,2.1497585821207355,0.0342027063615941,0.022789894397021886
CIG,2021-03-31,2.22,2.23,2.215,2.22,60142,2.22,2.1655360682063893,2.1389152686903943,0.026620799515995,0.019936691405878813
CIG,2021-03-30,2.19,2.19,2.1701,2.175,37341,2.175,2.1556335351530054,2.132428490185626,0.0232050449673795,0.01826566437834975
CIG,2021-03-29,2.19,2.21,2.19,2.21,126245,2.21,2.1521123597262792,2.129022769400476,0.0230895903258034,0.01703081923109231
CIG,2021-03-26,2.14,2.15,2.13,2.145,98311,2.145,2.1415873342219665,2.1225445909525136,0.0190427432694528,0.015516126457414625
CIG,2021-03-25,2.08,2.1,2.08,2.1,34257,2.1,2.140966849535052,2.1207481582287144,0.0202186913063369,0.014634472254405062
CIG,2021-03-24,2.18,2.18,2.17,2.17,21187,2.17,2.148415367632333,2.122408010887012,0.0260073567453216,0.013238417491421987
CIG,2021-03-23,2.2,2.2,2.19,2.19,25894,2.19,2.1444908890200303,2.1186006517579727,0.0258902372620575,0.01004618267794719
CIG,2021-03-22,2.22,2.235,2.22,2.235,26711,2.235,2.13621650520549,2.1128887038986104,0.0233278013068796,0.0060851690319196055
CIG,2021-03-19,2.2,2.219,2.2,2.219,43361,2.219,2.1182558697883063,2.103119800210499,0.0151360695778071,0.001774510963179603
CIG,2021-03-18,2.14,2.145,2.14,2.14,15802,2.14,2.099938755204362,2.093849384227339,0.0060893709770231,-0.001565878690477274
CIG,2021-03-17,2.08,2.08,2.07,2.07,24307,2.07,2.092654892514246,2.090157334965526,0.00249755754872,-0.0034796911073523705
CIG,2021-03-16,2.16,2.16,2.16,2.16,51967,2.16,2.0967739638804725,2.091769921762768,0.0050040421177044,-0.004974003271370477
CIG,2021-03-15,2.14,2.14,2.13,2.135,36354,2.135,2.0852783209496493,2.0863115155037897,-0.0010331945541404,-0.007468514618639207
CIG,2021-03-12,2.13,2.13,2.13,2.13,32983,2.13,2.076238015667767,2.082416436744093,-0.006178421076326,-0.009077344634763904
CIG,2021-03-11,2.13,2.13,2.12,2.1211,143717,2.1211,2.066463109425543,2.078609751683621,-0.0121466422580778,-0.009802075524373368
CIG,2021-03-10,2.02,2.02,2.0,2.01,105139,2.01,2.0565291293210963,2.0752105318183105,-0.0186814024972141,-0.009215933840947254
CIG,2021-03-09,1.99,1.99,1.9695,1.97,145851,1.97,2.064988971015841,2.080427374363776,-0.0154384033479342,-0.0068495666768805235
CIG,2021-03-08,2.05,2.06,2.04,2.055,62194,2.055,2.082259693018721,2.0892615643128774,-0.0070018712941561,-0.004702357509116986
CIG,2021-03-05,2.11,2.11,2.095,2.095,37066,2.095,2.087216000840307,2.0920024894579075,-0.0047864886176003,-0.004127479062857185
CIG,2021-03-04,2.13,2.132,2.12,2.13,102279,2.13,2.0858007282658173,2.09176268861454,-0.0059619603487228,-0.003962726674171396
CIG,2021-03-03,2.05,2.05,2.03,2.04,55963,2.04,2.0777644970414206,2.0887037037037035,-0.0109392066622828,-0.0034629182555335272
CIG,2021-03-02,2.0,2.0001,1.991,2.0001,102043,2.0001,2.084630769230769,2.0926,-0.0079692307692305,-0.0015938461538461902
CIG,2021-03-01,2.11,2.11,2.1,2.1,61694,2.1,2.1,2.1,0.0,0.0
