Symbol,Date,Open,High,Low,Close,Volume,CIG SMA,CIG spanTwelveEMA,CIG spanTwntySixEMA,CIG_x,CIG_y
CIG,2021-04-09,2.2,2.2,2.19,2.19,59331,2.19,2.199472507723619,2.161599021911033,0.0378734858125859,0.042233280826980024
CIG,2021-04-08,2.24,2.24,2.22,2.22,94231,2.22,2.201194781855186,2.1593269436639155,0.0418678381912704,0.04332322958057853
CIG,2021-04-07,2.24,2.24,2.23,2.23,105621,2.23,2.197775651283401,2.1544730991570287,0.0433025521263727,0.043687077427905535
CIG,2021-04-06,2.18,2.18,2.18,2.18,20088,2.18,2.1919166787894744,2.148430947089591,0.0434857316998833,0.04378320875328883
CIG,2021-04-05,2.22,2.24,2.22,2.225,81432,2.225,2.194083347660288,2.1459054228567584,0.0481779248035292,0.043857578016640204
CIG,2021-04-05,2.22,2.24,2.22,2.225,81432,2.225,2.188462138143976,2.139577856685299,0.0488842814586769,0.042777491319917836
CIG,2021-04-01,2.29,2.29,2.285,2.2853,32577,2.2853,2.18181889053379,2.132744085220123,0.0490748053136669,0.04125079378522805
CIG,2021-03-31,2.22,2.23,2.215,2.22,60142,2.22,2.1630041433581155,2.120539612037733,0.0424645313203826,0.03929479090311833
CIG,2021-03-30,2.19,2.19,2.1701,2.175,37341,2.175,2.1526412603323184,2.112582781000752,0.040058479331567,0.038502355798802256
CIG,2021-03-29,2.19,2.21,2.19,2.21,126245,2.21,2.1485760349381944,2.107589403480812,0.040986631457383,0.038113324915611174
CIG,2021-03-26,2.14,2.15,2.13,2.145,98311,2.145,2.1374080412905934,2.099396555759276,0.0380114855313173,0.037394998280168325
CIG,2021-03-25,2.08,2.1,2.08,2.1,34257,2.1,2.1360276851616105,2.095748280220018,0.0402794049415926,0.03724087646738106
CIG,2021-03-24,2.18,2.18,2.17,2.17,21187,2.17,2.1425781733728124,2.095408142637619,0.0471700307351934,0.03648124434882816
CIG,2021-03-23,2.2,2.2,2.19,2.19,25894,2.19,2.137592386713324,2.0894407940486284,0.0481515926646953,0.03380904775223683
CIG,2021-03-22,2.22,2.235,2.22,2.235,26711,2.235,2.12806372975211,2.0813960575725186,0.0466676721795913,0.03022341152412208
CIG,2021-03-19,2.2,2.219,2.2,2.219,43361,2.219,2.1086207715252208,2.06910774217832,0.0395130293469008,0.026112346360254765
CIG,2021-03-18,2.14,2.145,2.14,2.14,15802,2.14,2.0885518208934424,2.0571163615525854,0.031435459340857,0.022762175613593248
CIG,2021-03-17,2.08,2.08,2.07,2.07,24307,2.07,2.079197606510432,2.050485670476792,0.0287119360336398,0.020593854681777306
CIG,2021-03-16,2.16,2.16,2.16,2.16,51967,2.16,2.080869898603237,2.0489245241149354,0.031945374488302,0.018564334343811665
CIG,2021-03-15,2.14,2.14,2.13,2.135,36354,2.135,2.06648260744019,2.0400384860441303,0.0264441213960595,0.015219074307689182
CIG,2021-03-12,2.13,2.13,2.13,2.13,32983,2.13,2.0540248997020427,2.0324415649276606,0.0215833347743821,0.012412812535596587
CIG,2021-03-11,2.13,2.13,2.12,2.1211,143717,2.1211,2.040211245102414,2.0246368901218736,0.0155743549805404,0.010120181975900202
CIG,2021-03-10,2.02,2.02,2.0,2.01,105139,2.01,2.0255041987573983,2.016919841331624,0.0085843574257746,0.008756638724740128
CIG,2021-03-09,1.99,1.99,1.9695,1.97,145851,1.97,2.0283231439860163,2.0174734286381533,0.010849715347863,0.0087997090494816
CIG,2021-03-08,2.05,2.06,2.04,2.055,62194,2.055,2.0389273519834736,2.0212713029292058,0.0176560490542678,0.008287207474886236
CIG,2021-03-05,2.11,2.11,2.095,2.095,37066,2.095,2.0360050523441053,2.018573007163542,0.0174320451805631,0.005944997080040825
CIG,2021-03-04,2.13,2.132,2.12,2.13,102279,2.13,2.025278698224852,2.012458847736625,0.0128198504882264,0.0030732350549102353
CIG,2021-03-03,2.05,2.05,2.03,2.04,55963,2.04,2.0062384615384614,2.003055555555556,0.0031829059829058,0.0006365811965810764
CIG,2021-03-02,2.0,2.0001,1.991,2.0001,102043,2.0001,2.0001,2.0001,0.0,0.0
