Symbol,Date,Open,High,Low,Close,Volume,IAG SMA_x,IAG spanTwelveEMA_x,IAG spanTwntySixEMA_x,IAG_x,IAG_y,IAG SMA_y,IAG spanTwelveEMA_y,IAG spanTwntySixEMA_y,IAG_x.1,IAG_y.1,IAG SMA_x.1,IAG spanTwelveEMA_x.1,IAG spanTwntySixEMA_x.1,IAG_x.1.1,IAG_y.1.1,IAG SMA_y.1,IAG spanTwelveEMA_y.1,IAG spanTwntySixEMA_y.1,IAG_x,IAG_y
IAG,2021-02-26,3.06,3.08,2.97,2.99,1215119,2.99,3.2418789930566367,3.3168814944561795,-0.0750025013995427,-0.0293627515266695,2.99,3.2412641015628485,3.316546792992693,-0.0752826914298445,-0.0293627515266695,2.99,3.24125926174365,3.3165108703149606,-0.0752516085713099,-0.0293627515266695,2.99,3.2412592236493687,3.316507014823078,-0.0752477911737092,-0.029362751526669503
IAG,2021-02-25,3.2,3.25,3.18,3.2,656443,3.2,3.287675173612389,3.3430320140126737,-0.0553568404002846,-0.0179528140584511,3.2,3.286948483665185,3.3426705364321085,-0.0557220527669239,-0.0179528140584511,3.2,3.28694276387886,3.342631739940157,-0.0556889760612975,-0.0179528140584511,3.2,3.286942718858345,3.342627576008924,-0.0556848571505788,-0.01795281405845118
IAG,2021-02-24,3.17,3.18,3.11,3.16,702334,3.16,3.303616114269187,3.3544745751336875,-0.0508584608645006,-0.0086018074729928,3.16,3.302757298877036,3.3540841793466774,-0.0513268804696411,-0.0086018074729928,3.16,3.302750539129562,3.35404227913537,-0.0512917400058081,-0.0086018074729928,3.16,3.302750485923499,3.354037782089638,-0.051287296166139,-0.00860180747299281
IAG,2021-02-23,3.3,3.3,3.13,3.185,1571642,3.185,3.329728135045402,3.3700325411443823,-0.0403044060989801,0.0019623558748841,3.185,3.328713171400133,3.3696109136944115,-0.0408977422942782,0.0019623558748841,3.185,3.328705182607664,3.3695656614662,-0.0408604788585358,0.0019623558748841,3.185,3.328705119727771,3.369560804656809,-0.040855684929038,0.0019623558748841485
IAG,2021-02-22,3.26,3.28,3.18,3.19,3825621,3.19,3.356042341417293,3.384835144435933,-0.0287928030186392,0.0125290463683502,3.19,3.35484283892743,3.3843797867899643,-0.0295369478625344,0.0125290463683502,3.19,3.354833397627239,3.3843309143834954,-0.0294975167562565,0.0125290463683502,3.19,3.3548333233146383,3.3843256690293537,-0.0294923457147153,0.012529046368350215
IAG,2021-02-19,3.23,3.24,3.18,3.18,1399123,3.18,3.38623185803862,3.4004219559908075,-0.0141900979521878,0.0228595087150977,3.18,3.384814264186963,3.3999301697331616,-0.0151159055461986,0.0228595087150977,3.18,3.384803106286737,3.399877387534175,-0.015074281247438,0.0228595087150977,3.18,3.3848030184627547,3.399871722551702,-0.0150687040889474,0.022859508715097704
IAG,2021-02-18,3.38,3.43,3.26,3.285,1700687,3.285,3.4237285595001867,3.418055712470072,0.0056728470301146,0.0321219103819189,3.285,3.4220532213118653,3.417524583311814,0.0045286380000506,0.0321219103819189,3.285,3.422040034702507,3.417467578536909,0.0045724561655982,0.0321219103819189,3.285,3.422039930910528,3.417461460355838,0.0045784705546898,0.03212191038191898
IAG,2021-02-17,3.31,3.31,3.22,3.2699,1476090,3.2699,3.448951933954766,3.428700169467678,0.0202517644870878,0.03873417621987,3.2699,3.4469719888231136,3.42812654997676,0.0188454388463537,0.03873417621987,3.2699,3.446956404648417,3.4280649848198617,0.0188914198285554,0.03873417621987,3.2699,3.4469562819851696,3.428058377184305,0.0188979048008643,0.03873417621987007
IAG,2021-02-16,3.46,3.4788,3.42,3.445,988275,3.445,3.481506831037451,3.4414041830250923,0.0401026480123585,0.0433547791530656,3.445,3.4791668958818613,3.4407846739749006,0.0383822219069607,0.0433547791530656,3.445,3.479148478220857,3.4407181836054503,0.0384302946154067,0.0433547791530656,3.445,3.4791483332552007,3.440711047359049,0.0384372858961512,0.04335477915306561
IAG,2021-02-16,3.46,3.4788,3.42,3.445,988275,3.445,3.488144436680624,3.4411165176670995,0.0470279190135238,0.0441678119382423,3.445,3.485379058769473,3.4404474478928924,0.0449316108765804,0.0441678119382423,3.445,3.485357292442832,3.4403756382938866,0.0449816541489447,0.0441678119382423,3.445,3.4853571211197822,3.4403679311477733,0.0449891899720089,0.04416781193824239
