Symbol,Date,Open,High,Low,Close,Volume,LINC SMA_x,LINC spanTwelveEMA_x,LINC spanTwntySixEMA_x,LINC_x,LINC_y,LINC SMA_y,LINC spanTwelveEMA_y,LINC spanTwntySixEMA_y,LINC_x,LINC_y
LINC,2021-02-26,5.91,5.91,5.78,5.78,4454,5.78,5.909620994815848,5.981380814952371,-0.0717598201365232,-0.061382066397983,5.78,5.907492838038411,5.9600635105648605,-0.0525706725264498,-0.06138206639798308
LINC,2021-02-25,6.02,6.1,5.94,6.0473,7049,6.0473,5.933188448418729,5.9974912801485605,-0.0643028317298313,-0.058787627963348,6.0473,5.930673354045394,5.97446859141005,-0.0437952373646552,-0.058787627963348035
LINC,2021-02-24,6.09,6.09,5.865,5.9611,10243,5.9611,5.912440893585771,5.993506582560445,-0.0810656889746743,-0.0574088270217272,5.9611,5.909468509326375,5.968642078722854,-0.0591735693964787,-0.05740882702172721
LINC,2021-02-23,5.92,5.92,5.5,5.6089,32055,5.6089,5.903593783328638,5.99609910916528,-0.0925053258366421,-0.0514946115334904,5.6089,5.900080965567534,5.969245445020682,-0.069164479453148,-0.051494611533490414
LINC,2021-02-22,5.85,5.88,5.78,5.78,4589,5.78,5.957174471206572,6.027075037898503,-0.0699005666919312,-0.0412419329577024,5.78,5.953022959307086,5.998073080622337,-0.0450501213152509,-0.04124193295770247
LINC,2021-02-19,5.92,5.9616,5.8,5.812,10830,5.812,5.989388011425948,6.046841040930383,-0.057453029504435,-0.0340772745241452,5.812,5.984481679181101,6.015518927072124,-0.0310372478910228,-0.034077274524145273
LINC,2021-02-18,5.83,5.87,5.8001,5.87,10733,5.87,6.021640377139756,6.0656283242048135,-0.043987947065057,-0.0282333357790728,5.87,6.015841984486757,6.031800441237895,-0.0159584567511377,-0.02823333577907282
LINC,2021-02-17,5.99,5.99,5.8001,5.8317,21241,5.8317,6.049211354801531,6.081278590141198,-0.0320672353396673,-0.0242946829575767,5.8317,6.042358708938895,6.044744476536926,-0.0023857675980307,-0.02429468295757676
LINC,2021-02-16,6.27,6.27,6.1495,6.16,29564,6.16,6.088758873856355,6.101244877352494,-0.0124860034961393,-0.0223515448620541,6.16,6.080660292382331,6.061788034659879,0.0188722577224513,-0.022351544862054103
LINC,2021-02-16,6.27,6.27,6.1495,6.16,29564,6.16,6.075805941830237,6.096544467540694,-0.020738525710457,-0.0248179302035327,6.16,6.0662348909973,6.05393107743267,0.01230381356463,-0.024817930203532783
LINC,2021-02-12,5.81,6.0181,5.8,6.0181,6857,6.0181,6.060497931253916,6.09146802494395,-0.0309700936900343,-0.0258377813268017,6.0181,6.049186689360445,6.045445563627284,0.0037411257331614,-0.0258377813268017
LINC,2021-02-11,5.84,5.9687,5.84,5.86,6358,5.86,6.068206646027354,6.097337466939465,-0.029130820912111,-0.0245547032359935,5.86,6.054838814698707,6.047633208717466,0.007205605981241,-0.024554703235993538
LINC,2021-02-10,6.12,6.12,6.0201,6.07,2720,6.07,6.10606239985051,6.116324464294623,-0.0102620644441131,-0.0234106738169641,6.07,6.090264053734835,6.062643865414863,0.0276201883199718,-0.023410673816964156
LINC,2021-02-09,6.08,6.18,6.08,6.14,3485,6.14,6.112619199823329,6.120030421438192,-0.0074112216148627,-0.0266978261601769,6.14,6.093948427141169,6.062055374648052,0.0318930524931166,-0.026697826160176904
LINC,2021-02-08,6.3,6.35,6.25,6.25,7658,6.25,6.10764087251848,6.118432855153247,-0.0107919826347675,-0.0315194772965054,6.25,6.085575413894109,6.0558198046198966,0.0297556092742121,-0.03151947729650544
LINC,2021-02-05,6.21,6.27,6.19,6.27,9711,6.27,6.081757394794567,6.107907483565507,-0.0261500887709402,-0.0367013509619399,6.27,6.055680034602128,6.0402853889894885,0.0153946456126394,-0.03670135096193991
LINC,2021-02-04,6.07,6.14,6.01,6.05,9783,6.05,6.047531466575396,6.094940082250748,-0.0474086156753514,-0.03933916650969,6.05,6.01671276816615,6.021908220108648,-0.0051954519424972,-0.03933916650969004
LINC,2021-02-03,6.04,6.14,6.04,6.14,3268,6.14,6.0470826423163775,6.098535288830808,-0.0514526465144307,-0.0373218042182746,6.14,6.01066054419636,6.01966087771734,-0.00900033352098,-0.037321804218274676
LINC,2021-02-02,6.08,6.08,5.87,5.97,7795,5.97,6.030188577282992,6.095218111937273,-0.0650295346542808,-0.0337890936442356,5.97,5.987144279504789,6.010033747934727,-0.0228894684299385,-0.033789093644235664
LINC,2021-02-01,5.95,5.95,5.7201,5.9,10293,5.9,6.041131954970809,6.105235560892255,-0.0641036059214457,-0.0259789833917243,5.9,5.990261421232932,6.013236447769506,-0.0229750265365735,-0.025978983391724365
LINC,2021-01-29,5.98,5.98,5.67,5.72,11436,5.72,6.066792310420047,6.121654405763636,-0.0548620953435889,-0.016447827759294,5.72,6.0066725887298285,6.022295363591067,-0.0156227748612387,-0.016447827759294032
LINC,2021-01-28,6.0,6.02,5.95,5.95,3080,5.95,6.129845457769147,6.153786758224726,-0.0239413004555792,-0.0068442608632202,5.95,6.058794877589798,6.046478992678352,0.0123158849114455,-0.006844260863220291
LINC,2021-01-27,6.21,6.21,5.9,5.96,29813,5.96,6.162544631908991,6.170089698882704,-0.0075450669737122,-0.0025700009651305,5.96,6.078575764424306,6.0541973120926205,0.0243784523316854,-0.002570000965130539
LINC,2021-01-26,6.36,6.4743,6.33,6.385,9454,6.385,6.199370928619716,6.18689687479332,0.0124740538263967,-0.0013262344629851,6.385,6.100134994319634,6.06173309706003,0.0384018972596047,-0.0013262344629851068
LINC,2021-01-25,6.21,6.23,6.1393,6.2092,6576,6.2092,6.165620188368755,6.171048624776786,-0.0054284364080308,-0.0047763065353303,6.2092,6.048341356923204,6.035871744824832,0.0124696120983713,-0.004776306535330354
LINC,2021-01-22,6.22,6.22,6.12,6.1613,2769,6.1613,6.157696586253983,6.167996514758929,-0.0102999285049465,-0.0046132740671552,6.1613,6.01909433090924,6.022005484410819,-0.0029111535015786,-0.0046132740671552385
LINC,2021-01-21,6.12,6.1653,6.05,6.09,8890,6.09,6.157041420118343,6.168532235939644,-0.0114908158213005,-0.0031916104577074,6.09,5.993238754710921,6.010861923163684,-0.0176231684527632,-0.0031916104577074124
LINC,2021-01-20,6.11,6.23,5.97,6.11,9056,6.11,6.1692307692307695,6.174814814814815,-0.0055840455840456,-0.0011168091168091,6.11,5.975645801021998,6.004530877016779,-0.0288850759947809,-0.0011168091168091367
LINC,2021-01-19,6.26,6.26,6.1201,6.18,10471,6.18,6.18,6.18,0.0,0.0,6.18,5.951217764844179,5.996093347178121,-0.0448755823339421,0.0
LINC,2021-02-26,5.91,5.91,5.78,5.78,4454,,,,,,5.78,5.909620994815848,5.981380814952371,-0.0717598201365232,
LINC,2021-02-25,6.02,6.1,5.94,6.0473,7049,,,,,,6.0473,5.933188448418729,5.9974912801485605,-0.0643028317298313,
LINC,2021-02-24,6.09,6.09,5.865,5.9611,10243,,,,,,5.9611,5.912440893585771,5.993506582560445,-0.0810656889746743,
LINC,2021-02-23,5.92,5.92,5.5,5.6089,32055,,,,,,5.6089,5.903593783328638,5.99609910916528,-0.0925053258366421,
LINC,2021-02-22,5.85,5.88,5.78,5.78,4589,,,,,,5.78,5.957174471206572,6.027075037898503,-0.0699005666919312,
LINC,2021-02-19,5.92,5.9616,5.8,5.812,10830,,,,,,5.812,5.989388011425948,6.046841040930383,-0.057453029504435,
LINC,2021-02-18,5.83,5.87,5.8001,5.87,10733,,,,,,5.87,6.021640377139756,6.0656283242048135,-0.043987947065057,
LINC,2021-02-17,5.99,5.99,5.8001,5.8317,21241,,,,,,5.8317,6.049211354801531,6.081278590141198,-0.0320672353396673,
LINC,2021-02-16,6.27,6.27,6.1495,6.16,29564,,,,,,6.16,6.088758873856355,6.101244877352494,-0.0124860034961393,
LINC,2021-02-16,6.27,6.27,6.1495,6.16,29564,,,,,,6.16,6.075805941830237,6.096544467540694,-0.020738525710457,
LINC,2021-02-12,5.81,6.0181,5.8,6.0181,6857,,,,,,6.0181,6.060497931253916,6.09146802494395,-0.0309700936900343,
LINC,2021-02-11,5.84,5.9687,5.84,5.86,6358,,,,,,5.86,6.068206646027354,6.097337466939465,-0.029130820912111,
