Symbol,Date,Open,High,Low,Close,Volume,AXU SMA,AXU spanTwelveEMA,AXU spanTwntySixEMA,AXU_x,AXU_y
AXU,2021-07-28,2.07,2.07,2.0643,2.0643,6764,2.0643,2.157311030565827,2.2888497566900954,-0.1315387261242682,-0.12905910639542306
AXU,2021-07-27,2.15,2.15,2.13,2.13,3275,2.13,2.1742221270323414,2.306813737225303,-0.1325916101929616,-0.12843920146321178
AXU,2021-07-26,2.05,2.1,2.05,2.08,11573,2.08,2.1822625137654943,2.3209588362033275,-0.1386963224378332,-0.1274010992807743
AXU,2021-07-23,2.08,2.09,2.08,2.09,14298,2.09,2.2008556980864933,2.3402355430995936,-0.1393798450131003,-0.12457729349150955
AXU,2021-07-22,2.18,2.18,2.18,2.18,4821,2.18,2.2210112795567647,2.360254386547561,-0.1392431069907962,-0.12087665561111186
AXU,2021-07-21,2.03,2.07,2.03,2.07,17615,2.07,2.228467875839813,2.374674737471366,-0.146206861631553,-0.11628504276619075
AXU,2021-07-20,2.0,2.03,2.0,2.03,18529,2.03,2.257280216901597,2.3990487164690752,-0.1417684995674784,-0.10880458804985016
AXU,2021-07-19,2.05,2.06,2.0,2.06,58591,2.06,2.298603892701887,2.428572613786601,-0.129968721084714,-0.10056361017044309
AXU,2021-07-16,2.21,2.22,2.21,2.22,2969,2.22,2.3419864186476844,2.458058422889529,-0.1160720042418446,-0.09321233244187534
AXU,2021-07-15,2.27,2.27,2.26,2.27,10165,2.27,2.364165767492718,2.4771030967206915,-0.1129373292279734,-0.087497414491883
AXU,2021-07-14,2.29,2.29,2.28,2.28,9022,2.28,2.381286816127758,2.493671344458347,-0.1123845283305891,-0.0811374358078604
AXU,2021-07-13,2.2,2.2,2.19,2.19,11001,2.19,2.399702600878259,2.510765052015015,-0.1110624511367559,-0.07332566267717822
AXU,2021-07-12,2.26,2.27,2.15,2.21,115903,2.21,2.437830346492488,2.5364262561762163,-0.0985959096837283,-0.06389146556228377
AXU,2021-07-09,2.26,2.26,2.26,2.26,29395,2.26,2.4792540458547587,2.562540356670313,-0.0832863108155548,-0.055215354531922625
AXU,2021-07-08,2.36,2.36,2.36,2.36,5579,2.36,2.519118417828351,2.586743585203939,-0.0676251673755876,-0.04819761546101468
AXU,2021-07-07,2.43,2.455,2.43,2.455,7603,2.455,2.5480490392516884,2.604883072020254,-0.0568340327685654,-0.04334072748237142
AXU,2021-07-06,2.53,2.53,2.51,2.53,13798,2.53,2.564967046388359,2.6168737177818744,-0.0519066713935152,-0.03996740116082291
AXU,2021-07-06,2.53,2.53,2.51,2.53,13798,2.53,2.571324691186242,2.6238236152044245,-0.0524989240181819,-0.036982583602649825
AXU,2021-07-02,2.59,2.59,2.5,2.5,30661,2.5,2.578838271401924,2.6313295044207785,-0.0524912330188551,-0.03310349849876669
AXU,2021-07-01,2.51,2.55,2.51,2.55,16009,2.55,2.5931725025659094,2.641835864774441,-0.0486633622085315,-0.028256564868744678
AXU,2021-06-30,2.48,2.5,2.48,2.48,16729,2.48,2.601022048486984,2.6491827339563963,-0.0481606854694121,-0.023154865533797968
AXU,2021-06-29,2.45,2.47,2.45,2.45,15589,2.45,2.6230260573027997,2.662717352672908,-0.0396912953701087,-0.01690341054989443
AXU,2021-06-28,2.55,2.56,2.55,2.55,8759,2.55,2.6544853404487627,2.6797347408867407,-0.0252494004379779,-0.011206439344840965
AXU,2021-06-25,2.68,2.68,2.62,2.63,12081,2.63,2.6734826750758107,2.69011352015768,-0.0166308450818695,-0.007695699071556714
AXU,2021-06-24,2.66,2.68,2.66,2.66,9027,2.66,2.681388615998685,2.6949226017702945,-0.013533985771609,-0.005461912568978624
AXU,2021-06-23,2.61,2.6201,2.61,2.6201,5647,2.6201,2.685277455271174,2.6977164099119184,-0.0124389546407446,-0.0034438942683209127
AXU,2021-06-22,2.68,2.68,2.64,2.64,17630,2.64,2.6971279016841145,2.703925722704872,-0.0067978210207573,-0.0011951291752149837
AXU,2021-06-21,2.65,2.66,2.65,2.66,37034,2.66,2.707514792899408,2.7090397805212616,-0.0015249876218534,0.0002055437861706012
AXU,2021-06-18,2.77,2.77,2.74,2.75,38177,2.75,2.716153846153846,2.712962962962963,0.0031908831908831,0.0006381766381766241
AXU,2021-06-17,2.71,2.73,2.7,2.71,41696,2.71,2.71,2.71,0.0,0.0
