Symbol,Date,Open,High,Low,Close,Volume,EVOK SMA
EVOK,2020-06-24,3.43,3.5511,3.41,3.4399,384569,3.4399
EVOK,2020-06-23,3.62,3.76,3.42,3.56,1717413,3.56
EVOK,2020-06-22,4.53,5.0,4.14,4.1999,10880317,4.1998999999999995
EVOK,2020-06-19,2.43,2.44,2.32,2.34,232666,2.339999999999999
EVOK,2020-06-18,2.4,2.4319,2.36,2.4,139218,2.3999999999999986
EVOK,2020-06-17,2.5,2.53,2.35,2.4301,199962,2.430099999999998
EVOK,2020-06-16,2.8,2.8,2.65,2.7011,212067,2.701099999999998
EVOK,2020-06-15,2.5,2.63,2.43,2.5980000000000003,228339,2.5979999999999985
EVOK,2020-06-12,2.39,2.44,2.35,2.4201,96667,2.4200999999999984
EVOK,2020-06-11,2.45,2.45,2.1,2.35,217299,2.3499999999999983
EVOK,2020-06-10,2.52,2.59,2.48,2.5599,164336,2.5598999999999985
EVOK,2020-06-09,2.62,2.63,2.5,2.56,134558,2.5599999999999987
EVOK,2020-06-08,2.69,2.7,2.55,2.585,266472,2.5849999999999986
EVOK,2020-06-05,2.33,2.3807,2.27,2.32,140083,2.3199999999999985
EVOK,2020-06-04,2.38,2.4,2.31,2.3283,68177,2.328299999999999
EVOK,2020-06-03,2.39,2.4,2.32,2.335,55067,2.3349999999999995
EVOK,2020-06-02,2.34,2.4,2.31,2.36,59340,2.3599999999999994
EVOK,2020-06-01,2.47,2.49,2.41,2.44,60954,2.439999999999999
EVOK,2020-05-29,2.53,2.53,2.43,2.4401,96668,2.440099999999999
EVOK,2020-05-28,2.59,2.6,2.5,2.52,41306,2.5199999999999987
EVOK,2020-05-27,2.65,2.69,2.4,2.44,332066,2.439999999999999
EVOK,2020-05-26,2.5,2.65,2.45,2.6,348752,2.599999999999999
EVOK,2020-05-26,2.5,2.65,2.45,2.6,348752,2.599999999999999
EVOK,2020-05-22,2.01,2.0699,1.98,2.0573,73643,2.0572999999999992
EVOK,2020-05-21,2.08,2.1199,2.0,2.01,111445,2.0099999999999993
EVOK,2020-05-20,1.84,2.09,1.8,1.9146,568859,1.9145999999999996
EVOK,2020-05-19,1.71,1.83,1.71,1.7743,252380,1.7742999999999993
EVOK,2020-05-18,1.52,1.57,1.5,1.5578,154730,1.5577999999999996
EVOK,2020-05-15,1.42,1.44,1.38,1.39,5213,1.3899999999999995
EVOK,2020-05-14,1.42,1.42,1.36,1.365,22548,1.3649999999999995
EVOK,2020-05-13,1.39,1.47,1.38,1.39,52852,1.3899999999999995
EVOK,2020-05-12,1.43,1.49,1.42,1.4498,84002,1.4497999999999995
