Symbol,Date,Open,High,Low,Close,Volume,AFMD SMA
AFMD,2020-06-24,4.23,4.4075,4.2,4.215,221883,4.215
AFMD,2020-06-23,4.18,4.38,3.93,4.38,405179,4.379999999999999
AFMD,2020-06-22,3.97,4.03,3.91,3.9636,230944,3.9635999999999987
AFMD,2020-06-19,3.6,3.66,3.56,3.63,270807,3.6299999999999986
AFMD,2020-06-18,3.43,3.62,3.4,3.56,125614,3.5599999999999987
AFMD,2020-06-17,3.63,3.75,3.5706,3.62,251621,3.6199999999999988
AFMD,2020-06-16,3.43,3.49,3.3573,3.475,222547,3.4749999999999988
AFMD,2020-06-15,2.99,3.125,2.93,3.1,71679,3.099999999999999
AFMD,2020-06-12,3.11,3.17,3.09,3.13,79937,3.1299999999999986
AFMD,2020-06-11,3.03,3.1201,2.98,3.12,231363,3.1199999999999983
AFMD,2020-06-10,3.32,3.38,3.26,3.29,109822,3.2899999999999983
AFMD,2020-06-09,3.35,3.42,3.34,3.392,70157,3.3919999999999986
AFMD,2020-06-08,3.6,3.6,3.47,3.5,66456,3.4999999999999987
AFMD,2020-06-05,3.35,3.44,3.27,3.32,162701,3.3199999999999985
AFMD,2020-06-04,3.46,3.57,3.43,3.5168,150286,3.5167999999999986
AFMD,2020-06-03,3.47,3.54,3.4064,3.53,201731,3.5299999999999985
AFMD,2020-06-02,3.27,3.35,3.24,3.345,75833,3.3449999999999984
AFMD,2020-06-01,3.26,3.4,3.26,3.3366,142618,3.3365999999999976
AFMD,2020-05-29,3.03,3.17,2.9702,3.1401,244936,3.1400999999999977
AFMD,2020-05-28,3.17,3.39,3.17,3.378,247626,3.377999999999998
AFMD,2020-05-27,3.14,3.21,3.03,3.06,155311,3.059999999999998
AFMD,2020-05-26,3.12,3.13,2.95,3.03,270565,3.029999999999998
AFMD,2020-05-26,3.12,3.13,2.95,3.03,270565,3.029999999999998
AFMD,2020-05-22,2.87,2.92,2.81,2.91,124575,2.909999999999998
AFMD,2020-05-21,2.88,2.91,2.73,2.8652,103179,2.865199999999998
AFMD,2020-05-20,2.96,2.98,2.81,2.8232,276648,2.8231999999999977
AFMD,2020-05-19,2.47,2.53,2.45,2.52,513320,2.519999999999998
AFMD,2020-05-18,2.44,2.48,2.4,2.465,278884,2.4649999999999976
AFMD,2020-05-15,2.09,2.17,2.0,2.1608,201341,2.1607999999999983
AFMD,2020-05-14,2.05,2.05,1.88,1.97,157552,1.969999999999998
AFMD,2020-05-13,2.15,2.175,2.1,2.16,63664,2.1599999999999984
AFMD,2020-05-12,2.22,2.255,2.135,2.205,67920,2.2049999999999983
