Symbol,Date,Open,High,Low,Close,Volume,SSFT SMA,SSFT spanTwelveEMA_x,SSFT spanTwntySixEMA_x,SSFT_x,SSFT_y,SSFT spanTwelveEMA_y,SSFT spanTwntySixEMA_y,SSFT
SSFT,2020-11-13,0.075,0.079,0.07475,0.079,28208,0.079,0.06954379573904967,0.07216948827267873,-0.0026256925336290704,-0.004036761744882511,0.06954379573904967,0.07216948827267874,-0.0026256925336290704
SSFT,2020-11-12,0.07,0.0725,0.065,0.07,53400,0.07000000000000002,0.06782448587342234,0.07162304733449304,-0.003798561461070701,-0.0043895290476958755,0.06782448587342234,0.07162304733449304,-0.0037985614610707014
SSFT,2020-11-11,0.06125,0.06875,0.06,0.0625,12205,0.0625,0.06742893785040822,0.0717528911212525,-0.004323953270844269,-0.004537270944352169,0.06742893785040822,0.0717528911212525,-0.004323953270844269
SSFT,2020-11-10,0.0633,0.07,0.0601,0.061979999999999986,13875,0.061979999999999986,0.06832510836866426,0.0724931224109527,-0.004168014042288434,-0.004590600362729144,0.06832510836866426,0.0724931224109527,-0.004168014042288434
SSFT,2020-11-09,0.0779,0.0779,0.0633,0.064,20761,0.06399999999999999,0.06947876443569412,0.0733341722038289,-0.003855407768134769,-0.004696246942839321,0.06947876443569413,0.0733341722038289,-0.0038554077681347693
SSFT,2020-11-06,0.07,0.08,0.06,0.08,11000,0.07999999999999999,0.07047490342400216,0.07408090598013521,-0.0036060025561330533,-0.0049064567365154545,0.07047490342400216,0.07408090598013521,-0.0036060025561330533
SSFT,2020-11-05,0.0605,0.07,0.0605,0.07,16448,0.06999999999999999,0.06874306768291162,0.07360737845854602,-0.004864310775634387,-0.005231570281611054,0.06874306768291163,0.07360737845854602,-0.004864310775634387
SSFT,2020-11-04,0.0625,0.065,0.06,0.065,15500,0.065,0.06851453453435011,0.0738959687352297,-0.005381434200879595,-0.005323385158105218,0.06851453453435011,0.0738959687352297,-0.005381434200879595
SSFT,2020-11-03,0.06425,0.065,0.062,0.065,46250,0.065,0.06915354081332285,0.07460764623404809,-0.005454105420725233,-0.0053088728974116225,0.06915354081332285,0.07460764623404809,-0.005454105420725233
SSFT,2020-11-02,0.063,0.068,0.061,0.068,18313,0.068,0.06990873005210882,0.07537625793277193,-0.005467527880663098,-0.005272564766583221,0.06990873005210883,0.07537625793277193,-0.005467527880663098
SSFT,2020-10-30,0.061,0.068,0.061,0.068,14665,0.068,0.07025577187976499,0.07596635856739369,-0.005710586687628694,-0.005223823988063247,0.07025577187976499,0.07596635856739369,-0.005710586687628694
SSFT,2020-10-29,0.075,0.075,0.061,0.07,50317,0.07,0.07066591222154045,0.07660366725278517,-0.005937755031244732,-0.005102133313171886,0.07066591222154045,0.07660366725278518,-0.005937755031244732
SSFT,2020-10-28,0.0593,0.0625,0.0593,0.0625,37833,0.0625,0.07078698717091145,0.07713196063300799,-0.006344973462096559,-0.004893227883653678,0.07078698717091145,0.077131960633008,-0.006344973462096559
