Symbol,Date,Open,High,Low,Close,Volume,RUBY SMA,RUBY spanTwelveEMA_x,RUBY spanTwntySixEMA_x,RUBY_x,RUBY_y,RUBY spanTwelveEMA_y,RUBY spanTwntySixEMA_y,RUBY
RUBY,2020-11-13,4.94,5.0469,4.86,4.97,87574,4.97,4.752685263611294,4.825218790975079,-0.0725335273637846,-0.10873223759377587,4.752685263611294,4.825218790975079,-0.0725335273637846
RUBY,2020-11-12,4.7,4.815,4.5985,4.5985,3093,4.5985000000000005,4.713173493358801,4.813636294253085,-0.10046280089428272,-0.11778191515127368,4.713173493358802,4.813636294253085,-0.10046280089428272
RUBY,2020-11-11,4.8,4.82,4.755,4.82,2676,4.820000000000002,4.73402321942404,4.830847197793331,-0.09682397836929367,-0.1221116937155212,4.734023219424039,4.830847197793332,-0.09682397836929368
RUBY,2020-11-10,4.76,4.81,4.64,4.64,17730,4.6400000000000015,4.718391077501137,4.8317149736167995,-0.11332389611566285,-0.12843362255207852,4.718391077501137,4.8317149736167995,-0.11332389611566285
RUBY,2020-11-09,5.07,5.2373,4.7401,4.9401,42346,4.940100000000002,4.7326440006831625,4.847052171506144,-0.1144081708229816,-0.1322110541611822,4.732644000683162,4.847052171506143,-0.1144081708229816
RUBY,2020-11-06,4.57,4.619,4.51,4.619,1337,4.6190000000000015,4.6949247280801,4.839608345226633,-0.14468361714653444,-0.13666177499573234,4.6949247280801,4.839608345226634,-0.14468361714653444
RUBY,2020-11-05,4.82,4.89,4.64,4.64,3813,4.6400000000000015,4.708729224094664,4.857257012844765,-0.1485277887501022,-0.13465631445803206,4.708729224094663,4.857257012844765,-0.1485277887501022
RUBY,2020-11-04,4.91,5.17,4.77,4.89,62702,4.8900000000000015,4.721225446657329,4.874637573872347,-0.15341212721501662,-0.13118844588501474,4.721225446657329,4.874637573872346,-0.15341212721501662
RUBY,2020-11-03,4.73,4.83,4.61,4.78,16497,4.780000000000002,4.69053916423139,4.873408579782134,-0.1828694155507442,-0.12563252555251406,4.69053916423139,4.873408579782134,-0.1828694155507442
RUBY,2020-11-02,4.33,4.33,4.2432,4.32,3546,4.320000000000001,4.6742735577280055,4.880881266164705,-0.20660770843669865,-0.11132330305295653,4.674273557728006,4.880881266164705,-0.20660770843669862
RUBY,2020-10-30,4.35,4.405,4.2,4.23,20791,4.23,4.7386869318603715,4.925751767457881,-0.18706483559750967,-0.08750220170702075,4.7386869318603715,4.925751767457881,-0.18706483559750975
RUBY,2020-10-29,4.63,4.63,4.52,4.56,6523,4.559999999999999,4.831175464925893,4.981411908854512,-0.1502364439286179,-0.06261154323439871,4.831175464925893,4.981411908854511,-0.1502364439286179
RUBY,2020-10-28,4.61,4.78,4.5,4.665,12862,4.664999999999998,4.880480094912419,5.015124861562872,-0.1346447666504531,-0.04070531806084369,4.880480094912419,5.015124861562872,-0.1346447666504531
RUBY,2020-10-27,4.57,4.5792,4.5,4.54,52758,4.539999999999998,4.919658293987403,5.043134850487903,-0.12347655650049738,-0.017220455913441332,4.919658293987404,5.043134850487902,-0.12347655650049738
RUBY,2020-10-26,4.51,4.665,4.51,4.555,9182,4.554999999999999,4.988687074712387,5.083385638526933,-0.09469856381454722,0.009343569233323124,4.988687074712387,5.083385638526934,-0.09469856381454722
RUBY,2020-10-23,4.68,4.78,4.6,4.6,8818,4.599999999999998,5.067539270114639,5.1256564896090895,-0.05811721949444947,0.03535410249529049,5.06753927011464,5.1256564896090895,-0.05811721949444948
RUBY,2020-10-22,4.65,4.6999,4.6,4.66,1297,4.659999999999998,5.152546410135483,5.167709008777816,-0.015162598642332268,0.05872193299272569,5.152546410135484,5.167709008777816,-0.01516259864233227
RUBY,2020-10-21,4.65,4.8,4.62,4.74,18951,4.739999999999998,5.24210030288739,5.208325729480041,0.03377457340734846,0.0771930659014904,5.24210030288739,5.208325729480041,0.03377457340734846
RUBY,2020-10-20,5.05,5.15,5.05,5.13,5240,5.129999999999997,5.333391267048733,5.245791787838447,0.08759947921028832,0.08804768902502587,5.333391267048733,5.245791787838445,0.08759947921028832
RUBY,2020-10-19,5.45,5.46,5.3,5.425,48038,5.424999999999996,5.37037149742123,5.255055130865522,0.11531636655570933,0.08815974147871049,5.37037149742123,5.255055130865521,0.11531636655570932
RUBY,2020-10-16,5.4,5.44,5.3533,5.44,8307,5.439999999999998,5.3604390424069095,5.241459541334762,0.11897950107214685,0.081370585209461,5.360439042406909,5.241459541334762,0.11897950107214683
RUBY,2020-10-15,5.57,5.69,5.33,5.33,31346,5.329999999999996,5.345973413753619,5.2255763046415415,0.12039710911207635,0.0719683562437893,5.345973413753619,5.225576304641542,0.12039710911207635
RUBY,2020-10-14,5.64,5.8,5.64,5.6975,3621,5.697499999999996,5.348877670799731,5.217222409012866,0.13165526178686535,0.05986116802671732,5.348877670799731,5.217222409012866,0.13165526178686537
