Symbol,Date,Open,High,Low,Close,Volume,GLOG SMA,GLOG spanTwelveEMA_x,GLOG spanTwntySixEMA_x,GLOG_x,GLOG_y,GLOG spanTwelveEMA_y,GLOG spanTwntySixEMA_y,GLOG
GLOG,2020-11-13,2.52,2.57,2.45,2.5601,133466,2.5601,2.503534682490809,2.5784600327347453,-0.07492535024393643,-0.07887937276077397,2.503534682490809,2.5784600327347453,-0.07492535024393643
GLOG,2020-11-12,2.56,2.56,2.48,2.5,118208,2.5000000000000004,2.49325007930732,2.579928835353525,-0.08667875604620523,-0.07986787838998335,2.49325007930732,2.5799288353535252,-0.08667875604620523
GLOG,2020-11-11,2.61,2.61,2.47,2.545,123659,2.545,2.49202282099956,2.5863231421818083,-0.09430032118224753,-0.07816515897592799,2.49202282099956,2.5863231421818074,-0.09430032118224752
GLOG,2020-11-10,2.51,2.53,2.4,2.41,255460,2.41,2.4823906066358443,2.589628993556352,-0.10723838692050824,-0.07413136842434799,2.482390606635844,2.589628993556352,-0.10723838692050824
GLOG,2020-11-09,2.4,2.6183,2.37,2.45,522335,2.45,2.495552535115088,2.6039993130408607,-0.10844677792577297,-0.06585461380030805,2.495552535115088,2.6039993130408607,-0.10844677792577295
GLOG,2020-11-06,2.32,2.35,2.3,2.319,159876,2.319,2.5038348142269222,2.616319258084129,-0.11248444385720724,-0.05520657276894183,2.5038348142269222,2.6163192580841295,-0.11248444385720724
GLOG,2020-11-05,2.32,2.32,2.27,2.29,143280,2.29,2.5374411440863627,2.6401047987308597,-0.102663654644497,-0.04088710499687558,2.5374411440863627,2.6401047987308597,-0.102663654644497
GLOG,2020-11-04,2.39,2.39,2.3,2.35,152027,2.3500000000000005,2.582430443011156,2.668113182629328,-0.08568273961817185,-0.025442967584970114,2.582430443011156,2.668113182629328,-0.08568273961817185
GLOG,2020-11-03,2.45,2.465,2.43,2.435,100006,2.435,2.62469052355864,2.6935622372396737,-0.06887171368103484,-0.010383024576669569,2.6246905235586393,2.693562237239674,-0.06887171368103484
GLOG,2020-11-02,2.4,2.45,2.37,2.3968,83417,2.3968,2.6591797096602097,2.714247216218848,-0.055067506558638346,0.004239147699421528,2.6591797096602097,2.714247216218848,-0.055067506558638346
GLOG,2020-10-30,2.51,2.54,2.42,2.465,79440,2.464999999999999,2.706885111416612,2.7396429935163558,-0.032757882099744506,0.019065811263936496,2.7068851114166113,2.7396429935163558,-0.032757882099744506
GLOG,2020-10-29,2.53,2.5364,2.43,2.48,152602,2.4799999999999978,2.7508642225832682,2.761614432997664,-0.010750210414395944,0.032021734604856744,2.7508642225832682,2.761614432997664,-0.010750210414395944
GLOG,2020-10-28,2.59,2.66,2.5653,2.585,170888,2.5849999999999977,2.8001122630529536,2.7841435876374767,0.01596867541547642,0.042714720859670034,2.8001122630529536,2.784143587637477,0.01596867541547642
GLOG,2020-10-27,2.7,2.7433,2.67,2.69,60764,2.6899999999999986,2.839223583608036,2.8000750746484755,0.03914850895956068,0.04940123222071832,2.839223583608036,2.8000750746484755,0.03914850895956068
GLOG,2020-10-26,2.87,2.87,2.78,2.78,76071,2.779999999999999,2.8663551442640425,2.808881080620354,0.057474063643688574,0.051964413036007726,2.8663551442640425,2.808881080620354,0.05747406364368857
GLOG,2020-10-23,3.0,3.06,2.9899,3.01,108814,3.01,2.8820560795847787,2.8111915670699816,0.07086451251479575,0.05058700038408751,2.882056079584778,2.811191567069982,0.07086451251479575
GLOG,2020-10-22,2.96,3.0,2.94,2.975,66116,2.975,2.8587935486001923,2.7952868924355805,0.06350665616461182,0.04551762235141011,2.8587935486001923,2.7952868924355805,0.06350665616461182
GLOG,2020-10-21,2.95,3.03,2.93,3.02,72666,3.0199999999999987,2.8376651028911364,2.7809098438304267,0.05675525906070966,0.04102036389810968,2.8376651028911364,2.7809098438304267,0.05675525906070966
GLOG,2020-10-20,2.8,2.9,2.8,2.8815,91568,2.8814999999999986,2.804513303416797,2.7617826313368607,0.04273067207993675,0.037086640107459684,2.8045133034167975,2.7617826313368607,0.04273067207993675
GLOG,2020-10-19,2.87,2.87,2.8,2.83,51773,2.8299999999999987,2.790515722219852,2.75220524184381,0.03831048037604168,0.03567563211434053,2.7905157222198516,2.75220524184381,0.03831048037604168
GLOG,2020-10-16,2.85,2.86,2.77,2.85,103912,2.85,2.783336762623461,2.7459816611913146,0.03735510143214649,0.03501692004891513,2.783336762623461,2.7459816611913146,0.03735510143214649
GLOG,2020-10-15,2.72,2.8,2.6882,2.7915,84281,2.7915,2.771216174009545,2.73766019408662,0.03355597992292525,0.03443237470310729,2.771216174009545,2.7376601940866196,0.03355597992292525
GLOG,2020-10-14,2.75,2.8,2.75,2.7602,39743,2.7602,2.767528205647644,2.733353009613549,0.034175196034095016,0.034651473398152915,2.7675282056476442,2.733353009613549,0.03417519603409502
GLOG,2020-10-13,2.75,2.7999,2.72,2.735,50111,2.7350000000000003,2.7688606066744894,2.7312052503826334,0.03765535629185601,0.034770542739167486,2.768860606674489,2.731205250382633,0.03765535629185601
GLOG,2020-10-12,2.79,2.8309,2.75,2.76,100086,2.76,2.775017080615305,2.7309016704132443,0.044115410202061334,0.03404933935099536,2.775017080615305,2.730901670413244,0.044115410202061334
GLOG,2020-10-09,2.92,2.92,2.865,2.8710000000000004,22505,2.8710000000000004,2.777747458908997,2.7285738040463032,0.04917365486269398,0.03153282163822898,2.777747458908997,2.7285738040463032,0.04917365486269398
GLOG,2020-10-08,2.77,2.82,2.77,2.795,35325,2.795,2.7607924514379056,2.717179708370008,0.04361274306789832,0.027122613332112726,2.7607924514379056,2.7171797083700073,0.04361274306789831
GLOG,2020-10-07,2.77,2.8178,2.74,2.76,35190,2.76,2.7545728971538885,2.710954085039608,0.0436188121142802,0.02300008089816644,2.754572897153888,2.710954085039608,0.0436188121142802
GLOG,2020-10-06,2.99,3.025,2.9410000000000003,2.9410000000000003,92722,2.9410000000000007,2.753586151181868,2.7070304118427764,0.046555739339091406,0.017845398094137883,2.753586151181868,2.7070304118427764,0.046555739339091406
GLOG,2020-10-05,2.85,2.94,2.85,2.8799,72015,2.879900000000001,2.719510905942208,2.6883128447901985,0.031198061152009068,0.01066781278289939,2.7195109059422076,2.6883128447901985,0.03119806115200907
GLOG,2020-10-02,2.78,2.78,2.73,2.76,72948,2.7600000000000007,2.690349252477154,2.6729858723734146,0.017363380103739612,0.005535250690621858,2.690349252477154,2.6729858723734146,0.017363380103739612
GLOG,2020-10-01,2.72,2.82,2.72,2.78,64582,2.780000000000001,2.677685480200273,2.666024742163288,0.011660738036985308,0.00257821833734242,2.677685480200273,2.666024742163288,0.011660738036985308
GLOG,2020-09-30,2.61,2.6943,2.61,2.69,69690,2.6900000000000013,2.6590828402366866,2.6569067215363518,0.0021761187003357385,0.00030758841243169846,2.6590828402366866,2.656906721536351,0.0021761187003357385
GLOG,2020-09-29,2.68,2.715,2.62,2.645,42410,2.645000000000001,2.6534615384615385,2.6542592592592595,-0.000797720797720558,-0.00015954415954420043,2.6534615384615385,2.654259259259259,-0.000797720797720558
GLOG,2020-09-28,2.72,2.73,2.62,2.655,107036,2.6550000000000007,2.655,2.655,0.0,0.0,2.655,2.655,0.0
