Symbol,Date,Open,High,Low,Close,Volume,NCTY SMA,NCTY spanTwelveEMA_x,NCTY spanTwntySixEMA_x,NCTY_x,NCTY_y,NCTY spanTwelveEMA_y,NCTY spanTwntySixEMA_y,NCTY
NCTY,2020-11-13,2.74,2.82,2.6,2.69,260364,2.69,2.4423028427572584,2.8182184712603378,-0.37591562850308025,-0.5659554886604663,2.442302842757258,2.818218471260338,-0.37591562850308025
NCTY,2020-11-12,2.4746,2.59,2.4746,2.5643,38477,2.5643,2.3972669959858504,2.8284759489611657,-0.43120895297531536,-0.613465453699813,2.3972669959858504,2.8284759489611657,-0.43120895297531536
NCTY,2020-11-11,2.41,2.55,2.405,2.53,107873,2.53,2.3668973588923685,2.8496100248780585,-0.4827126659856904,-0.6590295788809373,2.3668973588923685,2.849610024878059,-0.4827126659856904
NCTY,2020-11-10,2.3,2.32,2.255,2.2839,24669,2.2839000000000005,2.337242333236436,2.8751788268683036,-0.537936493631868,-0.7031088071047491,2.3372423332364356,2.8751788268683036,-0.537936493631868
NCTY,2020-11-09,2.25,2.38,2.24,2.36,42855,2.3600000000000003,2.346940939279424,2.922481133017768,-0.5755401937383438,-0.7444018854729694,2.346940939279424,2.922481133017768,-0.5755401937383438
NCTY,2020-11-06,2.5,2.61,2.42,2.4995,153507,2.4995000000000007,2.3445665646029554,2.9674796236591887,-0.6229130590562337,-0.7866173084066256,2.3445665646029554,2.967479623659189,-0.6229130590562337
NCTY,2020-11-05,2.235,2.2999,2.18,2.23,49294,2.230000000000001,2.31639684907622,3.004917993551924,-0.688521144475704,-0.8275433707442237,2.31639684907622,3.004917993551924,-0.688521144475704
NCTY,2020-11-04,2.22,2.27,2.119,2.119,85855,2.119000000000001,2.332105367090078,3.0669114330360783,-0.7348060659460001,-0.8622989273113537,2.332105367090078,3.0669114330360783,-0.7348060659460001
NCTY,2020-11-03,2.2,2.2399,2.16,2.2,29465,2.2000000000000006,2.370851797470092,3.1427443476789643,-0.7718925502088722,-0.8941721426526921,2.3708517974700922,3.1427443476789643,-0.771892550208872
NCTY,2020-11-02,2.14,2.19,2.12,2.14,33961,2.140000000000001,2.4019157606464727,3.2181638954932814,-0.8162481348468087,-0.9247420407636469,2.4019157606464727,3.2181638954932814,-0.8162481348468087
NCTY,2020-10-30,2.11,2.28,2.04,2.2279,420966,2.2279000000000004,2.449536808036741,3.3044170071327437,-0.8548801990960029,-0.9518655172428564,2.449536808036741,3.3044170071327437,-0.8548801990960029
NCTY,2020-10-29,2.14,2.15,2.11,2.13,24416,2.130000000000001,2.4898344094979663,3.390538367703364,-0.9007039582053973,-0.9761118467795696,2.4898344094979663,3.3905383677033636,-0.9007039582053973
NCTY,2020-10-28,2.2,2.35,2.08,2.09,327519,2.0900000000000007,2.555258847588506,3.491381437119633,-0.9361225895311271,-0.9949638189231124,2.555258847588506,3.491381437119633,-0.9361225895311271
