Symbol,Date,Open,High,Low,Close,Volume,LXRX SMA,LXRX spanTwelveEMA_x,LXRX spanTwntySixEMA_x,LXRX_x,LXRX_y,LXRX spanTwelveEMA_y,LXRX spanTwntySixEMA_y,LXRX
LXRX,2020-11-13,1.23,1.23,1.19,1.2101,72206,1.2101,1.2036243831211957,1.268249662702317,-0.06462527958112152,-0.07735240988181905,1.2036243831211955,1.268249662702317,-0.06462527958112152
LXRX,2020-11-12,1.25,1.26,1.23,1.23,51671,1.2300000000000002,1.20244699823414,1.2729016357185023,-0.07045463748436243,-0.08053419245699346,1.20244699823414,1.2729016357185023,-0.07045463748436243
LXRX,2020-11-11,1.29,1.29,1.225,1.235,151521,1.2350000000000003,1.197437361549438,1.2763337665759824,-0.07889640502654438,-0.0830540812001512,1.197437361549438,1.2763337665759824,-0.07889640502654438
LXRX,2020-11-10,1.17,1.23,1.1666,1.2234,162467,1.2234,1.1906077909220631,1.279640467902061,-0.08903267697999784,-0.08409350024355293,1.1906077909220631,1.279640467902061,-0.08903267697999784
LXRX,2020-11-09,1.03,1.14,1.03,1.14,241796,1.14,1.1846455710897108,1.2841397053342258,-0.0994941342445148,-0.08285870605944169,1.184645571089711,1.2841397053342258,-0.09949413424451481
LXRX,2020-11-06,1.11,1.1245,1.069,1.09,107673,1.09,1.1927629476514765,1.2956708817609641,-0.10290793410948762,-0.07869984901317335,1.1927629476514765,1.2956708817609641,-0.10290793410948762
LXRX,2020-11-05,1.11,1.13,1.08,1.1,50088,1.1000000000000003,1.2114471199517451,1.3121245523018412,-0.1006774323500963,-0.07264782773909484,1.211447119951745,1.3121245523018412,-0.1006774323500963
LXRX,2020-11-04,1.1,1.13,1.1,1.11,37729,1.1100000000000003,1.231710232670244,1.3290945164859884,-0.09738428381574438,-0.06564042658634453,1.231710232670244,1.3290945164859884,-0.09738428381574438
LXRX,2020-11-03,1.06,1.11,1.06,1.1001,165520,1.1001000000000003,1.2538393658830158,1.3466220778048674,-0.0927827119218516,-0.05770446227899456,1.2538393658830158,1.3466220778048674,-0.09278271192185161
LXRX,2020-11-02,1.09,1.09,1.05,1.075,109870,1.0750000000000004,1.2817919778617457,1.3663438440292568,-0.08455186616751087,-0.0489348998682803,1.281791977861746,1.3663438440292568,-0.08455186616751087
LXRX,2020-10-30,1.15,1.16,1.125,1.13,84792,1.13,1.319390519291154,1.3896513515515971,-0.070260832260443,-0.04003065829347259,1.3193905192911541,1.3896513515515971,-0.070260832260443
