Symbol,Date,Open,High,Low,Close,Volume,KERN SMA,KERN spanTwelveEMA_x,KERN spanTwntySixEMA_x,KERN_x,KERN_y,KERN spanTwelveEMA_y,KERN spanTwntySixEMA_y,KERN
KERN,2020-11-13,2.86,2.87,2.74,2.83,183587,2.83,3.1555769793911272,3.3106626203100324,-0.1550856409189052,-0.19438154874578506,3.1555769793911272,3.3106626203100324,-0.1550856409189052
KERN,2020-11-12,3.0,3.12,2.76,3.1,508388,3.1,3.214772793825878,3.3491156299348352,-0.13434283610895734,-0.20420552570250494,3.214772793825878,3.3491156299348352,-0.13434283610895736
KERN,2020-11-11,3.5,3.5,3.17,3.2236,464630,3.223599999999999,3.2356405745214913,3.3690448803296222,-0.13340430580812954,-0.22167119810089184,3.2356405745214922,3.369044880329622,-0.13340430580812956
KERN,2020-11-10,3.72,4.19,3.65,4.0456,690836,4.0456,3.2378297698890366,3.380680470755992,-0.14285070086695528,-0.24373792117408216,3.2378297698890366,3.380680470755992,-0.14285070086695528
KERN,2020-11-09,4.76,4.86,3.8,3.87,1513545,3.87,3.0909624553234063,3.327486908416472,-0.2365244530930641,-0.26895972625086384,3.090962455323407,3.3274869084164713,-0.23652445309306414
KERN,2020-11-06,3.42,3.64,3.25,3.34,1442262,3.34,2.9493192653822087,3.2840858610897885,-0.3347665957075803,-0.2770685445403134,2.9493192653822087,3.284085861089789,-0.3347665957075803
KERN,2020-11-05,2.6,2.75,2.52,2.68,192660,2.68,2.87828640454261,3.2796127299769724,-0.40132632543436175,-0.2626440317484968,2.8782864045426106,3.2796127299769724,-0.40132632543436175
KERN,2020-11-04,2.4,2.4,2.28,2.3,29746,2.2999999999999994,2.9143384780958126,3.3275817483751298,-0.4132432702793176,-0.2279734583270304,2.9143384780958126,3.32758174837513,-0.4132432702793176
KERN,2020-11-03,2.52,2.53,2.42,2.4383,89917,2.438299999999999,3.0260363832041417,3.4097882882451405,-0.3837519050409983,-0.18165600533895868,3.026036383204142,3.4097882882451405,-0.3837519050409983
KERN,2020-11-02,2.38,2.4192,2.335,2.39,30468,2.3899999999999992,3.1328975437867133,3.4875073513047514,-0.35460980751803817,-0.13113203041344865,3.1328975437867133,3.4875073513047514,-0.35460980751803817
KERN,2020-10-30,2.35,2.44,2.35,2.42,31141,2.4199999999999986,3.2679698244752067,3.575307939409132,-0.3073381149339252,-0.07526258613730127,3.2679698244752067,3.575307939409132,-0.30733811493392516
KERN,2020-10-29,2.3,2.38,2.28,2.3569,75712,2.3568999999999987,3.4221461561979716,3.6677325745618616,-0.2455864183638905,-0.017243703938145297,3.4221461561979716,3.667732574561862,-0.2455864183638905
KERN,2020-10-28,2.35,2.39,2.17,2.245,765612,2.2449999999999988,3.615827275506694,3.7725991805268113,-0.1567719050201175,0.03984197466829079,3.615827275506694,3.7725991805268113,-0.1567719050201175
KERN,2020-10-27,3.43,3.4504,3.22,3.29,110937,3.2899999999999983,3.8650685983260926,3.8948071149689563,-0.029738516642863644,0.08899544459039288,3.8650685983260926,3.8948071149689563,-0.029738516642863644
KERN,2020-10-26,3.77,3.8,3.7,3.77,8074,3.769999999999999,3.9696265252944736,3.943191684166474,0.026434841128000645,0.11867893489870687,3.9696265252944736,3.943191684166473,0.026434841128000652
KERN,2020-10-23,3.72,3.7458,3.67,3.69,13495,3.6899999999999986,4.005922257166196,3.9570470188997913,0.04887523826640505,0.14173995834138353,4.005922257166196,3.957047018899791,0.04887523826640505
KERN,2020-10-22,3.69,3.71,3.6,3.71,7173,3.709999999999999,4.06336266756005,3.978410780411774,0.0849518871482755,0.16495613836012826,4.06336266756005,3.978410780411774,0.0849518871482755
KERN,2020-10-21,3.72,3.78,3.52,3.5573,24887,3.557299999999999,4.12761042529824,3.999883642844716,0.12772678245352376,0.18495720116309147,4.12761042529824,3.999883642844716,0.12772678245352376
KERN,2020-10-20,4.06,4.1,3.8111,3.8301,108026,3.8301,4.23130322989792,4.035290334272293,0.19601289562562665,0.1992648058404834,4.23130322989792,4.035290334272293,0.19601289562562663
KERN,2020-10-19,4.42,4.45,4.3701,4.44,10365,4.44,4.3042492716975405,4.051705561014076,0.25254371068346426,0.2000777833941976,4.304249271697541,4.051705561014077,0.25254371068346426
KERN,2020-10-16,4.47,4.58,4.47,4.5145,10401,4.514499999999999,4.279567321097094,4.020642005895203,0.2589253152018909,0.1869613015718809,4.279567321097094,4.020642005895203,0.2589253152018909
KERN,2020-10-15,4.51,4.53,4.42,4.49,12231,4.49,4.236852288569293,3.98113336636682,0.2557189222024729,0.16897029816437836,4.236852288569293,3.98113336636682,0.25571892220247294
KERN,2020-10-14,4.83,4.89,4.8,4.8,11490,4.799999999999999,4.1908254319455285,3.9404240356761653,0.2504013962693623,0.14728314215485472,4.190825431945528,3.9404240356761653,0.2504013962693623
KERN,2020-10-13,4.7,4.74,4.5005,4.565,28856,4.564999999999999,4.0800664195719865,3.8716579585302586,0.20840846104172872,0.12150357862622745,4.080066419571987,3.8716579585302586,0.20840846104172872
