Symbol,Date,Open,High,Low,Close,Volume,CHW SMA,CHW spanTwelveEMA,CHW spanTwntySixEMA,CHW_x,CHW_y
CHW,2021-02-01,9.61,9.64,9.55,9.61,18293,9.61,9.692718577357457,9.691187531359557,0.0015310459979005484,0.021863412178766937
CHW,2021-01-29,9.65,9.66,9.52,9.53,32836,9.53,9.707758318695175,9.69768253386832,0.010075784826856449,0.02694650372398353
CHW,2021-01-28,9.69,9.72,9.6,9.68,6614,9.68,9.74007801300339,9.711097136577788,0.028980876425604762,0.031164183448265746
CHW,2021-01-27,9.65,9.7,9.22,9.575,74992,9.575000000000003,9.751001288094916,9.713584907504007,0.03741638059090846,0.03171001020393143
CHW,2021-01-26,9.84,9.863,9.8237,9.85,14212,9.850000000000003,9.783001522293995,9.724671700104329,0.058329822189664426,0.030283417607187176
CHW,2021-01-25,9.85,9.88,9.8,9.88,31662,9.880000000000004,9.770819980892904,9.714645436112678,0.056174544780226654,0.023271816461567417
CHW,2021-01-22,9.86,9.86,9.78,9.78,16318,9.780000000000003,9.75096906832798,9.701417071001693,0.04955199732628834,0.015046134381902608
CHW,2021-01-21,9.92,9.95,9.91,9.93,15328,9.93,9.745690717114883,9.69513043668183,0.050560280433057166,0.006419668645806617
CHW,2021-01-20,9.96,10.04,9.959,9.9927,26727,9.9927,9.7121799384085,9.676340871616373,0.035839066792126666,-0.00461548430100513
CHW,2021-01-19,9.72,9.7691,9.7,9.7496,33232,9.7496,9.66117629084641,9.651032141345683,0.010144149500725064,-0.01472912207428808
CHW,2021-01-19,9.72,9.7691,9.7,9.7496,33232,9.749600000000003,9.645099252818484,9.64314671265334,0.0019525401651439007,-0.020947439968041808
CHW,2021-01-15,9.71,9.7404,9.7,9.71,31340,9.710000000000004,9.626099116967302,9.63463044966561,-0.008531332698309413,-0.026672435001338233
CHW,2021-01-14,9.62,9.68,9.6,9.669,21682,9.669000000000004,9.610844410961354,9.628600885638859,-0.01775647467750474,-0.031207710577095878
CHW,2021-01-13,9.68,9.73,9.62,9.72,39201,9.720000000000002,9.600270667499784,9.625368956489966,-0.025098288990184514,-0.03457051955199366
CHW,2021-01-12,9.64,9.6894,9.6223,9.63,18544,9.63,9.578501697954287,9.617798473009165,-0.03929677505487561,-0.036938577192446385
CHW,2021-01-11,9.51,9.6,9.45,9.58,66135,9.58,9.569138370309613,9.616822350849896,-0.04768398054028289,-0.03634902772683864
CHW,2021-01-08,9.57,9.6227,9.57,9.6,15213,9.6,9.567163528547724,9.619768138917888,-0.052604610370162064,-0.03351528952347757
CHW,2021-01-07,9.39,9.49,9.39,9.4417,25092,9.4417,9.561193261010947,9.621349590031318,-0.06015632902037105,-0.028742959311805996
CHW,2021-01-06,9.32,9.4,9.3,9.384,33092,9.383999999999997,9.58291930846748,9.635721557233826,-0.05280224876634243,-0.020889616884664734
CHW,2021-01-05,9.31,9.45,9.3,9.45,26340,9.449999999999996,9.619086455461568,9.65585928181253,-0.036772826350961914,-0.01291145891424442
CHW,2021-01-04,9.62,9.645,9.51,9.56,27790,9.56,9.649829447363672,9.672328024357533,-0.022498576993861263,-0.006946117055065047
CHW,2021-01-04,9.62,9.645,9.51,9.56,27790,9.559999999999997,9.666162074157068,9.681314266306137,-0.015152192149068709,-0.0030580020703659927
CHW,2020-12-31,9.67,9.675,9.58,9.62,25170,9.619999999999996,9.685464269458354,9.691019407610627,-0.005555138152274708,-3.445455069031318e-05
CHW,2020-12-30,9.5585,9.66,9.5585,9.63,22915,9.629999999999997,9.697366863905328,9.69670096021948,0.0006659036858476243,0.0013457163497053416
CHW,2020-12-29,9.73,9.87,9.73,9.79,27972,9.789999999999994,9.709615384615386,9.702037037037037,0.007578347578348855,0.0015156695156697709
CHW,2020-12-28,9.76,9.76,9.65,9.695,27265,9.694999999999991,9.695,9.695,0.0,0.0
