Symbol,Date,Open,High,Low,Close,Volume,DRRX SMA,DRRX spanTwelveEMA,DRRX spanTwntySixEMA,DRRX_x,DRRX_y
DRRX,2021-02-01,2.09,2.1,2.06,2.07,84931,2.07,2.1690456339015816,2.159538566955924,0.009507066945657616,0.010057946342722914
DRRX,2021-01-29,2.15,2.175,2.12,2.155,80505,2.155,2.1870539309745958,2.1667016523123976,0.02035227866219857,0.010195666191989238
DRRX,2021-01-28,2.23,2.25,2.21,2.22,64458,2.22,2.192881918424523,2.1676377844973893,0.02524413392713365,0.007656513074437014
DRRX,2021-01-27,2.25,2.26,2.12,2.17,181642,2.1700000000000004,2.1879513581380725,2.1634488072571805,0.02450255088089204,0.0032596078612628556
DRRX,2021-01-26,2.39,2.4,2.33,2.36,144314,2.3600000000000003,2.191215241435904,2.162924711837755,0.02829052959814904,-0.0020511278936444404
DRRX,2021-01-25,2.33,2.35,2.305,2.3377,192410,2.3377000000000003,2.1605271035151588,2.1471586887847747,0.013368414730383638,-0.00963654226659281
DRRX,2021-01-22,2.21,2.22,2.15,2.1528,90007,2.152800000000001,2.128313849608824,2.1319153838875566,-0.0036015342787329985,-0.015387781515837032
DRRX,2021-01-21,2.27,2.3,2.2,2.205,62886,2.205000000000001,2.123861822264974,2.1302446145985616,-0.006382792333587517,-0.01833434332511315
DRRX,2021-01-20,2.15,2.1827,2.13,2.1677,297971,2.167700000000001,2.1091094263131507,2.1242641837664467,-0.015154757453295531,-0.02132223107299456
DRRX,2021-01-19,2.07,2.1,2.04,2.0877,137048,2.0877000000000008,2.098456594733724,2.1207893184677618,-0.02233272373403805,-0.022864099477919207
DRRX,2021-01-19,2.07,2.1,2.04,2.0877,137048,2.0877000000000008,2.1004123392307648,2.123436463945183,-0.02302412471441828,-0.022996943413889605
DRRX,2021-01-15,2.1001,2.13,2.0944,2.1,99626,2.1000000000000014,2.1027236736363584,2.1262953810607983,-0.02357170742443948,-0.022990148088757434
DRRX,2021-01-14,2.11,2.11,2.08,2.08,37746,2.0800000000000014,2.103218887024787,2.1283990115456617,-0.025180124520874703,-0.02284475825483681
DRRX,2021-01-13,2.16,2.17,2.08,2.0812,84435,2.081200000000001,2.107440502847476,2.1322709324693148,-0.024830429621839126,-0.022260916688327338
DRRX,2021-01-12,2.09,2.11,2.0825,2.11,29344,2.1100000000000003,2.1122115033651983,2.13635660706686,-0.024145103701661785,-0.0216185384549495
DRRX,2021-01-11,2.07,2.1,2.04,2.06,45603,2.06,2.1126135948861435,2.1384651356322086,-0.025851540746065105,-0.020986897143271427
DRRX,2021-01-08,2.11,2.145,2.08,2.125,61773,2.1250000000000004,2.1221797030472604,2.144742346482785,-0.022562643435525054,-0.019770736242573004
DRRX,2021-01-07,2.12,2.13,2.09,2.1,119909,2.1000000000000005,2.121666921783126,2.1463217342014085,-0.024654812418282383,-0.0190727594443351
DRRX,2021-01-06,2.09,2.11,2.07,2.11,45651,2.1100000000000008,2.1256063621073307,2.1500274729375213,-0.02442111083019061,-0.01767724620084828
DRRX,2021-01-05,2.11,2.14,2.085,2.095,33518,2.095000000000001,2.128443882490482,2.1532296707725234,-0.024785788282041032,-0.015991280043512697
DRRX,2021-01-04,2.1598,2.1598,2.055,2.113,76307,2.113000000000001,2.1345245883978423,2.157888044434325,-0.0233634560364826,-0.013792652983880499
DRRX,2021-01-04,2.1598,2.1598,2.055,2.113,76307,2.113000000000001,2.1384381499247227,2.161479087989071,-0.023040938064348367,-0.011399952220729974
DRRX,2020-12-31,2.14,2.14,2.05,2.06,45531,2.060000000000001,2.143063268092854,2.165357415028197,-0.02229414693534304,-0.008489705759825373
DRRX,2020-12-30,2.07,2.125,2.07,2.11,53524,2.1100000000000008,2.1581656804733726,2.1737860082304525,-0.015620327757079888,-0.005038595465945957
DRRX,2020-12-29,2.12,2.13,2.03,2.04,82580,2.0400000000000005,2.166923076923077,2.1788888888888893,-0.011965811965811923,-0.002393162393162474
DRRX,2020-12-28,2.2,2.2,2.155,2.19,68142,2.1900000000000004,2.19,2.19,0.0,0.0
