Symbol,Date,Open,High,Low,Close,Volume,AEG SMA,AEG spanTwelveEMA,AEG spanTwntySixEMA,AEG_x,AEG_y
AEG,2021-06-29,4.15,4.155,4.145,4.155,16984,4.155,4.289306736628209,4.425692120590331,-0.1363853839621223,-0.11106453019441709
AEG,2021-06-28,4.21,4.21,4.2,4.2,13566,4.2,4.313726143287883,4.447347490237558,-0.1336213469496749,-0.10473431675249079
AEG,2021-06-25,4.22,4.22,4.21,4.21,14289,4.21,4.334403623885679,4.467135289456563,-0.1327316655708834,-0.09751255920319472
AEG,2021-06-24,4.18,4.2,4.18,4.19,19065,4.19,4.357022464592166,4.487706112613087,-0.1306836480209208,-0.08870778261127255
AEG,2021-06-23,4.17,4.17,4.1672,4.17,21909,4.17,4.387390185427106,4.511522601622134,-0.1241324161950281,-0.07821381625886048
AEG,2021-06-22,4.18,4.19,4.17,4.17,66830,4.17,4.42691567368658,4.538844409751904,-0.111928736065324,-0.06673416627481855
AEG,2021-06-21,4.22,4.221,4.22,4.221,13739,4.221,4.473627614356867,4.568351962532056,-0.0947243481751884,-0.05543552382719217
AEG,2021-06-18,4.23,4.23,4.21,4.215,123444,4.215,4.519559907876298,4.59614011953462,-0.0765802116583218,-0.04561331774019309
AEG,2021-06-17,4.56,4.57,4.56,4.57,32526,4.57,4.57493443658108,4.626631329097389,-0.0516968925163094,-0.03787159426066089
AEG,2021-06-16,4.49,4.49,4.48,4.48,6709,4.48,4.575831606868548,4.63116183542518,-0.0553302285566319,-0.03441526969674874
AEG,2021-06-15,4.49,4.5,4.49,4.5,5237,4.5,4.593255535390102,4.643254782259195,-0.0499992468690928,-0.029186529981777933
AEG,2021-06-14,4.51,4.52,4.51,4.52,21431,4.52,4.610211087279212,4.6547151648399305,-0.0445040775607186,-0.0239833507599492
AEG,2021-06-11,4.52,4.53,4.52,4.53,19417,4.53,4.626613103148159,4.665492378027126,-0.0388792748789663,-0.018853169059756848
AEG,2021-06-10,4.57,4.58,4.57,4.57,9557,4.57,4.64417912190237,4.676331768269296,-0.0321526463669252,-0.013846642604954468
AEG,2021-06-09,4.52,4.53,4.52,4.525,13132,4.525,4.657666234975529,4.684838309730839,-0.0271720747553105,-0.009270141664461544
AEG,2021-06-08,4.55,4.56,4.55,4.56,29324,4.56,4.681787368607443,4.697625374509306,-0.0158380059018625,-0.0047946583917492834
AEG,2021-06-07,4.62,4.62,4.61,4.61,17805,4.61,4.70393052653607,4.7086354044700505,-0.0047048779339808,-0.002033821514220961
AEG,2021-06-04,4.72,4.73,4.72,4.73,20839,4.73,4.721008804088083,4.716526236827654,0.0044825672604282,-0.0013660574092809784
AEG,2021-06-03,4.74,4.74,4.73,4.7389,13384,4.7389,4.719374041195007,4.715448335773866,0.0039257054211407,-0.0028282135767082935
AEG,2021-06-02,4.77,4.77,4.77,4.77,12861,4.77,4.715823866866826,4.713572202635775,0.0022516642310508,-0.004516693326170564
AEG,2021-06-01,4.74,4.74,4.74,4.74,29473,4.74,4.705973660842612,4.709057978846637,-0.0030843180040251,-0.006208782715475912
AEG,2021-06-01,4.74,4.74,4.74,4.74,29473,4.74,4.699787053723087,4.7065826171543685,-0.0067955634312815,-0.00698989889333859
AEG,2021-05-28,4.71,4.71,4.69,4.69,63844,4.69,4.692475608945466,4.703909226526719,-0.0114336175812521,-0.0070384827588528594
AEG,2021-05-27,4.69,4.7,4.69,4.7,44600,4.7,4.692925719662824,4.705021964648855,-0.0120962449860311,-0.0059396990532528116
AEG,2021-05-26,4.6,4.6,4.58,4.59,67824,4.59,4.691639486874247,4.705423721820764,-0.0137842349465167,-0.0044005625700582335
AEG,2021-05-25,4.72,4.72,4.71,4.71,27077,4.71,4.710119393578656,4.714657619566425,-0.004538225987769,-0.0020546444759436157
AEG,2021-05-24,4.69,4.69,4.68,4.68,12711,4.68,4.710141101502048,4.715030229131738,-0.0048891276296902,-0.0014337490979872457
AEG,2021-05-21,4.7,4.7,4.7,4.7,15020,4.7,4.715621301775148,4.717832647462277,-0.0022113456871295,-0.0005699044650614838
AEG,2021-05-20,4.71,4.71,4.7,4.71,14550,4.71,4.718461538461538,4.71925925925926,-0.0007977207977214,-0.0001595441595444669
AEG,2021-05-19,4.73,4.73,4.7164,4.72,16545,4.72,4.72,4.72,0.0,0.0
