Symbol,Date,Open,High,Low,Close,Volume,HBM SMA,HBM spanTwelveEMA,HBM spanTwntySixEMA,HBM_x,HBM_y
HBM,2021-06-29,6.53,6.55,6.5,6.51,22726,6.51,6.625056924537208,6.899026837932942,-0.2739699133957334,-0.2931350782819536
HBM,2021-06-28,6.72,6.72,6.6792,6.68,16797,6.68,6.645976365362156,6.930148984967578,-0.2841726196054219,-0.29792636950350865
HBM,2021-06-25,6.65,6.71,6.63,6.7099,42672,6.7099,6.639790249973458,6.950160903764984,-0.3103706537915265,-0.3013648069780303
HBM,2021-06-24,6.62,6.67,6.6,6.6183,26166,6.6183,6.627043022695904,6.969381776066183,-0.3423387533702788,-0.2991133452746563
HBM,2021-06-23,6.44,6.49,6.3999,6.46,91551,6.46,6.628632663186068,6.997468318151478,-0.3688356549654097,-0.2883069932507506
HBM,2021-06-22,6.24,6.25,6.21,6.23,21492,6.23,6.6592931474017165,7.040465783603596,-0.3811726362018799,-0.2681748278220858
HBM,2021-06-21,6.13,6.13,6.12,6.12,12854,6.12,6.737346446929301,7.105303046291884,-0.367956599362583,-0.23992537572713724
HBM,2021-06-18,6.11,6.11,6.04,6.07,22269,6.07,6.849591255461901,7.184127289995235,-0.3345360345333343,-0.20791756981827578
HBM,2021-06-17,6.43,6.43,6.3,6.35,142160,6.35,6.991335120091338,7.273257473194853,-0.2819223531035151,-0.1762629536395111
HBM,2021-06-16,6.51,6.51,6.37,6.45,64952,6.45,7.107941505562491,7.347118071050442,-0.2391765654879512,-0.1498481037735101
HBM,2021-06-15,6.82,6.83,6.74,6.75,46442,6.75,7.22756723384658,7.418887516734477,-0.1913202828878972,-0.12751598834489983
HBM,2021-06-14,7.13,7.2,7.06,7.11,26880,7.11,7.314397640000504,7.472398518073235,-0.1580008780727313,-0.11156491470915048
HBM,2021-06-11,7.2,7.24,7.17,7.18,30737,7.18,7.351560847273323,7.501390399519094,-0.1498295522457713,-0.09995592386825525
HBM,2021-06-10,7.05,7.07,6.97,7.0,47445,7.0,7.382753728595745,7.527101631480622,-0.1443479028848768,-0.08748751677387623
HBM,2021-06-09,7.11,7.11,6.97,7.08,58608,7.08,7.452345315613154,7.569269761999072,-0.1169244463859184,-0.07327242024612607
HBM,2021-06-08,7.25,7.26,7.11,7.18,39876,7.18,7.520044463906454,7.608411342958997,-0.0883668790525433,-0.062359413711177966
HBM,2021-06-07,7.49,7.52,7.46,7.47,32001,7.47,7.581870730071264,7.642684250395717,-0.0608135203244533,-0.055857547375836834
HBM,2021-06-04,7.5,7.61,7.5,7.61,16878,7.61,7.602210862811495,7.656498990427375,-0.0542881276158802,-0.05461855413868293
HBM,2021-06-03,7.42,7.42,7.2427,7.28,151053,7.28,7.600794656049949,7.660218909661565,-0.059424253611616,-0.05470116076938361
HBM,2021-06-02,7.78,7.782,7.7,7.77,39349,7.77,7.6591209571499395,7.69063642243449,-0.031515465284551,-0.05352038755882549
HBM,2021-06-01,7.68,7.82,7.68,7.81,29010,7.81,7.638961131177201,7.684287336229249,-0.0453262050520484,-0.059021618127394315
HBM,2021-06-01,7.68,7.82,7.68,7.81,29010,7.81,7.6078631550276015,7.674230323127589,-0.0663671680999877,-0.06244547139623078
HBM,2021-05-28,7.75,7.77,7.63,7.63,47371,7.63,7.571111001396256,7.663368748977796,-0.0922577475815407,-0.06146504722029153
HBM,2021-05-27,7.42,7.5,7.42,7.47,29707,7.47,7.56040391074103,7.666038248896021,-0.1056343381549904,-0.05376687212997923
HBM,2021-05-26,7.18,7.19,7.06,7.13,59443,7.13,7.576840985421217,7.681721308807702,-0.1048803233864843,-0.04080000562372642
HBM,2021-05-25,7.42,7.42,7.37,7.39,11305,7.39,7.658084800952348,7.725859013512318,-0.0677742125599705,-0.02477992618303693
HBM,2021-05-24,7.4,7.43,7.4,7.43,10489,7.43,7.706827492034592,7.752727734593304,-0.0459002425587113,-0.014031354588803531
HBM,2021-05-21,7.67,7.67,7.63,7.64,6756,7.64,7.757159763313609,7.778545953360768,-0.021386190047159,-0.006064132596326566
HBM,2021-05-20,7.7,7.7,7.66,7.66,14649,7.66,7.778461538461538,7.78962962962963,-0.0111680911680913,-0.0022336182336184507
HBM,2021-05-19,7.97,8.05,7.7,7.8,68214,7.8,7.8,7.8,0.0,0.0
