Symbol,Date,Open,High,Low,Close,Volume,LIZI SMA,LIZI spanTwelveEMA,LIZI spanTwntySixEMA,LIZI_x,LIZI_y
LIZI,2020-09-24,2.63,2.63,2.4,2.5,17056,2.5,3.3279465979229865,3.7806858538954753,-0.4527392559724883,-0.38203515638099445
LIZI,2020-09-23,2.78,2.91,2.78,2.88,11329,2.88,3.478482342999893,3.8831407222071137,-0.4046583792072198,-0.3643591314831208
LIZI,2020-09-22,3.27,3.27,3.1,3.165,15535,3.165,3.58729731445442,3.9633919799836814,-0.3760946655292625,-0.3542843195520958
LIZI,2020-09-21,3.35,3.49,3.3,3.3,12853,3.3,3.6640786443552233,4.027263338382377,-0.3631846940271539,-0.3488317330578044
LIZI,2020-09-18,3.61,3.7,3.36,3.41,41569,3.41,3.7302747615107186,4.085444405452967,-0.3551696439422489,-0.3452434928154671
LIZI,2020-09-17,3.63,3.8,3.58,3.62,28150,3.62,3.788506536330849,4.139479957889205,-0.3509734215583564,-0.34276195503377177
LIZI,2020-09-16,3.58,3.66,3.58,3.58,12651,3.58,3.8191440883910026,4.181038354520341,-0.3618942661293385,-0.3407090884026257
LIZI,2020-09-15,3.52,3.58,3.52,3.53,4697,3.53,3.862624831734821,4.229121422881969,-0.3664965911471474,-0.3354127939709474
LIZI,2020-09-14,3.65,3.65,3.5,3.5,3377,3.5,3.923102073868425,4.285051136712526,-0.3619490628441007,-0.3276418446768973
LIZI,2020-09-11,3.7,3.79,3.7,3.79,700,3.789999999999999,4.000029723662683,4.347855227649529,-0.34782550398684364,-0.31906504013509634
LIZI,2020-09-10,3.89,3.94,3.86,3.94,470,3.9399999999999986,4.038216946146808,4.39248364586149,-0.3542666997146817,-0.31187492417215906
LIZI,2020-09-09,3.63,3.68,3.63,3.68,1301,3.6799999999999993,4.056074572718956,4.428682337530409,-0.3726077648114536,-0.3012769802865284
LIZI,2020-09-08,3.73,3.7302,3.625,3.625,3175,3.625,4.1244517677587655,4.488576924532842,-0.3641251567740769,-0.28344428415529727
LIZI,2020-09-08,3.73,3.7302,3.625,3.625,3175,3.625,4.215261180078541,4.5576630784954695,-0.34240189841692903,-0.2632740660006023
LIZI,2020-09-04,4.08,4.08,3.91,3.91,600,3.91,4.322581394638276,4.6322761247751085,-0.30969473013683224,-0.24349210789652082
LIZI,2020-09-03,4.0,4.02,3.9,3.95,2203,3.95,4.397596193663418,4.690058214757117,-0.2924620210936988,-0.22694145233644297
LIZI,2020-09-02,4.16,4.23,4.04,4.1399,11283,4.1399,4.47897731978404,4.7492628719376855,-0.2702855521536458,-0.210561310147129
LIZI,2020-09-01,4.31,4.35,4.04,4.19,7336,4.19,4.5406277415629575,4.798011901692701,-0.2573841601297442,-0.1956302496454998
LIZI,2020-08-31,4.27,4.3799,4.23,4.29,10738,4.29,4.604378240028948,4.846652853828116,-0.24227461379916804,-0.18019177202443892
LIZI,2020-08-28,4.22,4.47,4.22,4.335,700,4.335,4.661537920034212,4.891185082134366,-0.22964716210015454,-0.16467106158075662
LIZI,2020-08-27,4.4,4.4,4.4,4.4,1000,4.4,4.720908450949524,4.935679888705116,-0.21477143775559335,-0.14842703645090735
LIZI,2020-08-26,4.53,4.53,4.5,4.5,560,4.499999999999998,4.779255442031254,4.978534279801526,-0.19927883777027056,-0.13184093612473607
LIZI,2020-08-25,4.5,4.5,4.46,4.46,400,4.459999999999997,4.8300291587642095,5.016817022185647,-0.18678786342143727,-0.11498146071335222
LIZI,2020-08-24,4.57,4.57,4.54,4.54,2342,4.5399999999999965,4.897307187630429,5.061362383960499,-0.16405519633006982,-0.09702986003633093
LIZI,2020-08-21,4.55,4.62,4.54,4.61,7342,4.609999999999997,4.962272130835961,5.103071374677339,-0.14079924384137765,-0.0802735259628962
LIZI,2020-08-20,4.79,4.81,4.79,4.8,2826,4.799999999999996,5.026321609169772,5.142517084651527,-0.11619547548175467,-0.06514209649327585
LIZI,2020-08-19,4.82,4.93,4.82,4.9,3200,4.899999999999996,5.067470992655185,5.169918451423649,-0.10244745876846384,-0.052378751746155916
LIZI,2020-08-18,4.95,4.965,4.72,4.96,2174,4.9599999999999955,5.097920264047038,5.19151192753754,-0.0935916634905034,-0.039861574990578935
LIZI,2020-08-17,4.73,4.73,4.6,4.6,2477,4.599999999999995,5.122996675691954,5.210032881740544,-0.08703620604859097,-0.02642905286559804
LIZI,2020-08-14,4.78,5.0,4.78,4.9295,1568,4.9294999999999956,5.218086980363217,5.258835512279787,-0.04074853191657013,-0.011277264569850027
LIZI,2020-08-13,5.31,5.31,5.14,5.14,1239,5.139999999999994,5.270557340429256,5.28518235326217,-0.014625012832913953,-0.00390944773317
LIZI,2020-08-12,5.13,5.2499,5.1,5.2499,3145,5.249899999999994,5.294295038689121,5.2967969415231435,-0.002501902834021408,-0.0012305564582340126
LIZI,2020-08-11,5.4,5.4,5.4,5.4,10000,5.399999999999995,5.302366863905325,5.300548696844993,0.0018181670603318878,-0.0009127198642869418
LIZI,2020-08-10,5.2,5.2,5.2,5.2,169,5.199999999999994,5.2846153846153845,5.292592592592593,-0.007977207977208245,-0.001595441595441649
LIZI,2020-08-07,5.2297,5.3,5.2297,5.3,2366,5.299999999999994,5.3,5.3,0.0,0.0
