Symbol,Date,Open,High,Low,Close,Volume
ADAP,2021-09-22,5.51,5.529,5.51,5.529,16769
ADAP,2021-09-21,5.12,5.12,5.12,5.12,7620
ADAP,2021-09-20,5.2,5.245,5.13,5.135,25095
ADAP,2021-09-17,5.23,5.36,5.23,5.26,34299
ADAP,2021-09-16,5.41,5.41,5.3,5.3,38970
ADAP,2021-09-15,5.35,5.41,5.34,5.35,51530
ADAP,2021-09-14,5.81,5.86,5.8,5.83,30005
ADAP,2021-09-13,6.82,6.84,6.61,6.6668,120559
ADAP,2021-09-10,6.4266,6.4266,6.12,6.1798,25945
ADAP,2021-09-09,6.2,6.27,6.2,6.26,25277
ADAP,2021-09-08,6.2,6.28,6.1,6.16,128596
ADAP,2021-09-07,6.1,6.1,5.815,5.85,952831
ADAP,2021-09-07,6.1,6.1,5.815,5.85,952831
ADAP,2021-09-03,4.95,4.95,4.94,4.94,5556
ADAP,2021-09-02,5.05,5.085,5.04,5.045,13706
ADAP,2021-09-01,5.14,5.1436,5.08,5.1436,16516
ADAP,2021-08-31,5.21,5.236,5.21,5.23,7391
ADAP,2021-08-30,5.26,5.3,5.26,5.26,43672
ADAP,2021-08-27,5.03,5.07,5.03,5.05,26688
ADAP,2021-08-26,4.91,4.91,4.85,4.905,32438
ADAP,2021-08-25,4.38,4.38,4.36,4.38,37689
ADAP,2021-08-24,4.32,4.36,4.32,4.33,19851
ADAP,2021-08-23,3.99,3.99,3.93,3.93,30096
ADAP,2021-08-20,3.752,3.77,3.75,3.75,2120
ADAP,2021-08-19,3.87,3.87,3.87,3.87,3562
ADAP,2021-08-18,3.82,3.82,3.79,3.79,4168
ADAP,2021-08-17,3.95,3.95,3.93,3.95,12417
ADAP,2021-08-16,3.95,3.95,3.89,3.89,15966
ADAP,2021-08-13,3.84,3.84,3.8,3.84,14180
ADAP,2021-08-12,3.69,3.735,3.69,3.725,8130
