Symbol,Date,Open,High,Low,Close,Volume,PGEZF SMA,PGEZF spanTwelveEMA,PGEZF spanTwntySixEMA,PGEZF_x,PGEZF_y
PGEZF,2020-10-27,0.245,0.245,0.22989,0.23,18600,0.23,0.2318057137108757,0.2366222393175819,-0.004816525606706174,-0.005552921318105335
PGEZF,2020-10-26,0.245,0.245,0.2251,0.23475,7500,0.23475,0.2321340252946713,0.23715201846298845,-0.0050179931683171355,-0.005737020245955118
PGEZF,2020-10-23,0.23,0.23,0.23,0.23,1000,0.23,0.2316583935300661,0.2373441799400275,-0.005685786409961396,-0.005916777015364613
PGEZF,2020-10-22,0.231,0.231,0.231,0.231,9500,0.231,0.23195991962644175,0.2379317143352297,-0.0059717947087879475,-0.005974524666715417
PGEZF,2020-10-21,0.22505,0.22505,0.22,0.22,4000,0.22,0.232134450467613,0.2384862514820481,-0.00635180101443511,-0.005975207156197284
PGEZF,2020-10-20,0.2335,0.2335,0.2335,0.2335,100,0.2335,0.2343407141889972,0.23996515160061194,-0.005624437411614752,-0.005881058691637827
PGEZF,2020-10-19,0.24,0.2486,0.23,0.23,25475,0.23,0.2344935713142694,0.2404823637286609,-0.005988792414391486,-0.005945214011643601
PGEZF,2020-10-16,0.235,0.235,0.235,0.235,5000,0.235,0.23531058428050014,0.24132095282695376,-0.006010368546453593,-0.005934319410956629
PGEZF,2020-10-15,0.235,0.235,0.235,0.235,10000,0.235,0.23536705414968204,0.2418266290531101,-0.0064595749034280225,-0.005915307127082382
PGEZF,2020-10-14,0.24,0.24,0.24,0.24,6400,0.24,0.2354337912678061,0.2423727593773589,-0.006938968109552801,-0.0057792401829959645
PGEZF,2020-10-13,0.245,0.25,0.22885999999999998,0.23205,18593,0.23205,0.23460357149831626,0.2425625801275476,-0.007959008629231296,-0.005489308201356755
PGEZF,2020-10-12,0.22,0.22,0.22,0.22,2000,0.21999999999999995,0.23506785722528284,0.2434035865377513,-0.00833572931246851,-0.0048718830943881054
PGEZF,2020-10-09,0.2299,0.2299,0.215,0.215,7375,0.21499999999999994,0.2378074676298797,0.2452758734607715,-0.007468405830891728,-0.0040059215398680174
