Symbol,Date,Open,High,Low,Close,Volume,SPAQ SMA,SPAQ spanTwelveEMA,SPAQ spanTwntySixEMA,SPAQ_x,SPAQ_y
SPAQ,2020-10-27,10.3,10.84,10.25,10.365,2280690,10.365,12.121816652946563,13.173682685574994,-1.0518660326284321,-0.6547600902846332
SPAQ,2020-10-26,10.4,10.42,9.81,10.0081,1806828,10.0081,12.441237862573212,13.398377300420993,-0.9571394378477828,-0.555483604698684
SPAQ,2020-10-23,11.15,11.2,10.66,10.8842,1647156,10.884199999999998,12.883626564859247,13.669599484454672,-0.785972919595423,-0.4550696464114096
SPAQ,2020-10-22,11.91,11.96,11.25,11.565,2360967,11.564999999999998,13.24715866756093,13.892431443211045,-0.6452727756501151,-0.3723438281154058
SPAQ,2020-10-21,12.34,12.45,11.81,12.16,1838452,12.159999999999998,13.553005698026553,14.078625958667926,-0.5256202606413751,-0.30411159123172843
SPAQ,2020-10-20,12.63,12.65,11.85,11.95,2082616,11.95,13.806279461304106,14.23211603536136,-0.4258365740572536,-0.24873442387931718
SPAQ,2020-10-19,13.43,13.65,13.26,13.375,647001,13.375,14.143784817904857,14.414685318190275,-0.2709005002854159,-0.20445888633483306
SPAQ,2020-10-16,14.01,14.15,13.71,13.8485,728792,13.8485,14.283563875705738,14.497860143645491,-0.21429626793975487,-0.1878484828471869
SPAQ,2020-10-15,14.99,15.0,14.23,14.4,1556714,14.4,14.362666398561327,14.549808955137134,-0.1871425565758056,-0.18123653657404534
SPAQ,2020-10-14,14.25,14.41,14.17,14.315,528682,14.315,14.355878471027024,14.561793671548104,-0.2059152005210816,-0.17976003157360482
SPAQ,2020-10-13,14.15,14.37,14.08,14.3,343498,14.300000000000002,14.363310920304663,14.581537165271952,-0.21822624496729048,-0.17322123933673605
SPAQ,2020-10-12,14.49,14.8,14.27,14.7174,595230,14.7174,14.374821996723693,14.604060138493711,-0.22923814177001844,-0.1619699879290979
SPAQ,2020-10-09,13.98,14.04,13.82,13.885,264061,13.885000000000005,14.312535087037089,14.594992949573207,-0.28245786253611804,-0.14515294946886775
SPAQ,2020-10-08,13.87,13.88,13.63,13.8098,491673,13.8098,14.390268739225652,14.651792385539064,-0.2615236463134121,-0.11082672120205517
SPAQ,2020-10-07,14.0,14.13,13.7,13.865,600580,13.865000000000002,14.495808509993953,14.719151776382189,-0.22334326638823754,-0.07315248992421594
SPAQ,2020-10-06,14.87,15.0,14.21,14.4378,1297444,14.4378,14.610500966356486,14.787483918492766,-0.17698295213627802,-0.035604795808210986
SPAQ,2020-10-05,14.59,14.775,14.3,14.3701,350856,14.370100000000004,14.64190114205767,14.815458631972186,-0.17355748991451847,-0.00026025672619378604
SPAQ,2020-10-02,13.86,14.6,13.53,14.39,1211385,14.390000000000004,14.691319531522698,14.851087322529965,-0.1597677910072619,0.04306405157088695
SPAQ,2020-10-01,14.38,14.44,14.23,14.285,283776,14.285000000000005,14.746104900890465,14.88797430833236,-0.14186940744189513,0.0937720122154255
SPAQ,2020-09-30,14.44,14.69,14.2845,14.38,401689,14.380000000000004,14.829942155597825,14.936212252998953,-0.10627009740112747,0.15268236712975564
SPAQ,2020-09-29,14.65,14.75,14.15,14.34,669089,14.340000000000005,14.911749820251973,14.980709233238866,-0.06895941298689401,0.21742048326247637
SPAQ,2020-09-28,14.15,14.51,14.11,14.1825,1172780,14.182500000000005,15.015704333025058,15.031965971897973,-0.016261638872917317,0.28901545732481854
SPAQ,2020-09-25,13.3,13.8,13.27,13.5801,933234,13.580100000000007,15.167196029938705,15.099923249649812,0.06727278028889216,0.36533473137425204
SPAQ,2020-09-24,13.35,13.59,12.52,12.95,2682059,12.950000000000005,15.455758944473017,15.221509109621794,0.23424983485121764,0.43985021914559197
SPAQ,2020-09-23,15.65,15.91,14.83,14.9604,1769345,14.960400000000005,15.911351479831744,15.40322983839154,0.5081216414402032,0.4912503152191842
SPAQ,2020-09-22,16.55,16.6,16.2,16.375,527378,16.375000000000004,16.08425174889206,15.438656225462866,0.645595523429197,0.4870324836639295
SPAQ,2020-09-21,17.05,17.2,16.4,16.73,1242206,16.730000000000004,16.031388430508798,15.363748723499894,0.6676397070089042,0.44739172372261293
SPAQ,2020-09-18,16.5,16.76,16.32,16.55,581868,16.55,15.90436814514676,15.254448621379886,0.6499195237668758,0.39232972790104004
SPAQ,2020-09-17,15.91,16.8499,15.54,16.745,1494244,16.745,15.786980535173445,15.150804511090277,0.6361760240831701,0.32793227893458154
SPAQ,2020-09-16,16.82,17.01,16.6,16.84,938001,16.84,15.612795177932256,15.023268871977494,0.5895263059547577,0.2508713426474348
SPAQ,2020-09-15,17.01,18.19,16.82,18.075,2904800,18.075,15.389667028465393,14.877930381735695,0.5117366467296947,0.16620760182060323
SPAQ,2020-09-14,16.32,17.1,16.03,16.79,3100624,16.789999999999996,14.901424670004554,14.622164812274553,0.2792598577300005,0.07982534059332946
SPAQ,2020-09-11,14.98,15.48,14.98,15.22,1306525,15.22,14.558047337278108,14.448737997256515,0.10930934002159097,0.029966711309161696
SPAQ,2020-09-10,14.82,15.2,14.61,14.975,1530269,14.975,14.437692307692306,14.387037037037036,0.05065527065526965,0.01013105413105393
SPAQ,2020-09-09,14.55,14.65,14.26,14.34,770945,14.339999999999998,14.34,14.34,0.0,0.0
