Symbol,Date,Open,High,Low,Close,Volume
HBM,2021-08-25,6.04,6.07,6.04,6.05,14863
HBM,2021-08-24,5.95,6.02,5.95,5.98,45938
HBM,2021-08-23,5.57,5.64,5.56,5.6,28598
HBM,2021-08-20,5.3,5.3,5.28,5.285,33295
HBM,2021-08-19,5.63,5.63,5.555,5.56,39186
HBM,2021-08-18,5.92,5.94,5.87,5.8795,31235
HBM,2021-08-17,6.23,6.25,6.17,6.17,34668
HBM,2021-08-16,6.52,6.52,6.45,6.51,28000
HBM,2021-08-13,6.63,6.63,6.59,6.6,7404
HBM,2021-08-12,6.68,6.68,6.65,6.65,14302
HBM,2021-08-11,6.62,6.71,6.62,6.62,42762
HBM,2021-08-10,6.35,6.4,6.3,6.4,31858
HBM,2021-08-09,6.5,6.52,6.42,6.45,14783
HBM,2021-08-06,6.78,6.78,6.75,6.75,7115
HBM,2021-08-05,6.68,6.77,6.68,6.73,34850
HBM,2021-08-04,6.95,6.9527,6.95,6.95,4822
HBM,2021-08-03,6.94,6.94,6.92,6.92,15699
HBM,2021-08-02,7.29,7.29,7.26,7.26,6721
HBM,2021-07-30,7.19,7.21,7.17,7.17,12086
HBM,2021-07-29,7.29,7.385,7.29,7.37,48052
HBM,2021-07-28,7.05,7.08,7.0,7.0,34539
HBM,2021-07-27,6.89,6.92,6.84,6.87,37343
HBM,2021-07-26,6.79,6.85,6.79,6.85,41586
HBM,2021-07-23,6.73,6.7399,6.69,6.73,9975
HBM,2021-07-22,6.56,6.65,6.56,6.62,20103
HBM,2021-07-21,6.31,6.41,6.31,6.4,35123
HBM,2021-07-20,6.0,6.02,5.99,6.01,12049
HBM,2021-07-19,6.27,6.31,6.1604,6.2,65687
HBM,2021-07-16,7.02,7.05,7.02,7.05,15339
HBM,2021-07-15,6.79,6.79,6.78,6.78,17067
