Symbol,Date,Open,High,Low,Close,Volume,VERB SMA,VERB spanTwelveEMA,VERB spanTwntySixEMA,VERB_x,VERB_y
VERB,2021-01-20,1.86,1.864,1.76,1.8,88962,1.8,1.7592663943956983,1.727544930521394,0.03172146387430464,0.04382912857970492
VERB,2021-01-19,1.79,1.79,1.65,1.65,357261,1.65,1.7518602842858255,1.7217485249631057,0.03011175932272025,0.04685604475605504
VERB,2021-01-19,1.79,1.79,1.65,1.65,357261,1.65,1.7703803359741577,1.7274884069601542,0.04289192901400374,0.051042116114388844
VERB,2021-01-15,1.88,1.88,1.76,1.83,128970,1.83,1.792267669787641,1.7336874795169663,0.05858019027067464,0.05307966288948517
VERB,2021-01-14,2.07,2.1399,1.97,1.9801,269387,1.9801,1.7854072461126669,1.7259824778783237,0.05942476823434295,0.051704531044187804
VERB,2021-01-13,1.82,1.895,1.81,1.8705,231186,1.8705,1.7500085635876967,1.7056530761085895,0.04435548747910745,0.04977447174664896
VERB,2021-01-12,1.83,1.83,1.73,1.75,122231,1.7499999999999998,1.728101029694551,1.6924653221972767,0.03563570749727418,0.05112921781353438
VERB,2021-01-11,1.79,1.79,1.71,1.725,151784,1.7249999999999996,1.7241193987299237,1.6878625479730591,0.0362568507568648,0.055002595392599433
VERB,2021-01-08,1.8,1.8,1.71,1.72,193867,1.7199999999999993,1.7239592894080915,1.6848915518109036,0.03906773759718818,0.05968903155153314
VERB,2021-01-07,1.7,1.73,1.69,1.7256,94257,1.7255999999999994,1.7246791602095628,1.6820828759557758,0.04259628425378703,0.06484435504011943
VERB,2021-01-06,1.77,1.77,1.7,1.72,128804,1.7199999999999993,1.7245117347931196,1.6786015060322377,0.04591022876088191,0.07040637273670251
VERB,2021-01-05,1.7,1.7,1.66,1.68,66601,1.6799999999999995,1.7253320502100504,1.6752896265148167,0.050042423695233706,0.07653040873065767
VERB,2021-01-04,1.68,1.6973,1.61,1.6546,147600,1.6545999999999996,1.7335742411573325,1.6749127966360022,0.058661444521330035,0.08315240498951366
VERB,2021-01-04,1.68,1.6973,1.61,1.6546,147600,1.6545999999999996,1.7479331940950291,1.6765378203668824,0.07139537372814675,0.0892751451065595
VERB,2020-12-31,1.68,1.7,1.65,1.6717,108525,1.6716999999999995,1.7649028657486707,1.6782928459962332,0.08661001975243776,0.09374508795116268
VERB,2020-12-30,1.63,1.679,1.61,1.675,88462,1.6749999999999998,1.7818488413393383,1.6788202736759317,0.10302856766340683,0.09552885500084396
VERB,2020-12-29,1.755,1.8299,1.75,1.76,178430,1.7599999999999996,1.8012759034010362,1.679125895570006,0.12215000783103006,0.09365392683520328
VERB,2020-12-28,1.98,1.98,1.91,1.97,146712,1.9699999999999995,1.808780613110316,1.6726559672156065,0.13612464589470918,0.08652990658624654
VERB,2020-12-28,1.98,1.98,1.91,1.97,146712,1.9699999999999995,1.7794679973121914,1.6488684445928552,0.1305995527193362,0.07413122175913081
VERB,2020-12-24,2.14,2.17,2.0,2.03,281038,2.03,1.744825815005317,1.6231779201602834,0.12164789484503367,0.060014139019079454
VERB,2020-12-23,1.86,1.97,1.86,1.9101,309804,1.9101,1.6929759631881018,1.590632153773106,0.102343809414996,0.04460570006259089
VERB,2020-12-22,2.06,2.2,2.05,2.1,818152,2.1,1.6534988655859388,1.5650747260749545,0.08842413951098438,0.030171172724489666
VERB,2020-12-21,1.87,1.9,1.84,1.8467,246525,1.8467,1.5723168411470188,1.5222807041609507,0.050036136986067785,0.015607931027865986
VERB,2020-12-18,1.7,1.73,1.68,1.69,345359,1.6899999999999995,1.5224289940828402,1.4963271604938269,0.026101833589013083,0.00700087953831548
VERB,2020-12-17,1.56,1.63,1.55,1.61,386725,1.61,1.4919615384615383,1.4808333333333332,0.011128205128205115,0.002225641025641023
VERB,2020-12-16,1.47,1.48,1.45,1.4705,140574,1.4704999999999997,1.4705,1.4705,0.0,0.0
