Symbol,Date,Open,High,Low,Close,Volume,SB SMA,SB spanTwelveEMA,SB spanTwntySixEMA,SB_x,SB_y
SB,2020-12-17,1.16,1.1699,1.15,1.16,7725,1.16,1.1602197543691697,1.127944348639944,0.03227540572922538,0.036351318559332074
SB,2020-12-16,1.18,1.19,1.1791,1.18,25759,1.18,1.1602597097090186,1.1253798965311397,0.034879813177878916,0.03737029676685869
SB,2020-12-15,1.16,1.19,1.16,1.17,18296,1.1699999999999997,1.1566705660197494,1.1210102882536308,0.035660277766118575,0.037992917664103634
SB,2020-12-14,1.18,1.19,1.17,1.185,20215,1.1849999999999996,1.1542470325687948,1.1170911113139212,0.03715592125487355,0.038576077638599895
SB,2020-12-11,1.16,1.19,1.16,1.18,25849,1.1799999999999993,1.1486555839449393,1.1116584002190348,0.03699718372590422,0.03893111673453148
SB,2020-12-10,1.16,1.16,1.16,1.16,1256,1.159999999999999,1.1429565992076554,1.106191072236558,0.03676552697109736,0.03941459998668823
SB,2020-12-09,1.13,1.14,1.13,1.14,4208,1.139999999999999,1.1398577990635927,1.1018863580154823,0.03797144104811023,0.04007686824058594
SB,2020-12-08,1.15,1.17,1.15,1.1505,962,1.150499999999999,1.1398319443478824,1.098837266656721,0.04099467769116138,0.0406032250387048
SB,2020-12-07,1.17,1.1783,1.1411,1.16,36519,1.1599999999999988,1.1378922978656791,1.0947042479892586,0.04318804987642055,0.04050536187559066
SB,2020-12-04,1.11,1.14,1.11,1.14,10772,1.139999999999999,1.1338727156594388,1.0894805878283993,0.04439212783103952,0.03983468987538318
SB,2020-12-03,1.16,1.17,1.15,1.15,1512,1.1499999999999992,1.1327586639611549,1.0854390348546714,0.04731962910648346,0.03869533038646909
SB,2020-12-02,1.15,1.15,1.1267,1.1267,7490,1.1266999999999991,1.1296238755904555,1.080274157643045,0.04934971794741072,0.0365392557064655
SB,2020-12-01,1.21,1.25,1.21,1.25,35838,1.2499999999999991,1.130155489334175,1.0765600902544885,0.05359539907968647,0.033336640146229245
SB,2020-11-30,1.2,1.2,1.18,1.185,47816,1.1849999999999992,1.108365578304025,1.0626848974748475,0.045680680829177416,0.028271950412864934
SB,2020-11-27,1.17,1.18,1.15,1.18,30318,1.1799999999999993,1.094432047086575,1.0528996892728353,0.04153235781373965,0.02391976780878681
SB,2020-11-27,1.17,1.18,1.15,1.18,30318,1.1799999999999995,1.0788742374659523,1.042731664414662,0.036142573051290316,0.019516620307548596
SB,2020-11-25,1.17,1.17,1.12,1.13,35831,1.1299999999999997,1.0604877351870343,1.031750197567835,0.02873753761919962,0.015360132121613163
SB,2020-11-24,1.14,1.15,1.11,1.13,39993,1.13,1.0478491415846771,1.0238902133732617,0.023958928211415653,0.012015780747216603
SB,2020-11-23,1.08,1.1,1.08,1.093,20933,1.093,1.0329126218728006,1.0154014304431227,0.01751119142967794,0.009029993881166895
SB,2020-11-20,1.04,1.06,1.04,1.06,15425,1.06,1.0219876440314917,1.0091935448785725,0.01279409915291918,0.006909694494039132
SB,2020-11-19,1.01,1.02,0.9963,1.02,32639,1.02,1.015076306582672,1.0051290284688583,0.009947278113813685,0.005438593329319119
SB,2020-11-18,1.05,1.05,1.045,1.045,5431,1.045,1.0141810895977033,1.0039393507463672,0.01024173885133628,0.004311422133195478
SB,2020-11-17,1.04,1.05,1.0267,1.04,16507,1.04,1.0085776513427402,1.0006544988060764,0.007923152536663869,0.002828842953660333
SB,2020-11-16,1.03,1.04,1.025,1.03,10519,1.0300000000000002,1.0028644970414202,0.9975068587105624,0.005357638330857895,0.0015552655579094488
SB,2020-11-13,1.01,1.04,1.01,1.03,16345,1.0300000000000005,0.9979307692307692,0.9949074074074074,0.0030233618233619364,0.0006046723646723651
SB,2020-11-12,1.05,1.06,0.9921,0.9921,55329,0.9921000000000004,0.9921,0.9921,0.0,0.0
