Symbol,Date,Open,High,Low,Close,Volume,PT SMA,PT spanTwelveEMA,PT spanTwntySixEMA,PT_x,PT_y
PT,2020-12-17,0.966,0.9681,0.94,0.9420000000000001,13934,0.9420000000000001,0.9418047826798726,0.9327188256563729,0.009085957023499569,0.013739958412156214
PT,2020-12-16,0.96,0.99,0.9502,0.9502,48602,0.9502,0.9417692886216676,0.9319763317088828,0.0097929569127847,0.014903458759320346
PT,2020-12-15,0.9211,0.9301,0.9211,0.9299,8580,0.9299,0.9402364320074252,0.9305184382455934,0.0097179937618318,0.01618108422095423
PT,2020-12-14,0.91,0.9424,0.9016,0.9209999999999999,30149,0.921,0.9421157832815026,0.9305679133052408,0.011547869976261673,0.017796856835734835
PT,2020-12-11,0.9472,0.9478479999999999,0.9301,0.9301,5788,0.9301000000000004,0.945955016605412,0.9313333463696604,0.014621670235751894,0.0193591035506031
PT,2020-12-10,0.93,0.95,0.93,0.95,6087,0.95,0.9488377468973052,0.9314320140792332,0.017405732818072117,0.020543461879315956
PT,2020-12-09,0.94,0.96,0.9329999999999999,0.9359999999999999,27656,0.9360000000000002,0.9486264281513608,0.929946575205572,0.018679852945788892,0.02132789414462694
PT,2020-12-08,0.9664,0.97,0.941,0.9482,16989,0.9482000000000004,0.950922142360699,0.9294623012220176,0.02145984113868149,0.02198990444433648
PT,2020-12-07,0.9553,0.9553,0.92,0.9374,38765,0.9374000000000005,0.9514170773353716,0.9279632853197788,0.023453792015592608,0.022122420270750225
PT,2020-12-04,0.99,1.03,0.99,0.99,114722,0.9900000000000004,0.9539656368508936,0.9272083481453612,0.0267572887055324,0.021789577334539574
PT,2020-12-03,0.98,0.98,0.95,0.95,36864,0.9500000000000004,0.947413934460147,0.9221850159969901,0.025228918463157,0.020547649491791366
PT,2020-12-02,0.93,0.95,0.9,0.9382,38980,0.9382000000000004,0.9469437407256284,0.9199598172767492,0.02698392344887901,0.019377332248949983
PT,2020-12-01,1.0,1.0,0.96,0.97,29299,0.9700000000000004,0.9485335117666516,0.9185006026588892,0.03003290910776235,0.017475684448967695
PT,2020-11-30,1.05,1.07,0.9719,1.0,120481,1.0000000000000002,0.9446305139060428,0.9143806508716004,0.03024986303444255,0.014336378284269027
PT,2020-11-27,1.05,1.06,1.0,1.02,107869,1.0200000000000005,0.9345633346162324,0.9075311029413284,0.02703223167490409,0.010358007096725673
PT,2020-11-27,1.05,1.06,1.0,1.02,107869,1.0200000000000005,0.9190293954555476,0.8985335911766347,0.020495804278912844,0.006189450952181095
PT,2020-11-25,0.96,0.98,0.9109999999999999,0.9303,167432,0.9303000000000003,0.9006711037201925,0.8888162784707654,0.011854825249427159,0.002612862620498131
PT,2020-11-24,0.94,1.0,0.92,0.98,115811,0.9800000000000004,0.8952840316693185,0.8854975807484265,0.00978645092089192,0.0003023719632658738
PT,2020-11-23,0.9,0.922,0.8898,0.9201,38832,0.9201000000000004,0.8798811283364673,0.8779373872083007,0.001943741128166532,-0.002068647776140638
PT,2020-11-20,0.8602,0.9,0.850001,0.8881,37423,0.8881000000000002,0.8725686062158249,0.8745643781849648,-0.0019957719691398035,-0.00307174500221743
PT,2020-11-19,0.87,0.8798,0.8503,0.8779,7069,0.8779000000000002,0.8697447164368841,0.8734815284397621,-0.0037368120028778975,-0.0033407382604868086
PT,2020-11-18,0.8859999999999999,0.9174,0.87,0.8909,17168,0.8909000000000001,0.8682619376072267,0.8731280507149429,-0.00486611310771623,-0.0032417198248890083
PT,2020-11-17,0.84,0.86,0.84,0.84,11714,0.8400000000000001,0.8641459262630861,0.8717062947721383,-0.007560368509052284,-0.002835621504182203
PT,2020-11-16,0.83,0.8844,0.82,0.8395,4541,0.8395,0.8685360946745562,0.8742427983539095,-0.005706703679353331,-0.0016544347529646821
PT,2020-11-13,0.87,0.89,0.833,0.8398,76229,0.8398,0.8738153846153845,0.8770222222222221,-0.003206837606837598,-0.0006413675213675197
PT,2020-11-12,0.88,0.9,0.87,0.88,33261,0.88,0.88,0.88,0.0,0.0
