Symbol,Date,Open,High,Low,Close,Volume,AAPL SMA,AAPL spanTwelveEMA,AAPL spanTwntySixEMA,AAPL_x,AAPL_y
AAPL,2021-06-08,126.6,126.775,126.6,126.68,1193984,126.68,125.84877323643464,127.11927791414271,-1.2705046777080753,-1.5681280157133795
AAPL,2021-06-07,126.18,126.32,125.94,126.305,1342609,126.305,125.69764109760456,127.15442014727414,-1.4567790496695636,-1.6425338502147053
AAPL,2021-06-04,124.07,124.1,123.85,124.03,919725,124.03,125.58721220625996,127.22237375905608,-1.63516155279612,-1.6889725503509871
AAPL,2021-06-03,124.66,124.85,124.51,124.65,1468684,124.65,125.8703416983072,127.47776365978056,-1.6074219614733352,-1.7024252997397036
AAPL,2021-06-02,124.29,124.59,124.11,124.51,1124439,124.51,126.09222200709036,127.703984752563,-1.6117627454726318,-1.7261761343062887
AAPL,2021-06-01,125.07,125.35,125.05,125.27,1616299,125.27,126.37989873565223,127.95950353276804,-1.5796047971157918,-1.7547794815146993
AAPL,2021-06-01,125.07,125.35,125.05,125.27,1616299,125.27,126.58169850577085,128.1746638153895,-1.5929653096186345,-1.7985731526144226
AAPL,2021-05-28,125.57,125.65,125.35,125.5674,1205367,125.5674,126.82018914318373,128.40703692062064,-1.5868477774369296,-1.849975113363366
AAPL,2021-05-27,126.36,127.08,126.36,127.04,1189907,127.04,127.04796898739892,128.6342078742703,-1.5862388868713566,-1.9157569473449783
AAPL,2021-05-26,126.93,127.29,126.85,127.2858,891208,127.2858,127.04941789419874,128.76174450421192,-1.7123266100131789,-1.99813646246338
AAPL,2021-05-25,127.84,127.87,127.6401,127.79,1034503,127.79,127.0064393295076,128.87982006454888,-1.8733807350412803,-2.06958892557593
AAPL,2021-05-24,126.01,126.22,125.97,126.05,995135,126.05,126.86397375305444,128.9670056697128,-2.1030319166583524,-2.118640973209592
AAPL,2021-05-21,127.85,128.0,127.6735,127.82,3093097,127.82,127.01196898088251,129.2003661232898,-2.1883971424072826,-2.1225432373474016
AAPL,2021-05-20,125.23,125.52,125.1,125.44,1161132,125.44,126.86505425013388,129.310795413153,-2.4457411630191075,-2.106079761082431
AAPL,2021-05-19,123.16,123.47,122.86,123.45,1630302,123.45,127.12415502288547,129.62045904620524,-2.496304023319752,-2.021164410598262
AAPL,2021-05-18,126.56,126.63,126.3,126.41,974191,126.41,127.79218320886469,130.11409576990167,-2.321912561036996,-1.9023795074178858
AAPL,2021-05-17,126.82,126.92,126.41,126.69,1544797,126.69,128.04348924684007,130.4104234314938,-2.3669341846537293,-1.7974962440131117
AAPL,2021-05-14,126.27,126.62,126.24,126.51,1210385,126.51,128.289578200811,130.7080573060133,-2.4184791052022945,-1.655136758852957
AAPL,2021-05-13,124.58,124.85,124.43,124.85,1999409,124.85,128.61313787368573,131.04390189049437,-2.430764016808638,-1.4643011722656225
AAPL,2021-05-12,123.52,124.01,123.31,123.885,1731172,123.885,129.2973447598104,131.53941404173392,-2.2420692819235057,-1.2226854611298685
AAPL,2021-05-11,123.5,123.8,122.77,123.67,3595473,123.67,130.28140744341232,132.15176716507264,-1.8703597216603212,-0.967839505931452
AAPL,2021-05-10,129.4,129.54,129.12,129.2184,1370113,129.2184,131.48348152403275,132.83030853827844,-1.3468270142456902,-0.7422094519992346
AAPL,2021-05-07,130.84,130.99,130.06,130.09,1377358,130.09,131.89531452840234,133.1192612213407,-1.2239466929383696,-0.5910550614376205
AAPL,2021-05-06,127.9,128.01,127.63,127.69,998792,127.69,132.2235535335664,133.36160211904797,-1.1380485854815845,-0.4328321535624332
AAPL,2021-05-05,129.21,129.6,129.19,129.48,1581947,129.48,133.04783599421484,133.8153302885718,-0.7674942943569647,-0.2565280455826453
AAPL,2021-05-04,131.18,131.41,130.94,131.38,1649469,131.38,133.69653344770845,134.16215671165756,-0.4656232639491122,-0.12878648338906543
AAPL,2021-05-03,132.01,132.12,131.83,132.0601,1128011,132.0601,134.1177213472918,134.38472924859016,-0.2670079012983706,-0.0445772882490537
AAPL,2021-04-30,131.8,132.19,131.36,132.01,1896412,132.01,134.49183431952665,134.57069958847737,-0.0788652689507216,0.01103036501327552
AAPL,2021-04-29,136.47,137.07,136.42,136.72,3844913,136.72,134.94307692307694,134.77555555555557,0.167521367521374,0.03350427350427481
AAPL,2021-04-28,134.29,134.67,134.25,134.62,1340836,134.62,134.62,134.62,0.0,0.0
