Symbol,Date,Open,High,Low,Close,Volume,BXRX SMA,BXRX spanTwelveEMA,BXRX spanTwntySixEMA,BXRX_x,BXRX_y
BXRX,2021-02-17,1.79,1.81,1.68,1.7089,1838003,1.7089,1.750029082771508,1.5979493008068757,0.15207978196463245,0.14223272442846213
BXRX,2021-02-16,1.88,1.96,1.86,1.9,1982766,1.9,1.757507097820873,1.5890732448714258,0.16843385294944754,0.1397709600444196
BXRX,2021-02-16,1.88,1.96,1.86,1.9,1982766,1.9,1.7315992974246683,1.5641991044611396,0.1674001929635287,0.13260523681816266
BXRX,2021-02-12,1.81,1.84,1.75,1.7889,925646,1.7889,1.7009809878655169,1.5373350328180306,0.16364595504748647,0.12390649778182114
BXRX,2021-02-11,2.0,2.0,1.88,1.885,780743,1.885,1.6849957129319748,1.517209835443473,0.1677858774885017,0.11397163346540487
BXRX,2021-02-10,2.0,2.06,1.95,1.9987,1928362,1.9987,1.6486312971014248,1.4877866222789509,0.16084467482247367,0.10051807245963065
BXRX,2021-02-09,2.01,2.1,1.96,2.025,4685647,2.025,1.5849824420289564,1.4469135520612668,0.1380688899676894,0.08543642186891984
BXRX,2021-02-08,1.77,1.95,1.7,1.9299,3112570,1.9299,1.5049792496705852,1.4006666362261684,0.10431261344441656,0.0722783048442274
BXRX,2021-02-05,1.6,1.63,1.57,1.5911,744567,1.5911,1.4277209314288732,1.3583279671242618,0.0693929643046114,0.06426972769418005
BXRX,2021-02-04,1.58,1.63,1.5,1.52,930541,1.52,1.3980156462341229,1.3397062044942027,0.058309441739920136,0.0629889185415722
BXRX,2021-02-03,1.45,1.46,1.43,1.44,400974,1.44,1.3758366728221454,1.3252827008537391,0.0505539719684065,0.0641587877419852
BXRX,2021-02-02,1.32,1.33,1.29,1.315,477185,1.315,1.364170613335263,1.316105316922038,0.04806529641322488,0.06755999168537993
BXRX,2021-02-01,1.35,1.35,1.28,1.3,595101,1.3000000000000005,1.3731107248507652,1.316193742275801,0.05691698257496425,0.07243366550341869
BXRX,2021-01-29,1.38,1.38,1.31,1.3499,566574,1.3499000000000003,1.3864035839145408,1.317489241657865,0.06891434225667581,0.0763128362355323
BXRX,2021-01-28,1.36,1.36,1.31,1.335,643948,1.3350000000000006,1.39304059917173,1.314896380990494,0.07814421818123596,0.07816245973024641
BXRX,2021-01-27,1.42,1.45,1.21,1.3702,2155126,1.3702000000000003,1.4035934353847717,1.3132880914697338,0.09030534391503786,0.07816702011749901
BXRX,2021-01-26,1.54,1.5548,1.5,1.5,879982,1.5000000000000004,1.4096649690910936,1.3087351387873123,0.10092983030378112,0.0751324391681143
BXRX,2021-01-25,1.5,1.57,1.5,1.52,605701,1.5200000000000005,1.393240418016747,1.2934339498902974,0.09980646812644968,0.06868309138419754
BXRX,2021-01-22,1.51,1.53,1.39,1.4601,1338293,1.4601000000000002,1.3701932212925192,1.2753086658815211,0.09488455541099804,0.06090224719863449
BXRX,2021-01-21,1.72,1.85,1.64,1.65,2807947,1.65,1.3538465342547954,1.2605253591520431,0.09332117510275252,0.0524066701455436
BXRX,2021-01-20,1.5507,1.59,1.46,1.5090000000000001,1964191,1.5090000000000003,1.300000449573849,1.2293673878842062,0.0706330616896429,0.04217804390624143
BXRX,2021-01-19,1.32,1.34,1.31,1.3312,501394,1.3312000000000002,1.2620005313145488,1.2069967789149427,0.05500375239960609,0.03506428946039106
BXRX,2021-01-19,1.32,1.34,1.31,1.3312,501394,1.3312,1.2494188097353758,1.197060521228138,0.05235828850723778,0.0300794237255873
BXRX,2021-01-15,1.31,1.37,1.3,1.35,416923,1.35,1.234549502414535,1.1863293629263891,0.04822013948814608,0.02450970753017468
BXRX,2021-01-14,1.29,1.3,1.27,1.285,532913,1.2849999999999997,1.2135585028535414,1.1732357119605001,0.04032279089304147,0.018582099540681886
BXRX,2021-01-13,1.37,1.38,1.3,1.32,903747,1.3199999999999996,1.2005691397360037,1.1642945689173398,0.03627457081866381,0.01314692670259204
BXRX,2021-01-12,1.41,1.44,1.33,1.345,2912102,1.3449999999999995,1.1788544378698225,1.1518381344307271,0.02701630343909533,0.007365015673574097
BXRX,2021-01-11,1.23,1.3,1.22,1.2787,2528722,1.2786999999999995,1.148646153846154,1.1363851851851852,0.012260968660968707,0.002452193732193786
BXRX,2021-01-08,1.18,1.18,1.12,1.125,475093,1.1249999999999998,1.125,1.125,0.0,0.0
