Symbol,Date,Open,High,Low,Close,Volume,MRKR SMA,MRKR spanTwelveEMA,MRKR spanTwntySixEMA,MRKR_x,MRKR_y
MRKR,2021-02-17,3.06,3.06,2.88,2.9082,101035,2.9082,2.7545181652894803,2.4387511231375925,0.3157670421518879,0.25501195385970726
MRKR,2021-02-16,3.0,3.04,2.98,2.9987,84046,2.9987000000000004,2.7265760135239314,2.4011952129886,0.32538080053533136,0.23982318178666207
MRKR,2021-02-16,3.0,3.04,2.98,2.9987,84046,2.9987000000000013,2.6770989250737367,2.3533948300276877,0.323704095046049,0.21843377709949469
MRKR,2021-02-12,3.23,3.23,2.929,2.95,151215,2.9500000000000006,2.618626002359871,2.3017704164299038,0.31685558592996754,0.1921161976128561
MRKR,2021-02-11,3.38,3.3810000000000002,3.15,3.2001,104850,3.2001,2.5583761846071202,2.249912049744296,0.3084641348628239,0.16093135053357832
MRKR,2021-02-10,3.175,3.2718,3.0,3.22,149574,3.22,2.44169912726296,2.17389701372384,0.26780211353912,0.1240481544512668
MRKR,2021-02-09,3.23,3.77,3.22,3.7,760244,3.7,2.3001898776744065,2.090208774821747,0.2099811028526597,0.08810966467930348
MRKR,2021-02-08,2.27,2.4423,2.23,2.43,217561,2.43,2.0456789463424805,1.9614254768074864,0.08425346953499391,0.057641805135964425
MRKR,2021-02-05,2.18,2.18,2.1,2.14,93347,2.14,1.9758023911320224,1.9239395149520853,0.051862876179937116,0.050988889036207
MRKR,2021-02-04,2.08,2.09,2.03,2.06,153233,2.06,1.945948280428754,1.9066546761482523,0.03929360428050166,0.050770392250274465
MRKR,2021-02-03,1.85,1.9434,1.85,1.93,41969,1.93,1.9252116041430734,1.8943870502401128,0.03082455390296035,0.05363958924271766
MRKR,2021-02-02,1.91,1.94,1.8501,1.8796,27235,1.8796,1.924340986714541,1.8915380142593212,0.03280297245521924,0.05934334807765693
MRKR,2021-02-01,1.96,1.96,1.84,1.86,33584,1.8600000000000003,1.9324757115717297,1.8924930554000672,0.039982656171662516,0.06597844198326623
MRKR,2021-01-29,1.9,1.9,1.81,1.84,17840,1.84,1.9456531136756805,1.8950924998320728,0.05056061384360788,0.07247738843616716
MRKR,2021-01-28,1.89,2.01,1.89,1.9,114063,1.9,1.9648627707076225,1.8994998998186383,0.06536287088898418,0.07795658208430704
MRKR,2021-01-27,1.98,1.9826,1.88,1.92,77516,1.9200000000000004,1.9766560017453718,1.8994598918041292,0.0771961099412426,0.08110500988313776
MRKR,2021-01-26,2.03,2.03,1.99,2.02,19391,2.0200000000000005,1.9869570929718037,1.89781668314846,0.0891404098233437,0.08208223486861155
MRKR,2021-01-25,2.03,2.05,2.02,2.0216,19133,2.0216000000000007,1.9809492916939493,1.8880420178003363,0.09290727389361277,0.08031769112992851
MRKR,2021-01-22,2.02,2.0262,1.974,2.0199,67434,2.0199000000000007,1.9735582538201224,1.8773573792243636,0.09620087459575877,0.07717029543900739
MRKR,2021-01-21,2.27,2.27,2.05,2.0644,110988,2.064400000000001,1.9651324817874167,1.8659539695623124,0.09917851222510476,0.07241265064981953
MRKR,2021-01-20,2.06,2.0646,2.01,2.05,37643,2.0500000000000007,1.9470838421124024,1.8500782871272972,0.09700555498510477,0.06572118525599834
MRKR,2021-01-19,2.07,2.09,1.94,2.02,136036,2.0200000000000005,1.9283718134055663,1.8340845500974807,0.09428726330808512,0.057900092823721605
MRKR,2021-01-19,2.07,2.09,1.94,2.02,136036,2.020000000000001,1.9117121431156687,1.81921131410528,0.09250082901038947,0.048803300202630615
MRKR,2021-01-15,2.14,2.18,2.13,2.14,77896,2.140000000000001,1.8920234418639728,1.8031482192337018,0.0888752226302707,0.03787891800069106
MRKR,2021-01-14,2.1,2.18,2.08,2.12,124681,2.120000000000001,1.8469367949301496,1.7762000767723982,0.0707367181577514,0.025129841843296093
MRKR,2021-01-13,2.0896,2.14,2.0501,2.12,265878,2.120000000000002,1.797288939462904,1.74869608291419,0.04859285654871415,0.013728122764682263
MRKR,2021-01-12,1.86,1.9,1.85,1.88,71200,1.8800000000000017,1.7386142011834318,1.7189917695473251,0.019622431636106885,0.005011939318674346
MRKR,2021-01-11,1.78,1.8039,1.76,1.785,86844,1.785000000000002,1.7129076923076925,1.7061111111111111,0.00679658119658133,0.0013593162393162662
MRKR,2021-01-08,1.72,1.74,1.66,1.6998,23342,1.6998000000000018,1.6998,1.6998,0.0,0.0
