Symbol,Date,Open,High,Low,Close,Volume,AEG SMA,AEG spanTwelveEMA,AEG spanTwntySixEMA,AEG_x,AEG_y
AEG,2021-07-09,4.15,4.16,4.15,4.1501,77565,4.1501,4.147194297515584,4.278901693944752,-0.1317073964291673,-0.13583365922211044
AEG,2021-07-08,4.02,4.04,4.02,4.03,68055,4.03,4.146665987972963,4.289205829460332,-0.1425398414873688,-0.1368652249203462
AEG,2021-07-07,4.02,4.04,4.02,4.03,114999,4.03,4.1678779857862285,4.309942295817158,-0.1420643100309293,-0.1354465707785903
AEG,2021-07-06,4.11,4.11,4.1,4.1,44813,4.1,4.192946710474634,4.332337679482531,-0.1393909690078967,-0.13379213596550554
AEG,2021-07-06,4.11,4.11,4.1,4.1,44813,4.1,4.209846112379113,4.350924693841133,-0.1410785814620201,-0.13239242770490775
AEG,2021-07-02,4.14,4.15,4.14,4.15,4619,4.15,4.229818132811679,4.370998669348424,-0.1411805365367451,-0.13022088926562966
AEG,2021-07-01,4.155,4.16,4.15,4.16,14478,4.16,4.2443305205956205,4.388678562896297,-0.1443480423006766,-0.1274809774478508
AEG,2021-06-30,4.09,4.09,4.09,4.09,14218,4.09,4.2596633425220976,4.406972847928001,-0.1473095054059037,-0.12326421123464434
AEG,2021-06-29,4.15,4.155,4.145,4.155,16984,4.155,4.290511222980661,4.432330675762242,-0.141819452781581,-0.1172528876918295
AEG,2021-06-28,4.21,4.21,4.2,4.2,13566,4.2,4.315149627158963,4.454517129823222,-0.1393675026642586,-0.1111112464193916
AEG,2021-06-25,4.22,4.22,4.21,4.21,14289,4.21,4.336085923006047,4.47487850020908,-0.1387925772030325,-0.10404718235817481
AEG,2021-06-24,4.18,4.2,4.18,4.19,19065,4.19,4.359010636279875,4.496068780225806,-0.1370581439459313,-0.09536083364696038
AEG,2021-06-23,4.17,4.17,4.1672,4.17,21909,4.17,4.389739842876216,4.52055428264387,-0.1308144397676542,-0.08493650607221764
AEG,2021-06-22,4.18,4.19,4.17,4.17,66830,4.17,4.429692541580982,4.548598625255379,-0.1189060836743971,-0.0734670226483587
AEG,2021-06-21,4.22,4.221,4.22,4.221,13739,4.221,4.476909367322979,4.578886515275809,-0.1019771479528302,-0.062107257391849094
AEG,2021-06-18,4.23,4.23,4.21,4.215,123444,4.215,4.523438343199884,4.607517436497874,-0.0840790932979898,-0.052139784751603815
AEG,2021-06-17,4.56,4.57,4.56,4.57,32526,4.57,4.5795180419635,4.638918831417704,-0.0594007894542043,-0.04415495761500731
AEG,2021-06-16,4.49,4.49,4.48,4.48,6709,4.48,4.581248595047772,4.6444323379311205,-0.0631837428833481,-0.04034349965520827
AEG,2021-06-15,4.49,4.5,4.49,4.5,5237,4.5,4.599657430511003,4.65758692496561,-0.0579294944546067,-0.0346334388481733
AEG,2021-06-14,4.51,4.52,4.51,4.52,21431,4.52,4.617776963331186,4.670193878962859,-0.0524169156316736,-0.028809424946564945
AEG,2021-06-11,4.52,4.53,4.52,4.53,19417,4.53,4.635554593027765,4.682209389279889,-0.0466547962521239,-0.022907552275287776
AEG,2021-06-10,4.57,4.58,4.57,4.57,9557,4.57,4.654746337214631,4.69438614042228,-0.039639803207649,-0.016970741281078724
AEG,2021-06-09,4.52,4.53,4.52,4.525,13132,4.525,4.6701547621627455,4.704337031656062,-0.0341822694933169,-0.011303475799436144
AEG,2021-06-08,4.55,4.56,4.55,4.56,29324,4.56,4.696546537101427,4.718683994188547,-0.02213745708712,-0.0055837773759659474
AEG,2021-06-07,4.62,4.62,4.61,4.61,17805,4.61,4.721373180210777,4.731378713723632,-0.0100055335128548,-0.0014453574481774326
AEG,2021-06-04,4.72,4.73,4.72,4.73,20839,4.73,4.7416228493400085,4.741089010821522,0.0005338385184865,0.0006946865679919157
AEG,2021-06-03,4.74,4.74,4.73,4.7389,13384,4.7389,4.743736094674556,4.741976131687244,0.0017599629873119,0.0007348985803682595
AEG,2021-06-02,4.77,4.77,4.77,4.77,12861,4.77,4.7446153846153845,4.742222222222223,0.0023931623931616,0.0004786324786323348
AEG,2021-06-01,4.74,4.74,4.74,4.74,29473,4.74,4.74,4.74,0.0,0.0
AEG,2021-06-01,4.74,4.74,4.74,4.74,29473,4.74,4.74,4.74,0.0,0.0
