Symbol,Date,Open,High,Low,Close,Volume,GMHIW SMA,GMHIW spanTwelveEMA,GMHIW spanTwntySixEMA,GMHIW_x,GMHIW_y
GMHIW,2020-09-03,3.3,3.3,3.1,3.15,40746,3.15,2.6111071998898088,2.340607958455877,0.2704992414339316,0.17543493219801826
GMHIW,2020-09-02,3.12,3.5,2.9,2.9,154699,2.9,2.5131266907788654,2.2758565951323475,0.23727009564651744,0.15166885488903992
GMHIW,2020-09-01,2.75,2.75,2.6,2.63,29140,2.6299999999999994,2.4427860891022948,2.225925122742935,0.2168609663593597,0.13026854469967042
GMHIW,2020-08-31,2.9,2.9,2.6647,2.7,27208,2.7,2.4087471962118028,2.19359913256237,0.21514806364943292,0.10862043928474807
GMHIW,2020-08-28,2.96,2.96,2.75,2.75,29086,2.75,2.3557921409775853,2.1530870631673595,0.20270507781022573,0.08198853319357685
GMHIW,2020-08-27,3.0,3.0,2.7,2.76,36401,2.76,2.284117984791692,2.1053340282207484,0.17878395657094348,0.05180939703941463
GMHIW,2020-08-26,3.42,3.42,2.91,2.91,47292,2.91,2.197593982026545,2.0529607504784084,0.14463323154813645,0.02006575715653241
GMHIW,2020-08-25,3.2,3.3,2.94,2.98,201611,2.9800000000000004,2.0680656151222805,1.9843976105166807,0.08366800460559931,-0.011076111441368608
GMHIW,2020-08-24,2.59,2.6,2.1,2.3645,212390,2.3645,1.9022593633263316,1.904749419358016,-0.002490056031684285,-0.0347621404531107
GMHIW,2020-08-21,1.73,2.1,1.73,1.9502,25432,1.9502,1.818215611203846,1.8679693729066569,-0.04975376170281098,-0.0428301615584673
GMHIW,2020-08-20,1.6913,1.6913,1.65,1.6801,1500,1.6801,1.7942184496045457,1.8613909227391896,-0.06717247313464414,-0.04109926152238137
GMHIW,2020-08-19,1.725,1.725,1.725,1.725,333,1.725,1.814967258623554,1.875894196558325,-0.060926937934771,-0.03458095861931573
GMHIW,2020-08-18,1.74,1.74,1.74,1.74,7781,1.7399999999999998,1.831324942009655,1.8879657322829908,-0.05664079027333613,-0.02799446379045191
GMHIW,2020-08-17,1.72,1.76,1.72,1.75,10164,1.7499999999999998,1.847929476920501,1.8998029908656304,-0.05187351394512918,-0.020832882169730907
GMHIW,2020-08-14,1.75,1.75,1.75,1.75,300,1.75,1.865734836360592,1.9117872301348808,-0.046052393774288485,-0.013072724225881282
GMHIW,2020-08-13,1.85,1.85,1.75,1.75,5300,1.75,1.8867775338807,1.9247302085456712,-0.03795267466497165,-0.004827806838779368
GMHIW,2020-08-13,1.85,1.85,1.75,1.75,5300,1.75,1.9116461764044632,1.938708625229325,-0.027062448824861862,0.0034534101177685923
GMHIW,2020-08-11,1.9,1.9,1.9,1.9,200,1.9,1.941036390296184,1.953805315247671,-0.01276892495148707,0.011082374853426207
GMHIW,2020-08-10,1.91,1.91,1.75,1.75,3877,1.75,1.9484975521682173,1.9581097404674852,-0.009612188299267466,0.017045199804654524
GMHIW,2020-08-07,1.95,1.95,1.85,1.8521,51352,1.8521,1.9845880161988023,1.974758519704884,0.00982949649391873,0.023709546830635128
GMHIW,2020-08-06,1.97,1.97,1.97,1.97,500,1.97,2.0086767464167665,1.9845712012812744,0.0241055451354919,0.027179559414814338
GMHIW,2020-08-05,1.98,2.09,1.98,2.09,47000,2.09,2.015708882128906,1.9857368973837768,0.029971984745129413,0.02794806298464489
GMHIW,2020-08-04,2.14,2.14,2.14,2.14,100,2.140000000000001,2.002201406152343,1.9773958491744787,0.024805556977864462,0.027442082544523815
GMHIW,2020-08-03,2.19,2.19,1.935,1.935,600,1.935000000000001,1.9771471163618601,1.9643875171084368,0.012759599253422849,0.02810121393618865
GMHIW,2020-07-31,1.75,1.84,1.75,1.84,1700,1.8400000000000007,1.9848102284276528,1.9667385184771118,0.01807170995054075,0.03193661760687999
GMHIW,2020-07-30,1.87,2.1,1.87,2.0,17392,2.000000000000001,2.011139360869044,1.9768775999552808,0.034261760913763206,0.035402844520964746
GMHIW,2020-07-29,1.9837,1.9837,1.95,1.96,600,1.9600000000000009,2.01316469920887,1.9750278079517032,0.038136891257166905,0.035688115422765135
GMHIW,2020-07-28,2.01,2.01,2.01,2.01,100,2.0100000000000007,2.0228310081559377,1.9762300325878397,0.04660097556809828,0.035075921464164696
GMHIW,2020-07-27,2.08,2.08,2.0499,2.0499,3200,2.049900000000001,2.0251639187297448,1.9735284351948668,0.05163548353487801,0.032194657938181354
GMHIW,2020-07-24,2.06,2.06,2.05,2.05,50000,2.0500000000000007,2.02066644940788,1.967418710010456,0.053247739397424006,0.02733445153900719
GMHIW,2020-07-23,2.25,2.25,2.205,2.25,950,2.250000000000001,2.015333076572949,1.9608122068112923,0.054520869761656376,0.020856129574402985
GMHIW,2020-07-22,2.06,2.1,2.055,2.1,6400,2.1000000000000014,1.9726663632225758,1.937677183356196,0.03498917986638017,0.012439944527589581
GMHIW,2020-07-21,2.1,2.1,2.1,2.1,2600,2.100000000000001,1.9495147928994083,1.9246913580246916,0.024823434874716718,0.006802635692892043
GMHIW,2020-07-20,2.0,2.044,1.96,2.044,600,2.044000000000001,1.9221538461538457,1.9106666666666663,0.011487179487179366,0.0022974358974358735
GMHIW,2020-07-17,1.89,1.9,1.89,1.9,2000,1.9000000000000008,1.9,1.9,0.0,0.0
