Symbol,Date,Open,High,Low,Close,Volume,LIVX SMA,LIVX spanTwelveEMA,LIVX spanTwntySixEMA,LIVX_x,LIVX_y
LIVX,2020-09-03,2.55,2.56,2.41,2.4775,111926,2.4775,2.7409503353217968,2.9663708415362,-0.22542050621440346,-0.23085021721124882
LIVX,2020-09-02,2.72,2.72,2.56,2.575,78107,2.575,2.7888503962893965,3.005480508859096,-0.2166301125697001,-0.23220764496046023
LIVX,2020-09-01,2.73,2.77,2.6691,2.68,102263,2.6800000000000006,2.827732286523832,3.039918949567824,-0.2121866630439921,-0.23610202805815036
LIVX,2020-08-31,2.78,2.83,2.76,2.79,30128,2.7900000000000005,2.8545927022554376,3.0687124655332503,-0.21411976327781268,-0.2420808693116899
LIVX,2020-08-28,2.72,2.79,2.65,2.73,83381,2.7300000000000004,2.8663368299382443,3.0910094627759106,-0.22467263283766625,-0.24907114582015918
LIVX,2020-08-27,2.83,2.8336,2.7,2.755,62009,2.7550000000000003,2.8911253444724707,3.119890219797983,-0.2287648753255125,-0.2551707740657824
LIVX,2020-08-26,2.94,2.99,2.84,2.87,152495,2.87,2.9158754071038286,3.1490814373818217,-0.23320603027799305,-0.26177224875084987
LIVX,2020-08-25,2.78,2.8,2.7,2.76,100876,2.76,2.9242163902136165,3.171407952372368,-0.24719156215875196,-0.26891380336906406
LIVX,2020-08-24,2.85,2.89,2.82,2.835,114630,2.835,2.9540739157070006,3.2043205885621573,-0.2502466728551567,-0.27434436367164217
LIVX,2020-08-21,2.83,2.95,2.8201,2.915,129406,2.915,2.975723718562819,3.2338662356471297,-0.2581425170843108,-0.2803687863757635
LIVX,2020-08-20,2.85,2.93,2.78,2.9078,175940,2.9078,2.986764394665149,3.2593755344989,-0.2726111398337503,-0.2859253536986267
LIVX,2020-08-19,2.93,2.99,2.83,2.89,102082,2.890000000000001,3.0011215573315404,3.287501577258812,-0.28638001992727125,-0.28925390716484556
LIVX,2020-08-18,2.92,3.0,2.89,2.91,106640,2.9100000000000006,3.021325476846366,3.3193017034395167,-0.2979762265931507,-0.289972378974239
LIVX,2020-08-17,2.83,2.85,2.78,2.845,93835,2.8450000000000006,3.0415664726366147,3.3520458397146777,-0.31047936707806345,-0.28797141706951107
LIVX,2020-08-14,2.71,2.77,2.71,2.74,150721,2.7400000000000007,3.0773058312978168,3.3926095068918527,-0.3153036755940355,-0.28234442956737305
LIVX,2020-08-13,2.78,2.8,2.6344,2.73,160656,2.7300000000000004,3.1386341642610565,3.4448182674432006,-0.3061841031821442,-0.27410461806070735
LIVX,2020-08-12,2.93,2.95,2.86,2.915,90217,2.9150000000000005,3.2129312850357943,3.5020037288386567,-0.2890724438028625,-0.2660847467803481
LIVX,2020-08-11,3.15,3.17,3.115,3.1517,39043,3.1517000000000013,3.267100609587757,3.5489640271457485,-0.28186341755799216,-0.26033782252471954
LIVX,2020-08-10,3.03,3.1,3.02,3.08,77474,3.0800000000000014,3.2880825386037125,3.580745149317409,-0.2926626107136965,-0.2549564237664015
LIVX,2020-08-07,3.04,3.08,2.9592,3.07,150734,3.0700000000000003,3.3259157274407514,3.620804761262802,-0.2948890338220509,-0.2455298770295777
LIVX,2020-08-06,3.13,3.13,2.8,3.0367,281023,3.0367,3.3724458597027063,3.6648691421638264,-0.2924232824611201,-0.2331900878314595
LIVX,2020-08-05,3.22,3.3,3.1595,3.23,126284,3.23,3.4334905614668343,3.715122673536932,-0.2816321120700977,-0.21838178917404433
LIVX,2020-08-04,3.3,3.44,3.25,3.36,143863,3.36,3.470488845369895,3.7539324874198865,-0.28344364204999195,-0.20256920845003096
LIVX,2020-08-03,3.07,3.09,2.95,3.08,100867,3.08,3.49057772634624,3.785447086413478,-0.2948693600672385,-0.1823506000500408
LIVX,2020-07-31,3.16,3.205,3.14,3.15,58296,3.1499999999999995,3.5652282220455564,3.841882853326557,-0.2766546312810005,-0.15422091004574148
LIVX,2020-07-30,3.1,3.13,2.7,2.94,237748,2.94,3.6407242624174754,3.8972334815926812,-0.2565092191752054,-0.12361247973692671
LIVX,2020-07-29,3.25,3.28,3.1,3.13,103589,3.1300000000000003,3.7681286737661073,3.973812160120096,-0.20568348635398825,-0.09038829487735692
LIVX,2020-07-28,3.31,3.36,3.25,3.29,58940,3.29,3.884152068996309,4.041317132929703,-0.15716506393339458,-0.06156449700819896
LIVX,2020-07-27,3.61,3.66,3.34,3.4301,156515,3.4301000000000004,3.992179717904728,4.10142250356408,-0.10924278565935143,-0.03766435527690016
LIVX,2020-07-24,3.88,3.88,3.6,3.675,168643,3.675,4.094376030251042,4.155128303849206,-0.0607522735981636,-0.019769747681287232
LIVX,2020-07-23,4.08,4.18,3.8,4.0997,214114,4.099700000000001,4.1706262175694135,4.193538568157142,-0.022912350587728447,-0.00952411620206814
LIVX,2020-07-22,4.24,4.2515,4.03,4.0802,77693,4.0802,4.1835218934911245,4.201045653609714,-0.017523760118589138,-0.006177057605653062
LIVX,2020-07-21,4.13,4.29,4.13,4.215,44757,4.215,4.202307692307692,4.210713305898492,-0.008405613590798389,-0.0033403819774190427
LIVX,2020-07-20,4.2,4.21,4.09,4.09,64372,4.09,4.2,4.21037037037037,-0.01037037037036992,-0.002074074074073984
LIVX,2020-07-17,4.05,4.29,4.01,4.22,133899,4.219999999999999,4.22,4.22,0.0,0.0
