Symbol,Date,Open,High,Low,Close,Volume,RENN SMA,RENN spanTwelveEMA,RENN spanTwntySixEMA,RENN_x,RENN_y
RENN,2020-09-03,2.04,2.065,1.83,1.95,91426,1.95,2.1085676792062844,2.3995629602098054,-0.290995281003521,-0.2844332589782277
RENN,2020-09-02,1.86,1.9,1.86,1.9,821,1.9,2.1373981663347,2.4355279970265897,-0.2981298306918898,-0.28279275347190436
RENN,2020-09-01,1.86,1.91,1.86,1.9,2718,1.9,2.1805614693046453,2.4783702367887166,-0.2978087674840713,-0.278958484166908
RENN,2020-08-31,1.95,2.0031,1.95,2.0031,1386,2.0031,2.2315726455418536,2.524639855731814,-0.2930672101899603,-0.27424591333761716
RENN,2020-08-28,1.95,1.99,1.95,1.98,769,1.98,2.2731131265494637,2.5663630441903598,-0.29324991764089603,-0.2695405891245314
RENN,2020-08-27,1.88,1.96,1.7901,1.9598,46971,1.9598,2.326406422285729,2.6132720877255884,-0.2868656654398589,-0.26361325699544025
RENN,2020-08-26,2.12,2.1503,2.12,2.1503,1074,2.1503,2.3930621354285893,2.665549854743636,-0.27248771931504656,-0.25780015488433544
RENN,2020-08-25,2.2,2.2501,2.2,2.25,870,2.25,2.4372007055065144,2.7067698431231273,-0.2695691376166125,-0.25412826377665765
RENN,2020-08-24,2.27,2.29,2.23,2.23,5993,2.2299999999999995,2.471237197416789,2.743311430572977,-0.2720742331561876,-0.2502680453166688
RENN,2020-08-21,2.14,2.14,2.14,2.14,491,2.1399999999999992,2.5150985060380235,2.7843763450188157,-0.2692778389807917,-0.24481649835678893
RENN,2020-08-20,2.29,2.3,2.25,2.25,2657,2.2499999999999987,2.583298234408573,2.8359264526203196,-0.25262821821174697,-0.2387011632007881
RENN,2020-08-19,2.45,2.55,2.45,2.5,1206,2.4999999999999982,2.64389791339195,2.8828005688299467,-0.23890265543799585,-0.23521939944804848
RENN,2020-08-18,2.52,2.56,2.52,2.56,1767,2.5599999999999987,2.6700611703723047,2.9134246143363414,-0.24336344396403664,-0.2342985854505614
RENN,2020-08-17,2.49,2.5,2.4865,2.49,2113,2.4899999999999998,2.6900722922581783,2.9416985834832485,-0.2516262912250702,-0.23203237082219255
RENN,2020-08-14,2.41,2.5,2.41,2.5,1181,2.4999999999999982,2.7264490726687556,2.9778344701619086,-0.2513853974931526,-0.2271338907214731
RENN,2020-08-13,2.4,2.47,2.4,2.45,4962,2.4499999999999984,2.7676216313358033,3.0160612277748613,-0.24843959643905844,-0.22107101402855311
RENN,2020-08-12,2.64,2.64,2.57,2.58,2683,2.5799999999999983,2.825371018851404,3.06134612599685,-0.23597510714544656,-0.21422886842592687
RENN,2020-08-11,2.69,2.7,2.62,2.68,2790,2.679999999999998,2.8699839313698408,3.0998538160765983,-0.2298698847067571,-0.20879230874604704
RENN,2020-08-10,2.68,2.6910000000000003,2.62,2.62,2885,2.619999999999998,2.9045264643461755,3.1334421213627257,-0.22891565701655026,-0.20352291475586942
RENN,2020-08-07,2.89,2.89,2.84,2.84,516,2.839999999999997,2.956258548772753,3.1745174910717435,-0.2182589422989909,-0.1971747291906992
RENN,2020-08-06,2.8,2.85,2.8,2.85,2637,2.8499999999999983,2.9773964667314354,3.201278890357483,-0.2238824236260477,-0.1919036759136264
RENN,2020-08-05,2.83,2.88,2.83,2.88,717,2.8799999999999977,3.0005594606826054,3.2293812015860817,-0.2288217409034763,-0.18390898898552105
RENN,2020-08-04,2.8,2.8499,2.79,2.8499,707,2.849899999999997,3.0224793626248974,3.257331697712968,-0.2348523350880707,-0.17268080100603223
RENN,2020-08-03,2.7,2.7,2.64,2.66,3340,2.659999999999997,3.0538574285566966,3.289926233530005,-0.2360688049733084,-0.15713791748552258
RENN,2020-07-31,2.76,2.81,2.71,2.755,3763,2.7549999999999972,3.1254678701124603,3.340320332212406,-0.2148524620999459,-0.13740519561357611
RENN,2020-07-30,2.88,2.89,2.85,2.8673,1392,2.867299999999997,3.192825664678362,3.387145958789399,-0.19432029411103668,-0.11804337899198365
RENN,2020-07-29,2.77,2.85,2.7,2.85,1937,2.8499999999999983,3.252012149165337,3.4287336354925504,-0.1767214863272133,-0.09897415021222039
RENN,2020-07-28,3.0,3.075,3.0,3.02,2072,3.0199999999999974,3.325105267195398,3.4750323263319536,-0.14992705913655602,-0.07953731618347215
RENN,2020-07-27,3.19,3.39,3.19,3.3499,26786,3.3498999999999977,3.380578952140016,3.5114349124385105,-0.1308559602984949,-0.061939880445201295
RENN,2020-07-24,2.6601,2.6601,2.51,2.6,12465,2.599999999999998,3.3861569434382006,3.5243577054335917,-0.13820076199539064,-0.044710860481878
RENN,2020-07-23,3.14,3.14,3.1002,3.11,1630,3.109999999999997,3.529094569517873,3.5983063218682787,-0.06921175235040522,-0.02133838510349972
RENN,2020-07-22,3.46,3.5,3.28,3.39,5607,3.389999999999997,3.6052935821574867,3.637370827617741,-0.03207724546025404,-0.009370043291773232
RENN,2020-07-21,3.65,3.65,3.58,3.58,508,3.579999999999997,3.6444378698224846,3.65716049382716,-0.012722624004675607,-0.0036932427496529207
RENN,2020-07-20,3.52,3.6128,3.5,3.58,3045,3.5799999999999965,3.6561538461538463,3.663333333333333,-0.007179487179487244,-0.0014358974358973599
RENN,2020-07-17,3.67,3.67,3.67,3.67,100,3.669999999999997,3.67,3.67,0.0,0.0
