Symbol,Date,Open,High,Low,Close,Volume,QTNT SMA,QTNT spanTwelveEMA,QTNT spanTwntySixEMA,QTNT_x,QTNT_y
QTNT,2021-03-22,4.0784,4.08,4.04,4.06,35436,4.06,4.202920236145016,4.448094983035058,-0.2451747468900418,-0.24117338738425578
QTNT,2021-03-19,4.04,4.04,4.04,4.04,217515,4.04,4.228905733625928,4.479142581677863,-0.2502368480519346,-0.24017304750780927
QTNT,2021-03-18,4.14,4.14,4.14,4.14,3756,4.14,4.263252230648824,4.514273988212091,-0.2510217575632669,-0.23765709737177793
QTNT,2021-03-17,4.08,4.1,4.08,4.1,5471,4.1,4.285661727130428,4.544215907269058,-0.2585541801386304,-0.23431593232390563
QTNT,2021-03-16,4.12,4.16,4.12,4.155,9866,4.155,4.319418404790507,4.579753179850583,-0.2603347750600759,-0.22825637037022442
QTNT,2021-03-15,4.2,4.2,4.2,4.2,5477,4.2,4.349312660206962,4.613733434238629,-0.2644207740316666,-0.22023676919776153
QTNT,2021-03-12,4.24,4.24,4.115,4.2,5343,4.2,4.376460416608228,4.646832108977719,-0.2703716923694914,-0.20919076798928524
QTNT,2021-03-11,3.98,4.04,3.97,3.97,20461,3.97,4.408544128718814,4.682578677695937,-0.2740345489771227,-0.1938955368942337
QTNT,2021-03-10,4.3,4.35,4.3,4.3426,3702,4.3426,4.488279424849508,4.739584971911612,-0.2513055470621044,-0.17386078387351142
QTNT,2021-03-09,4.17,4.19,4.1,4.1,5279,4.1,4.514766593003964,4.771343769664542,-0.2565771766605778,-0.15449959307636318
QTNT,2021-03-23,4.07,4.07,4.07,4.07,5715,4.07,4.590178700822867,4.825051271237705,-0.2348725704148382,-0.12898019718030954
QTNT,2021-03-05,4.0,4.11,4.0,4.11,19499,4.11,4.684756646427025,4.885455372936722,-0.2006987265096969,-0.10250710387167736
QTNT,2021-03-04,4.51,4.51,4.51,4.51,2669,4.51,4.789257854868303,4.94749180277166,-0.1582339479033576,-0.07795919821217247
QTNT,2021-03-03,4.55,4.55,4.465,4.5002,4411,4.5002,4.840032010298903,4.982491146993393,-0.14245913669449,-0.05789051078937639
QTNT,2021-03-02,4.62,4.62,4.61,4.61,4880,4.61,4.901819648535066,5.021074438752865,-0.1192547902177985,-0.03674835431309797
QTNT,2021-03-01,4.59,4.59,4.54,4.572,7123,4.572,4.954877766450533,5.053960393853094,-0.0990826274025611,-0.016121745336922833
QTNT,2021-02-26,4.65,4.65,4.53,4.5301,32275,4.5301,5.024491905805176,5.092517225361342,-0.0680253195561659,0.0046184751794867435
QTNT,2021-02-25,4.7,4.7,4.69,4.7,9114,4.7,5.114381343224299,5.13751060339025,-0.0231292601659509,0.02277942386339992
QTNT,2021-02-24,4.94,5.1,4.94,4.96,11577,4.96,5.189723405628716,5.172511451661469,0.017211953967247,0.03425659487073764
QTNT,2021-02-23,5.15,5.26,5.07,5.13,16016,5.13,5.2314912975612105,5.189512367794387,0.0419789297668238,0.03851775509661029
QTNT,2021-02-22,5.46,5.46,5.32,5.32,5730,5.32,5.249944260754157,5.194273357217938,0.0556709035362192,0.0376524614290569
QTNT,2021-02-19,5.23,5.25,5.22,5.22,10326,5.22,5.237206853618549,5.1842152257953735,0.0529916278231752,0.033147850902266296
QTNT,2021-02-18,5.35,5.36,5.3208,5.3208,5705,5.3208,5.240335372458285,5.181352443859003,0.0589829285992813,0.02818690667203906
QTNT,2021-02-17,5.37,5.39,5.35,5.375,39702,5.375,5.225705440177973,5.170196639367723,0.0555088008102497,0.02048790119022849
QTNT,2021-02-16,5.35,5.45,5.35,5.45,17415,5.45,5.198560974755786,5.153812370517141,0.0447486042386451,0.011732676285223164
QTNT,2021-02-16,5.35,5.45,5.35,5.45,17415,5.45,5.152844788347747,5.130117360158512,0.0227274281892349,0.003478694296867673
QTNT,2021-02-12,5.13,5.13,5.05,5.05,5679,5.05,5.098816568047337,5.104526748971193,-0.005710180923856,-0.0013334891762241342
QTNT,2021-02-11,5.08,5.095,5.08,5.095,2105,5.095,5.107692307692308,5.108888888888889,-0.0011965811965808,-0.0002393162393161674
QTNT,2021-02-10,5.11,5.11,5.11,5.11,5605,5.11,5.11,5.11,0.0,0.0
