Symbol,Date,Open,High,Low,Close,Volume,EVOK SMA,EVOK spanTwelveEMA,EVOK spanTwntySixEMA,EVOK MACD,EVOK MACD_Signal
EVOK,2020-07-15,3.67,3.73,3.6,3.6773,140675,3.6773,3.6773,3.6773,0.0,0.0
EVOK,2020-07-14,3.4,3.4399,3.34,3.34,89402,3.34,3.625407692307692,3.6523148148148143,-0.026907122507122242,-0.005381424501424449
EVOK,2020-07-13,3.47,3.53,3.42,3.4302,101558,3.4302,3.5953757396449704,3.635861865569273,-0.04048612592430256,-0.012402364786000073
EVOK,2020-07-10,3.56,3.5646,3.46,3.472,96505,3.4720000000000004,3.5763948566226667,3.623723949601178,-0.04732909297851151,-0.01938771042450236
EVOK,2020-07-09,3.62,3.66,3.59,3.6573,40690,3.6573000000000007,3.5888418017576407,3.626211064445536,-0.03736926268789453,-0.022984020877180794
EVOK,2020-07-08,3.61,3.6409,3.52,3.6409,84625,3.6409,3.5968507553333886,3.627299133745866,-0.030448378412477606,-0.024476892384240157
EVOK,2020-07-07,3.59,3.59,3.46,3.51,60078,3.51,3.5834891006667133,3.6186103090239503,-0.03512120835723653,-0.026605755578839436
EVOK,2020-07-06,3.76,3.79,3.69,3.69,152333,3.69,3.5998753928718346,3.6238984342814353,-0.02402304140960076,-0.026089212744991704
EVOK,2020-07-06,3.76,3.79,3.69,3.69,152333,3.690000000000001,3.613740717045399,3.6287948465568847,-0.015054129511486103,-0.023882196098290585
EVOK,2020-07-02,3.59,3.705,3.5582,3.7,176642,3.7000000000000006,3.6270113759614913,3.6340693023674864,-0.007057926405994674,-0.020517342159831406
EVOK,2020-07-01,3.59,3.5929,3.4,3.4489,114213,3.4489000000000014,3.599609625813569,3.6203530577476717,-0.020743431934102663,-0.020562560114685657
EVOK,2020-06-30,3.3942,3.52,3.3942,3.46,96451,3.4600000000000013,3.5781312218422516,3.608475053470067,-0.03034383162781573,-0.022518814417311673
EVOK,2020-06-29,3.58,3.66,3.38,3.43,133468,3.4300000000000006,3.5553418030972894,3.5952546791389515,-0.039912876041661605,-0.02599762674218166
EVOK,2020-06-26,3.72,3.73,3.51,3.5999,239068,3.5999000000000003,3.5621969103130917,3.5955987769805096,-0.033401866667418734,-0.027478474727229075
EVOK,2020-06-25,3.46,3.61,3.41,3.5839999999999996,262504,3.5839999999999996,3.565551231803385,3.5947396083152867,-0.02918837651190165,-0.02782045508416359
EVOK,2020-06-24,3.43,3.5511,3.41,3.4399,384569,3.4399,3.5462202730644026,3.58327000769934,-0.037049734634936986,-0.02966631099431827
EVOK,2020-06-23,3.62,3.76,3.42,3.56,1717413,3.56,3.5483402310544943,3.5815463034253145,-0.033206072370820294,-0.030374263269618677
EVOK,2020-06-22,4.53,5.0,4.14,4.1999,10880317,4.1999,3.648580195507649,3.627350280949365,0.021229914558283717,-0.0200534277040382
EVOK,2020-06-19,2.43,2.44,2.32,2.34,232666,2.339999999999999,3.4472601654295487,3.5319910008790423,-0.08473083544949311,-0.03298890925312919
EVOK,2020-06-18,2.4,2.4319,2.36,2.4,139218,2.3999999999999986,3.2861432169019262,3.4481398156287426,-0.16199659872681638,-0.058790447147866624
EVOK,2020-06-17,2.5,2.53,2.35,2.4301,199962,2.4300999999999977,3.154444260455476,3.3727294589155026,-0.21828519846002686,-0.09068939741029869
EVOK,2020-06-16,2.8,2.8,2.65,2.7011,212067,2.701099999999998,3.084698989616172,3.322979128625465,-0.23828013900929346,-0.12020754573009765
EVOK,2020-06-15,2.5,2.63,2.43,2.5980000000000003,228339,2.5979999999999985,3.0098222219829145,3.269276970949505,-0.2594547489665904,-0.1480569863773962
EVOK,2020-06-12,2.39,2.44,2.35,2.4201,96667,2.4200999999999984,2.9190957262932358,3.206374973101393,-0.2872792468081577,-0.1759014384635485
EVOK,2020-06-11,2.45,2.45,2.1,2.35,217299,2.3499999999999983,2.8315425376327377,3.1429397899086973,-0.3113972522759596,-0.20300060122603072
EVOK,2020-06-10,2.52,2.59,2.48,2.5599,164336,2.5598999999999985,2.789751377996932,3.099751657322868,-0.3100002793259362,-0.22440053684601186
EVOK,2020-06-09,2.62,2.63,2.5,2.56,134558,2.5599999999999987,2.7544050121512504,3.0597700530767296,-0.30536504092548,-0.2405934376619055
EVOK,2020-06-08,2.69,2.7,2.55,2.585,266472,2.5849999999999977,2.7283427025895195,3.024601900996972,-0.29625919840745274,-0.251726589811015
EVOK,2020-06-05,2.33,2.3807,2.27,2.32,140083,2.3199999999999985,2.665520748344978,2.9724091675897886,-0.30688841924481114,-0.26275895569777424
EVOK,2020-06-04,2.38,2.4,2.31,2.3283,68177,2.328299999999999,2.613640633214981,2.9246973773979534,-0.3110567441829715,-0.2724185133948137
EVOK,2020-06-03,2.39,2.4,2.32,2.335,55067,2.3349999999999995,2.5707728434896002,2.881016090183289,-0.3102432466936897,-0.2799834600545889
EVOK,2020-06-02,2.34,2.4,2.31,2.36,59340,2.3599999999999994,2.538346252183508,2.842422305725268,-0.3040760535417606,-0.28480197875202323
