Symbol,Date,Open,High,Low,Close,Volume,IDEX SMA,IDEX spanTwelveEMA,IDEX spanTwntySixEMA,IDEX MACD,IDEX MACD_Signal
IDEX,2020-07-15,1.25,1.35,1.23,1.2901,2849809,1.2901,1.2901,1.2901,0.0,0.0
IDEX,2020-07-14,1.28,1.28,1.22,1.23,2165158,1.2300000000000002,1.2808538461538463,1.2856481481481483,-0.004794301994301975,-0.000958860398860395
IDEX,2020-07-13,1.36,1.39,1.32,1.35,2740127,1.35,1.2914917159763315,1.2904149519890262,0.0010767639873052737,-0.0005517355216272614
IDEX,2020-07-10,1.38,1.39,1.32,1.37,2468057,1.37,1.3035699135184344,1.2963101407305802,0.0072597727878545015,0.0010105661402690911
IDEX,2020-07-09,1.5,1.56,1.43,1.56,5326628,1.56,1.3430206960540598,1.315842722898685,0.027177973155374516,0.006244047543290177
IDEX,2020-07-08,1.27,1.28,1.22,1.24,2562437,1.2399999999999998,1.3271713581995892,1.3102247434247087,0.016946614774880464,0.008384560989608235
IDEX,2020-07-07,1.345,1.37,1.27,1.285,3998227,1.2849999999999997,1.3206834569381138,1.3083562439117675,0.01232721302634632,0.009173091396955851
IDEX,2020-07-06,1.51,1.52,1.38,1.4659,6592428,1.4658999999999998,1.3430244635630193,1.320026151770155,0.022998311792864268,0.011938135476137535
IDEX,2020-07-06,1.51,1.52,1.38,1.4659,6592428,1.4659,1.3619283922456318,1.3308316220094027,0.031096770236229032,0.015769862428155836
IDEX,2020-07-02,1.67,1.69,1.56,1.615,7404630,1.6149999999999998,1.4008624857463041,1.3518811314901875,0.04898135425611616,0.0224121607937479
IDEX,2020-07-01,1.75,1.89,1.61,1.7002,10736529,1.7002,1.4469144110161032,1.3776825291575812,0.06923188185852203,0.03177610500670273
IDEX,2020-06-30,2.18,2.48,2.07,2.315,22286430,2.3150000000000004,1.580466040090549,1.4471134529236864,0.1333525871668626,0.05209140143873471
IDEX,2020-06-29,1.78,1.99,1.65,1.84,19683930,1.8400000000000003,1.62039434161508,1.4762161601145245,0.1441781815005554,0.07050875745109886
IDEX,2020-06-26,1.95,2.0,1.58,1.715,22390269,1.7150000000000003,1.634949058289683,1.493903851957893,0.14104520633178996,0.08461604722723709
IDEX,2020-06-25,2.95,2.95,2.62,2.75,13855529,2.7500000000000013,1.8064953570143472,1.5869480110721232,0.21954734594222391,0.11160230697023446
IDEX,2020-06-24,2.8,2.83,2.56,2.6401,10304583,2.6401000000000003,1.9347422251659858,1.6649592695112252,0.26978295565476085,0.14323843670713973
IDEX,2020-06-23,3.07,3.24,2.85,2.9801,20903444,2.9801000000000006,2.0955664982173734,1.7623771013992826,0.33318939681809034,0.18122862872932988
IDEX,2020-06-22,2.81,3.2,2.6,3.14,34451834,3.140000000000001,2.2562485754147,1.8644232420363729,0.3918253333783273,0.2233479696591294
IDEX,2020-06-19,2.27,2.27,2.05,2.1,9928597,2.1,2.232210333043208,1.881873372255901,0.35033696078730703,0.24874576788476493
IDEX,2020-06-18,2.16,2.56,2.13,2.39,29294093,2.39,2.256485666421176,1.9195123817184268,0.3369732847027493,0.2663912712483618
IDEX,2020-06-17,1.25,1.27,1.19,1.2201,2807555,1.2201,2.097041717740995,1.8677040571466916,0.2293376605943036,0.2589805491175502
IDEX,2020-06-16,1.17,1.18,1.12,1.145,2578705,1.145,1.9505737611654568,1.8141704232839737,0.1364033378814835,0.2344651068703369
IDEX,2020-06-15,1.15,1.16,1.08,1.1,3039287,1.1,1.8197162594476943,1.7612689104481238,0.05844734899957073,0.19926155529618367
IDEX,2020-06-12,1.19,1.19,1.1,1.1462,3021849,1.1462,1.7160983733788184,1.7157082504149297,0.0003901229638889614,0.15948726882972472
IDEX,2020-06-11,1.1,1.15,1.06,1.11,4338824,1.1099999999999997,1.6228524697820772,1.6708409726064162,-0.047988502824338974,0.11799211449891199
IDEX,2020-06-10,1.15,1.17,1.06,1.13,7769219,1.1299999999999992,1.5470290128925268,1.630778678339274,-0.08374966544674732,0.07764375850978013
IDEX,2020-06-09,1.02,1.1,0.8413,0.88771,13106741,0.8877099999999993,1.4455953186013688,1.5757365540178463,-0.1301412354164777,0.036086759724528565
IDEX,2020-06-08,0.6646,0.7595,0.63,0.68,6278490,0.6799999999999995,1.3278114234319274,1.5093856981646727,-0.18157427473274532,-0.00744544716692621
IDEX,2020-06-05,0.4002,0.47,0.3819,0.4475,6148494,0.44749999999999945,1.1923788967500923,1.4307274983006228,-0.2383486015505305,-0.05362607804364707
IDEX,2020-06-04,0.381,0.3862,0.3725,0.3751,835085,0.3750999999999993,1.0666436818654628,1.3525328687968732,-0.2858891869314102,-0.10007869982119971
IDEX,2020-06-03,0.3978,0.3978,0.3749,0.3751,339874,0.3750999999999993,0.9602523461938532,1.2801304340711783,-0.3198780878773254,-0.14403857743242487
IDEX,2020-06-02,0.3951,0.4,0.3815,0.38723,270548,0.3872299999999995,0.8720950621640297,1.2139896611770171,-0.3418945990129877,-0.18360978174853743
