Symbol,Date,Open,High,Low,Close,Volume,OCX SMA,OCX spanTwelveEMA,OCX spanTwntySixEMA,OCX MACD,OCX MACD_Signal
OCX,2020-07-15,1.28,1.28,1.25,1.26,24463,1.26,1.26,1.26,0.0,0.0
OCX,2020-07-14,1.26,1.27,1.22,1.23,123369,1.2300000000000002,1.2553846153846155,1.257777777777778,-0.0023931623931623407,-0.0004786324786324682
OCX,2020-07-13,1.29,1.31,1.25,1.2825,103513,1.2825000000000002,1.2595562130177518,1.2596090534979425,-5.284048019071896e-05,-0.0003934740789441183
OCX,2020-07-10,1.31,1.32,1.28,1.29,135718,1.2900000000000005,1.2642398725534822,1.2618602347203172,0.0023796378331650825,0.0001611483034777218
OCX,2020-07-09,1.3,1.37,1.2819,1.34,189205,1.3400000000000003,1.2758952767760234,1.267648365481775,0.00824691129424848,0.0017783009016318738
OCX,2020-07-08,1.28,1.3,1.24,1.265,113661,1.2650000000000003,1.2742190803489428,1.2674521902609026,0.006766890088040212,0.0027760187389135414
OCX,2020-07-07,1.33,1.35,1.3,1.33,186683,1.3300000000000007,1.2828007602952594,1.2720853613526877,0.010715398942571895,0.004363894779645212
OCX,2020-07-06,1.59,1.59,1.39,1.4299,533887,1.4299000000000008,1.3054314125575273,1.2837753345858218,0.021656077971705438,0.007822331418057257
OCX,2020-07-06,1.59,1.59,1.39,1.4299,533887,1.4299000000000008,1.3245804260102154,1.294599383875761,0.029981042134454405,0.012254073561336688
OCX,2020-07-02,1.7,1.7,1.65,1.6680000000000001,122412,1.6680000000000008,1.3774142066240285,1.3222586887738528,0.055155517850175695,0.02083436241910449
OCX,2020-07-01,1.76,1.8,1.702,1.73,482668,1.7300000000000009,1.4316581748357164,1.3524617488646784,0.07919642597103804,0.0325067751294912
OCX,2020-06-30,1.6,1.83,1.55,1.78,1807321,1.7800000000000007,1.4852492248609908,1.3841312489487765,0.1011179759122145,0.04622901528603586
OCX,2020-06-29,3.37,3.42,3.09,3.33,105151,3.3300000000000014,1.7690570364208384,1.5282696749525706,0.24078736146826785,0.08514068452248226
OCX,2020-06-26,3.49,3.49,3.3,3.39,54181,3.390000000000001,2.0184328769714788,1.666175624956084,0.3522572520153948,0.13856399802106478
OCX,2020-06-25,3.29,3.29,3.18,3.22,59464,3.220000000000001,2.2032893574374053,1.7812737268111891,0.4220156306262164,0.19525432454209513
OCX,2020-06-24,3.16,3.34,3.15,3.165,50628,3.1650000000000014,2.3512448409085738,1.8837719692696195,0.4674728716389545,0.249698033961467
OCX,2020-06-23,3.25,3.36,3.18,3.2,63964,3.200000000000002,2.48182255769187,1.9812703419163145,0.5005522157755561,0.29986887032428483
OCX,2020-06-22,3.17,3.3,3.13,3.185,153598,3.1850000000000014,2.590003702662352,2.070435501774365,0.5195682008879867,0.34380873643702525
OCX,2020-06-19,2.78,3.12,2.77,3.09,266093,3.090000000000001,2.666926209945067,2.145958797939227,0.5209674120058398,0.3792404715507882
OCX,2020-06-18,2.37,2.53,2.37,2.505,41462,2.505000000000001,2.6420144853381333,2.172554442536321,0.4694600428018121,0.397284385800993
OCX,2020-06-17,2.53,2.54,2.5,2.51,9058,2.5100000000000007,2.6217045645168815,2.197550409755853,0.42415415476102897,0.40265833959300024
OCX,2020-06-16,2.48,2.53,2.48,2.505,40657,2.505000000000001,2.6037500161296694,2.2203244534776423,0.3834255626520275,0.39881178420480573
OCX,2020-06-15,2.48,2.48,2.29,2.2906,69764,2.2906000000000004,2.5555730905712584,2.225530049516335,0.3300430410549233,0.3850580355748293
OCX,2020-06-12,2.37,2.47,2.35,2.45,32443,2.4500000000000006,2.5393310766372186,2.2421574532558655,0.2971736233813527,0.367481153136134
OCX,2020-06-11,2.45,2.47,2.3501,2.4197,25455,2.4197000000000006,2.520926295616108,2.255308753014691,0.2656175426014169,0.34710843102919064
OCX,2020-06-10,2.59,2.6399,2.54,2.5431,36095,2.5431000000000004,2.524337634752091,2.276626623161751,0.24771101159034006,0.32722894714142053
OCX,2020-06-09,2.6,2.62,2.5401,2.57,34290,2.5700000000000003,2.531362614021,2.2983579844090287,0.2330046296119712,0.30838408363553066
OCX,2020-06-08,2.65,2.65,2.59,2.63,50171,2.6300000000000003,2.546537596479308,2.3229240596379896,0.2236135368413179,0.29142997427668815
OCX,2020-06-05,2.66,2.68,2.6237,2.6630000000000003,45108,2.6630000000000007,2.564454889328645,2.348114870035176,0.21634001929346924,0.2764119832800444
OCX,2020-06-04,2.7,2.71,2.65,2.68,7241,2.680000000000001,2.582231060201161,2.3726989537362737,0.2095321064648874,0.26303600791701304
OCX,2020-06-03,2.71,2.72,2.66,2.66,69136,2.660000000000001,2.594195512477905,2.393980512718772,0.2002149997591336,0.2504718062854372
OCX,2020-06-02,2.86,2.8997,2.73,2.74,41873,2.740000000000002,2.616626972096689,2.419611585850715,0.1970153862459747,0.2397805222775447
