Symbol,Date,Open,High,Low,Close,Volume,AFMD SMA,AFMD spanTwelveEMA,AFMD spanTwntySixEMA,AFMD MACD,AFMD MACD_Signal
AFMD,2020-07-15,4.27,4.495,4.27,4.4001,252996,4.4001,4.4001,4.4001,0.0,0.0
AFMD,2020-07-14,4.26,4.346,4.19,4.23,87775,4.23,4.3739307692307685,4.3875,-0.013569230769230778,-0.0027138461538461557
AFMD,2020-07-13,4.42,4.5,4.4,4.41,95578,4.41,4.379479881656805,4.389166666666666,-0.009686785009860976,-0.00410843392504912
AFMD,2020-07-10,4.51,4.6,4.42,4.58,97605,4.58,4.4103291306326815,4.403302469135801,0.00702666149687925,-0.0018814148406634456
AFMD,2020-07-09,4.62,4.71,4.59,4.7,110638,4.700000000000001,4.454893879766115,4.425280064014632,0.029613815751483582,0.00441763127776596
AFMD,2020-07-08,4.39,4.51,4.39,4.46,60051,4.46,4.455679436725173,4.427851911124659,0.027827525600515383,0.009099610142315846
AFMD,2020-07-07,4.35,4.5068,4.32,4.415,169298,4.415,4.449421061844378,4.426899917708019,0.02252114413635997,0.01178391694112467
AFMD,2020-07-06,4.64,4.7037,4.56,4.56,116642,4.56,4.466433206176012,4.43675918306298,0.02967402311303147,0.015361938175506032
AFMD,2020-07-06,4.64,4.7037,4.56,4.56,116642,4.56,4.480828097533548,4.445888132465722,0.03493996506782615,0.01927754355397006
AFMD,2020-07-02,4.79,4.79,4.65,4.67,130865,4.670000000000001,4.509931467143772,4.462489011542335,0.047442455601436784,0.024910525963463406
AFMD,2020-07-01,4.63,4.71,4.59,4.66,80935,4.660000000000002,4.533018933737037,4.477119455131792,0.05589947860524536,0.0311083164918198
AFMD,2020-06-30,4.54,4.5945,4.45,4.57,174862,4.570000000000002,4.538708328546724,4.483999495492401,0.054708833054323946,0.03582841980432063
AFMD,2020-06-29,4.73,4.73,4.51,4.68,219772,4.6800000000000015,4.560445508770305,4.498518051381852,0.06192745738845318,0.04104822732114714
AFMD,2020-06-26,4.52,4.64,4.41,4.565,236222,4.565000000000001,4.56114619972872,4.503442640168381,0.057703559560338576,0.04437929376898543
AFMD,2020-06-25,4.11,4.265,4.03,4.265,123289,4.2650000000000015,4.5155852459243,4.485780222378131,0.02980502354616998,0.04146443972442234
AFMD,2020-06-24,4.23,4.4075,4.2,4.215,221883,4.215000000000002,4.469341361935948,4.465722428127899,0.003618933808048119,0.0338953385411475
AFMD,2020-06-23,4.18,4.38,3.93,4.38,405179,4.380000000000001,4.455596537022725,4.459372618636943,-0.003776081614218718,0.026361054510074255
AFMD,2020-06-22,3.97,4.03,3.91,3.9636,230944,3.9636000000000013,4.379904762096151,4.422648720960132,-0.042743958863980865,0.012540051835263232
AFMD,2020-06-19,3.6,3.66,3.56,3.63,270807,3.63,4.264534798696744,4.363934000889012,-0.09939920219226828,-0.009847798970243071
AFMD,2020-06-18,3.43,3.62,3.4,3.56,125614,3.5600000000000005,4.156144829666475,4.304383334156491,-0.14823850449001694,-0.03752594007419785
AFMD,2020-06-17,3.63,3.75,3.5706,3.62,251621,3.620000000000001,4.073661009717787,4.253688272367123,-0.18002726264933605,-0.06602620458922549
AFMD,2020-06-16,3.43,3.49,3.3573,3.475,222547,3.4750000000000005,3.9815593159150495,4.196007659599188,-0.21444834368413712,-0.09571063240820782
AFMD,2020-06-15,2.99,3.125,2.93,3.1,71679,3.100000000000001,3.845934805774273,4.1148219070362835,-0.2688871012620111,-0.13034592617896848
AFMD,2020-06-12,3.11,3.17,3.09,3.13,79937,3.1300000000000003,3.735790989501308,4.041872136144708,-0.3060811466433995,-0.1654929702718547
AFMD,2020-06-11,3.03,3.1201,2.98,3.12,231363,3.12,3.641053914193415,3.9735853112451,-0.3325313970516852,-0.1989006556278208
AFMD,2020-06-10,3.32,3.38,3.26,3.29,109822,3.29,3.58704561970212,3.9229493622639815,-0.33590374256186184,-0.22630127301462905
AFMD,2020-06-09,3.35,3.42,3.34,3.392,70157,3.3920000000000003,3.5570386012864086,3.8836197798740564,-0.32658117858764824,-0.2463572541292329
AFMD,2020-06-08,3.6,3.6,3.47,3.5,66456,3.5000000000000004,3.5482634318577304,3.8552034998833857,-0.3069400680256553,-0.2584738169085174
AFMD,2020-06-05,3.35,3.44,3.27,3.32,162701,3.3200000000000003,3.5131459808026944,3.81555879618832,-0.30241281538562514,-0.26726161660393893
AFMD,2020-06-04,3.46,3.57,3.43,3.5168,150286,3.5168000000000004,3.5137081376022796,3.7934285149891855,-0.27972037738690503,-0.26975336876053213
AFMD,2020-06-03,3.47,3.54,3.4064,3.53,201731,3.53,3.5162145779711604,3.773915291656653,-0.2577007136854932,-0.26734283774552436
AFMD,2020-06-02,3.27,3.35,3.24,3.345,75833,3.345,3.4898738736679045,3.742143788570975,-0.2522699149030707,-0.2643282531770336
