Symbol,Date,Open,High,Low,Close,Volume,MFH SMA,MFH spanTwelveEMA,MFH spanTwntySixEMA,MFH_x,MFH_y
MFH,2021-01-14,4.25,4.35,4.02,4.1126,121325,4.1126,3.852720514236688,3.5302427244744434,0.32247778976224417,0.26820632905334646
MFH,2021-01-13,4.0,4.0702,3.9464,3.9831,15259,3.9831,3.805469698643358,3.483654142432399,0.32181555621095903,0.2546384638761219
MFH,2021-01-12,4.25,4.25,3.89,3.95,35683,3.95,3.773173280214878,3.4436984738269905,0.3294748063878874,0.2378441907924126
MFH,2021-01-11,3.77,4.23,3.71,4.145,101674,4.144999999999999,3.7410229675266735,3.4031943517331493,0.33782861579352463,0.21493653689354386
MFH,2021-01-08,4.41,5.94,4.41,5.516,1357231,5.515999999999997,3.667572597986069,3.3438498998718016,0.3237226981142678,0.18421351716854878
MFH,2021-01-07,3.36,3.95,3.36,3.63,400675,3.6299999999999972,3.3314948885289914,3.1700778918615464,0.16141699666744502,0.14933622193211915
MFH,2021-01-06,3.4,3.49,3.3132,3.33,59205,3.3299999999999974,3.2772212318978986,3.13328412321047,0.1439371086874286,0.14631602824828766
MFH,2021-01-05,3.34,3.37,3.24,3.33,40534,3.3299999999999974,3.2676250922429713,3.1175468530673083,0.150078239175663,0.14691075813850243
MFH,2021-01-04,3.25,3.31,3.2,3.21,36869,3.2099999999999973,3.256284199923511,3.1005506013126927,0.15573359861081834,0.1461188878792123
MFH,2021-01-15,3.97,4.0,3.96,3.97,3990,3.9699999999999984,3.264699509000513,3.0917946494177078,0.17290485958280488,0.14371521019631076
MFH,2020-12-31,3.14,3.1804,3.01,3.0501,95992,3.0500999999999974,3.1364630560915154,3.0215382213711246,0.11492483472039085,0.1364177978496871
MFH,2020-12-30,3.17,3.17,3.01,3.0132,57486,3.013199999999997,3.1521654299263364,3.0192532790808144,0.132912150845522,0.14179103863201117
MFH,2020-12-29,3.15,3.19,3.09,3.09,68868,3.0899999999999976,3.1774318717311245,3.01973754140728,0.15769433032384494,0.14401076057863346
MFH,2020-12-28,3.36,3.3719,3.08,3.28,102234,3.2799999999999976,3.1933285756822385,3.0141165447198617,0.17921203096237592,0.14058986814233068
MFH,2020-12-28,3.36,3.3719,3.08,3.28,102234,3.279999999999997,3.1775701348971905,2.9928458682974513,0.18472426659973973,0.13093432743731914
MFH,2020-12-24,3.15,3.2986,3.15,3.17,27431,3.1699999999999977,3.1589465230603166,2.9698735377612473,0.18907298529906932,0.1174868426467141
MFH,2020-12-23,3.66,3.8246,3.4,3.6488,97191,3.6487999999999983,3.1569367999803735,2.9538634207821466,0.20307337919822727,0.09959030698362527
MFH,2020-12-22,3.4,3.78,3.3501,3.72,420620,3.7199999999999984,3.0675071272495327,2.8982684944447183,0.16923863280481433,0.07371953892997486
MFH,2020-12-21,3.1,3.23,3.0389999999999997,3.23,67824,3.229999999999998,2.94887205947672,2.832529974000296,0.11634208547642455,0.049839765461264986
MFH,2020-12-18,3.29,3.4193,3.2101,3.38,55632,3.3799999999999977,2.8977578884724875,2.8007323719203194,0.09702551655216808,0.033214185457475204
MFH,2020-12-17,3.13,3.2229,3.1,3.1226,94019,3.1225999999999976,2.8100775045583943,2.7543909616739453,0.05568654288444908,0.01726135268380198
MFH,2020-12-16,3.2,3.2,2.82,2.9862,230747,2.9861999999999984,2.753255232659921,2.7249342386078608,0.02832099405206012,0.007655055133640206
MFH,2020-12-15,2.74,2.7899,2.74,2.7592,4728,2.759199999999998,2.710901638598088,2.7040329776964893,0.006868660901598656,0.002488570404035226
MFH,2020-12-14,2.73,2.73,2.6,2.6738,21881,2.6737999999999977,2.7021201183431947,2.699619615912209,0.00250050243098654,0.0013935477796443686
MFH,2020-12-11,2.71,2.77,2.67,2.7665,4977,2.766499999999999,2.7072692307692305,2.7016851851851853,0.005584045584045239,0.0011168091168090478
MFH,2020-12-10,2.7,2.79,2.6965,2.6965,9716,2.696499999999999,2.6965,2.6965,0.0,0.0
