Symbol,Date,Open,High,Low,Close,Volume,KTRA SMA,KTRA spanTwelveEMA,KTRA spanTwntySixEMA,KTRA_x,KTRA_y
KTRA,2021-01-14,1.35,1.3667,1.34,1.36,82840,1.36,1.370974891895572,1.3804582496713125,-0.009483357775740277,-0.023185285780594384
KTRA,2021-01-13,1.5,1.51,1.43,1.445,122952,1.445,1.372970326785676,1.3820949096450172,-0.009124582859341368,-0.026610767781807855
KTRA,2021-01-12,1.45,1.45,1.43,1.445,27798,1.445,1.3598740225648898,1.3770625024166183,-0.017188479851728774,-0.03098231401242453
KTRA,2021-01-11,1.4,1.4,1.37,1.39,74848,1.39,1.3443965721221425,1.3716275026099478,-0.02723093048780556,-0.03443077255259852
KTRA,2021-01-08,1.39,1.39,1.33,1.33,36997,1.3299999999999998,1.3361050397807142,1.3701577028187442,-0.034052663038030014,-0.03623073306879682
KTRA,2021-01-07,1.3745,1.38,1.32,1.3467,31321,1.3466999999999998,1.337215047013571,1.3733703190442434,-0.03615527203067237,-0.03677525057648852
KTRA,2021-01-06,1.4,1.42,1.29,1.325,180159,1.3249999999999995,1.3354905101069476,1.3755039445677828,-0.04001343446083516,-0.03693024521294255
KTRA,2021-01-05,1.32,1.33,1.3,1.3111,19727,1.3110999999999997,1.337397875580938,1.3795442601332055,-0.04214638455226738,-0.0361594479009694
KTRA,2021-01-04,1.28,1.29,1.26,1.28,38921,1.2799999999999996,1.3421793075047452,1.3850198009438621,-0.04284049343911689,-0.03466271373814485
KTRA,2021-01-04,1.28,1.29,1.26,1.28,38921,1.2799999999999996,1.3534846361419712,1.3934213850193706,-0.0399367488773994,-0.03261826881290184
KTRA,2020-12-31,1.34,1.34,1.29,1.2983,18751,1.2982999999999996,1.366845479076875,1.40249509582092,-0.03564961674404521,-0.03078864879677745
KTRA,2020-12-30,1.34,1.3648,1.3252,1.3401,14634,1.3400999999999998,1.3793082934544885,1.4108307034865937,-0.031522410032105215,-0.029573406809960564
KTRA,2020-12-29,1.4,1.4092,1.3467,1.35,24303,1.35,1.3864370740825773,1.4164891597655211,-0.030052085682944037,-0.0290861560044244
KTRA,2020-12-28,1.37,1.41,1.37,1.4,82602,1.4,1.3930619966430458,1.4218082925467628,-0.028746295903717026,-0.02884467358479454
KTRA,2020-12-28,1.37,1.41,1.37,1.4,82602,1.4,1.391800541487236,1.4235529559505038,-0.03175241446326793,-0.028869268005063915
KTRA,2020-12-24,1.36,1.41,1.36,1.4,89954,1.4,1.3903097308485517,1.4254371924265439,-0.0351274615779924,-0.028148481390512962
KTRA,2020-12-23,1.36,1.36,1.32,1.3284,17000,1.3283999999999998,1.3885478637301063,1.4274721678206677,-0.038924304090561135,-0.026403736343643153
KTRA,2020-12-22,1.32,1.37,1.32,1.36,14065,1.3599999999999997,1.399483838953762,1.435397941246321,-0.03591410229255887,-0.0232735944069136
KTRA,2020-12-21,1.33,1.39,1.33,1.3401,35709,1.3400999999999998,1.4066627187635368,1.4414297765460264,-0.034767057782489674,-0.020113467435502286
KTRA,2020-12-18,1.31,1.37,1.31,1.36,47188,1.36,1.4187650312659978,1.4495361586697086,-0.0307711274037108,-0.01645006984875544
KTRA,2020-12-17,1.4,1.4,1.3438,1.37,17989,1.37,1.4294495824052702,1.4566990513632851,-0.027249468958014944,-0.012869805460016596
KTRA,2020-12-16,1.38,1.38,1.35,1.36,18486,1.36,1.4402585973880466,1.463634975472348,-0.023376378084301264,-0.009274889585517008
KTRA,2020-12-15,1.39,1.4,1.365,1.38,43466,1.3799999999999997,1.4548510696404189,1.4719257735101356,-0.01707470386971699,-0.0057495174608208875
KTRA,2020-12-14,1.47,1.47,1.38,1.4,86350,1.3999999999999997,1.4684603550295856,1.4792798353909464,-0.010819480361360823,-0.0029182208585969162
KTRA,2020-12-11,1.56,1.56,1.37,1.4309,209093,1.4308999999999998,1.4809076923076925,1.4856222222222222,-0.004714529914529919,-0.0009429059829059394
KTRA,2020-12-10,1.48,1.5,1.46,1.49,34632,1.4899999999999995,1.49,1.49,0.0,0.0
