Symbol,Date,Open,High,Low,Close,Volume,ADTX SMA,ADTX spanTwelveEMA,ADTX spanTwntySixEMA,ADTX_x,ADTX_y
ADTX,2021-01-14,2.4,2.4,2.31,2.36,77098,2.36,2.2453137622294284,2.2001257142470725,0.04518804798235543,0.024396381003839313
ADTX,2021-01-13,2.33,2.3485,2.3036,2.3336,27158,2.3336,2.2244617189984153,2.1873357713868384,0.037125947611576386,0.01919846425921017
ADTX,2021-01-12,2.26,2.29,2.255,2.2633,24825,2.2633,2.2046183951799447,2.1756346330977854,0.028983762082159362,0.0147165934211185
ADTX,2021-01-11,2.3,2.315,2.2598,2.3114,29086,2.3114,2.193949012485389,2.168621403745608,0.025327608739781567,0.011149801255858283
ADTX,2021-01-08,2.36,2.38,2.3,2.3,168298,2.3,2.1725942874827333,2.157199116045257,0.015395171437476485,0.007605349384877571
ADTX,2021-01-07,2.17,2.245,2.1567,2.2445,87230,2.2444999999999995,2.1494296124795937,2.145775045328877,0.0036545671507162147,0.005657893871727842
ADTX,2021-01-06,2.09,2.125,2.08,2.125,25701,2.125,2.132144087475884,2.137877048955188,-0.005732961479304244,0.006158725551980637
ADTX,2021-01-05,2.08,2.0896,2.07,2.08,26274,2.08,2.1334430124714987,2.138907212871603,-0.005464200400104424,0.009131647309801745
ADTX,2021-01-04,2.08,2.1099,2.0619,2.075,60548,2.075,2.143159923829953,2.143619789901331,-0.00045986607137793456,0.012780609237278286
ADTX,2021-01-04,2.08,2.1099,2.0619,2.075,60548,2.075,2.155552637253581,2.1491093730934376,0.006443264160143514,0.01609072806444245
ADTX,2020-12-31,2.12,2.145,2.115,2.14,12206,2.14,2.1701985712996867,2.1550381229409123,0.01516044835877439,0.01850259404051718
ADTX,2020-12-30,2.14,2.2,2.13,2.195,59601,2.194999999999999,2.1756892206269023,2.156241172776185,0.019448047850717298,0.019338130460952875
ADTX,2020-12-29,2.2,2.2,2.09,2.136,99830,2.136,2.1721781698317937,2.15314046659828,0.01903770323351361,0.019310651113511768
ADTX,2020-12-28,2.2,2.24,2.1551,2.24,101648,2.24,2.1787560188921202,2.1545117039261426,0.02424431496597723,0.019378888083511306
ADTX,2020-12-28,2.2,2.24,2.1551,2.24,101648,2.24,2.1676207495997777,2.1476726402402337,0.019948109359543945,0.01816253136289471
ADTX,2020-12-24,2.21,2.255,2.195,2.25,52369,2.249999999999999,2.1544608858906464,2.1402864514594526,0.014174434431193816,0.0177161368637324
ADTX,2020-12-23,2.22,2.23,2.13,2.191,101036,2.190999999999999,2.1370901378707643,2.131509367576209,0.0055807702945549495,0.018601562471867044
ADTX,2020-12-22,2.12,2.13,2.03,2.1,104641,2.0999999999999988,2.1272883447563573,2.126750116982305,0.0005382277740517694,0.021856760516194958
ADTX,2020-12-21,2.01,2.04,2.01,2.01,35861,2.0099999999999985,2.1322498619847856,2.12889012634089,0.003359735643896133,0.027186393701730642
ADTX,2020-12-18,2.01,2.025,2.0,2.005,54470,2.004999999999999,2.154477109618384,2.138401336448161,0.016075773170222796,0.033143058216189375
ADTX,2020-12-17,1.97,2.06,1.97,2.05,94017,2.049999999999999,2.1816547659126355,2.149073443364014,0.03258132254862156,0.03740987947768091
ADTX,2020-12-16,2.03,2.07,2.01,2.06,123466,2.06,2.205591996078569,2.156999318833135,0.04859267724543415,0.038617018709945744
ADTX,2020-12-15,2.2,2.23,2.1,2.1127,124846,2.112699999999999,2.2320632680928543,2.1647592643397857,0.06730400375306855,0.03612310407607364
ADTX,2020-12-14,2.53,2.59,2.45,2.4564,326436,2.456399999999999,2.253765680473373,2.1689240054869687,0.08484167498640449,0.0283278791568249
ADTX,2020-12-11,2.4,3.03,2.4,2.97,3022503,2.97,2.2169230769230768,2.1459259259259262,0.07099715099715098,0.014199430199430109
ADTX,2020-12-10,2.04,2.09,2.0,2.08,99835,2.0799999999999987,2.08,2.08,0.0,0.0
