Symbol,Date,Open,High,Low,Close,Volume,ENDP SMA,ENDP spanTwelveEMA,ENDP spanTwntySixEMA,ENDP_x,ENDP_y
ENDP,2021-08-17,3.76,3.76,3.71,3.71,52855,3.71,4.212750358633044,4.314515919727238,-0.1017655610941936,0.018288786673265604
ENDP,2021-08-16,3.89,3.915,3.88,3.89,33579,3.89,4.304159514748143,4.362877193305416,-0.0587176785572731,0.048302373615130414
ENDP,2021-08-13,4.16,4.16,4.1301,4.1301,16624,4.1301,4.379461244702351,4.400707368769849,-0.0212461240674981,0.0750573866582313
ENDP,2021-08-12,3.91,3.945,3.86,3.89,62911,3.89,4.424799652830052,4.422355958271437,0.0024436945586145,0.09913326433966366
ENDP,2021-08-11,4.37,4.37,4.11,4.13,193217,4.13,4.522035953344606,4.464944434933152,0.0570915184114539,0.1233056567849257
ENDP,2021-08-10,4.41,4.41,4.37,4.39,25804,4.39,4.59331521758908,4.4917399897278045,0.1015752278612751,0.1398591913782936
ENDP,2021-08-09,4.31,4.315,4.28,4.28,55021,4.28,4.630281620787095,4.499879188906029,0.1304024318810652,0.14943018225754823
ENDP,2021-08-06,4.75,4.8346,4.73,4.75,155750,4.75,4.69396918820293,4.517469524018511,0.1764996641844183,0.15418711985166872
ENDP,2021-08-05,4.55,4.5981,4.55,4.59,66212,4.59,4.683781767876189,4.498867085939992,0.1849146819361973,0.14860898376848133
ENDP,2021-08-04,4.66,4.69,4.6,4.6429,62397,4.6429,4.700832998399132,4.491576452815191,0.2092565455839414,0.13953255922655233
ENDP,2021-08-03,4.98,4.98,4.89,4.9,71943,4.9,4.711366270835338,4.479470569040407,0.2318957017949312,0.12210156263720504
ENDP,2021-08-02,5.11,5.15,5.07,5.07,38242,5.07,4.677069229169035,4.445828214563639,0.2312410146053958,0.09465302784777346
ENDP,2021-07-30,4.99,4.99,4.94,4.94,50355,4.94,4.605627270836132,4.39589447172873,0.2097327991074022,0.06050603115836786
ENDP,2021-07-29,5.24,5.25,5.205,5.22,44511,5.22,4.544832229169974,4.352366029467028,0.1924661997029462,0.023199339171109248
ENDP,2021-07-28,4.92,4.94,4.885,4.93,32556,4.93,4.422074452655424,4.282955311824391,0.139119140831033,-0.019117375961849994
ENDP,2021-07-27,5.0,5.03,4.99,5.0199,54907,5.0199,4.329724353138229,4.2311917367703415,0.098532616367887,-0.05867650516007075
ENDP,2021-07-26,4.95,4.95,4.9074,4.94,51342,4.94,4.2042378718906335,4.168095075711969,0.0361427961786642,-0.09797878554206019
ENDP,2021-07-23,4.86,4.88,4.7,4.7221,117625,4.7221,4.070462939507112,4.106342681768927,-0.0358797422618151,-0.1315091809722413
ENDP,2021-07-22,4.59,4.6,4.42,4.4843,393773,4.4843,3.951983473962951,4.057082096310441,-0.1050986223474899,-0.1554165406498478
ENDP,2021-07-21,4.26,4.46,4.26,4.419,326708,4.419,3.855198651047123,4.022904664015276,-0.1677060129681526,-0.16799602022543728
ENDP,2021-07-20,3.5,3.55,3.45,3.55,88508,3.55,3.752689314873874,3.991217037136498,-0.2385277222626243,-0.1680685220397583
ENDP,2021-07-19,3.48,3.48,3.4,3.4233,88735,3.4233,3.789541917578215,4.026514400107418,-0.2369724825292034,-0.15045372198404178
ENDP,2021-07-16,3.37,3.4,3.36,3.39,111108,3.39,3.8561313571378895,4.074771552116012,-0.2186401949781213,-0.12882403184775149
ENDP,2021-07-15,3.58,3.6,3.58,3.6,21104,3.6,3.940882512981143,4.129553276285293,-0.1886707633041497,-0.10636999106515879
ENDP,2021-07-14,3.62,3.65,3.61,3.61,30896,3.61,4.002861151704988,4.171917538388116,-0.1690563866831285,-0.08579479800541104
ENDP,2021-07-13,3.67,3.71,3.63,3.71,45156,3.71,4.074290452014986,4.216870941459165,-0.1425804894441791,-0.06497940083598189
ENDP,2021-07-12,3.76,3.84,3.76,3.82,40993,3.82,4.140525079654074,4.257420616775899,-0.1168955371218247,-0.045579128683932574
ENDP,2021-07-09,3.79,3.84,3.75,3.76,46215,3.76,4.198802366863906,4.29241426611797,-0.0936118992540642,-0.027750026574459526
ENDP,2021-07-08,3.69,3.69,3.68,3.6801,107561,3.6801,4.278584615384616,4.335007407407407,-0.0564227920227917,-0.011284558404558354
ENDP,2021-07-07,4.37,4.48,4.37,4.3874,29126,4.3874,4.3874,4.3874,0.0,0.0
