Symbol,Date,Open,High,Low,Close,Volume,ABEV SMA,ABEV spanTwelveEMA,ABEV spanTwntySixEMA,ABEV_x,ABEV_y
ABEV,2021-02-25,2.67,2.71,2.65,2.705,2871330,2.705,2.7701930808373048,2.8343696957579723,-0.06417661492066751,-0.05506080659709968
ABEV,2021-02-24,2.72,2.74,2.7,2.7,791010,2.7,2.7820463682622694,2.8447192714186103,-0.06267290315634089,-0.05278185451620772
ABEV,2021-02-23,2.68,2.7,2.66,2.6919,3133800,2.6918999999999995,2.7969638897645006,2.856296813132099,-0.05933292336759832,-0.05030909235617442
ABEV,2021-02-22,2.68,2.73,2.65,2.71,5664671,2.7099999999999995,2.8160664151762282,2.869448558182667,-0.053382143006439176,-0.04805313460331845
ABEV,2021-02-19,2.75,2.79,2.74,2.79,1248013,2.79,2.835351217935542,2.88220444283728,-0.04685322490173816,-0.04672088250253838
ABEV,2021-02-18,2.79,2.81,2.78,2.805,2050888,2.8050000000000006,2.8435968939238223,2.8895807982642623,-0.04598390434043997,-0.04668779690273843
ABEV,2021-02-17,2.86,2.88,2.84,2.845,914022,2.845,2.8506145110008814,2.896347262125403,-0.045732751124522235,-0.04686377004331304
ABEV,2021-02-16,2.8,2.84,2.8,2.84,1096903,2.8400000000000003,2.8516353311828597,2.900455043095436,-0.048819711912576384,-0.047146524773010845
ABEV,2021-02-16,2.8,2.84,2.8,2.84,1096903,2.84,2.8537508459433787,2.90529144654307,-0.05154060059969101,-0.04672822798811945
ABEV,2021-02-12,2.77,2.79,2.76,2.78,2805146,2.78,2.8562509997512664,2.910514762266516,-0.054263762515249336,-0.045525134835226445
ABEV,2021-02-11,2.82,2.865,2.82,2.835,2325471,2.8349999999999995,2.8701148178878606,2.920955943247837,-0.05084112535997632,-0.04334047791522061
ABEV,2021-02-10,2.82,2.82,2.79,2.8,1377002,2.8,2.876499330231108,2.927832418707663,-0.05133308847655593,-0.041465316054031684
ABEV,2021-02-09,2.77,2.8,2.76,2.7788,3601691,2.7787999999999995,2.8904082993640365,2.938059012204277,-0.04765071284024058,-0.03899837294840084
ABEV,2021-02-08,2.82,2.85,2.81,2.8115,6155561,2.8114999999999988,2.910700717430225,2.95079973318062,-0.040099015750394866,-0.0368352879754409
ABEV,2021-02-05,2.94,2.97,2.94,2.945,1527800,2.944999999999999,2.928737211508447,2.9619437118350693,-0.0332065003266222,-0.036019356031702296
ABEV,2021-02-04,2.92,2.93,2.8736,2.895,1829895,2.8949999999999987,2.9257803408736187,2.9632992087818746,-0.037518867908255434,-0.036722569957972316
ABEV,2021-02-03,2.97,3.01,2.97,2.99,3071134,2.99,2.9313767664870043,2.9687631454844245,-0.037386378997420255,-0.03652349547040142
ABEV,2021-02-02,2.99,3.01,2.94,2.94,3167062,2.9399999999999995,2.9207179967573684,2.9670641971231784,-0.0463462003658095,-0.03630777458864671
ABEV,2021-02-01,2.86,2.865,2.8,2.83,1464964,2.83,2.9172121779859816,2.9692293328930326,-0.05201715490705139,-0.0337981681443559
ABEV,2021-01-29,2.86,2.87,2.84,2.8589,2838726,2.8589,2.9330689376197965,2.980367679524475,-0.04729874190467909,-0.02924342145368214
ABEV,2021-01-28,2.89,2.91,2.88,2.88,1472697,2.88,2.9465541990052126,2.9900850938864334,-0.04353089488121986,-0.024729591340933006
ABEV,2021-01-27,2.87,2.89,2.84,2.89,3155612,2.89,2.958654962460707,2.9988919013973474,-0.0402369389366406,-0.02002926545586107
ABEV,2021-01-26,2.9,2.93,2.9,2.92,3689753,2.9199999999999995,2.9711376829081075,3.0076032535091346,-0.03646557060102706,-0.014977347085666181
ABEV,2021-01-25,2.83,2.8301,2.79,2.795,1531049,2.795,2.9804354434368547,3.0146115137898657,-0.034176070353010964,-0.00960529120682596
ABEV,2021-01-22,2.87,2.9,2.84,2.84,4417648,2.84,3.014150978607192,3.0321804348930548,-0.01802945628586317,-0.0034625964202797095
ABEV,2021-01-21,3.05,3.05,2.99,2.995,1514521,2.995,3.0458147928994084,3.0475548696844985,-0.001740076785090583,0.0001791185461160439
ABEV,2021-01-20,3.1,3.1,3.0701,3.09,1501677,3.09,3.0550538461538466,3.0517592592592586,0.0032945868945870593,0.0006589173789175895
ABEV,2021-01-19,3.08,3.08,3.04,3.0487,1773911,3.0487,3.0487,3.0487,0.0,0.0
ABEV,2021-01-19,3.08,3.08,3.04,3.0487,1773911,3.0487,3.0487,3.0487,0.0,0.0
