Symbol,Date,Open,High,Low,Close,Volume,DNN SMA,DNN spanTwelveEMA,DNN spanTwntySixEMA,DNN_x,DNN_y
DNN,2020-11-20,0.34,0.3449,0.3356,0.3363,123524,0.3363,0.34738460738992816,0.3518036814274616,-0.004419074037533444,-0.005339610375824458
DNN,2020-11-19,0.359,0.359,0.34,0.3419,280441,0.3418999999999999,0.3493999905517333,0.3530439759416585,-0.003643985389925275,-0.005569744460397212
DNN,2020-11-18,0.3403,0.3498,0.34,0.3432,131580,0.34319999999999995,0.350763625197503,0.3539354940169912,-0.0031718688194882216,-0.006051184228015223
DNN,2020-11-17,0.38,0.38,0.3409,0.3538,563231,0.35379999999999995,0.3521388297788672,0.3547943335383505,-0.002655503759483313,-0.0067710130801469735
DNN,2020-11-16,0.35,0.36,0.35,0.3528,58697,0.3527999999999999,0.3518367988295703,0.3548738802214185,-0.0030370813918482176,-0.007799890410312888
DNN,2020-11-13,0.3698,0.3698,0.3556,0.3579,68099,0.3578999999999999,0.3516616713440377,0.35503979063913205,-0.003378119295094295,-0.008990592664929055
DNN,2020-11-12,0.3738,0.3738,0.3572,0.3615,81582,0.3614999999999998,0.35052742977022633,0.35481097389026256,-0.004283544120036231,-0.010393711007387731
DNN,2020-11-11,0.375,0.3799,0.3662,0.3674,90546,0.3673999999999999,0.3485324170011765,0.3542758518014836,-0.0057434348003070354,-0.011921252729225605
DNN,2020-11-10,0.35,0.3586,0.34700000000000003,0.358599,135275,0.35859899999999983,0.3451019473650268,0.35322591994560226,-0.008123972580575456,-0.013465707211455232
DNN,2020-11-09,0.35,0.3597,0.35,0.3596,149534,0.3595999999999998,0.3426479377950317,0.3527960735412505,-0.010148135746218813,-0.014801140869175177
DNN,2020-11-06,0.35,0.35,0.34,0.3468,127564,0.34679999999999983,0.33956574466685563,0.35225175942455056,-0.01268601475769493,-0.01596439214991428
DNN,2020-11-05,0.33399999999999996,0.34,0.33,0.3395,116943,0.3394999999999999,0.3382504255153749,0.3526879001785146,-0.014437474663139716,-0.016783986497969118
DNN,2020-11-04,0.345,0.345,0.3323,0.33299999999999996,125587,0.33299999999999985,0.33802323015453395,0.3537429321927957,-0.015719702038261785,-0.017370614456676467
DNN,2020-11-03,0.34,0.3405,0.3397,0.33975,29639,0.3397499999999999,0.33893654472808554,0.3554023667682194,-0.01646582204013386,-0.017783342561280148
DNN,2020-11-02,0.34,0.3499,0.34,0.3419,145418,0.3418999999999999,0.33878864376955564,0.3566545561096769,-0.017865912340121304,-0.01811272269156672
DNN,2020-10-30,0.3227,0.3295,0.3227,0.3295,116110,0.3294999999999999,0.3382229426367476,0.3578349205984511,-0.019611977961703497,-0.018174425279428086
DNN,2020-10-29,0.316,0.32,0.3103,0.319,28326,0.31899999999999984,0.3398089322070654,0.3601017142463272,-0.020292782039261825,-0.01781503710885923
DNN,2020-10-28,0.3315,0.3315,0.3202,0.322848,159784,0.32284799999999986,0.3435923744265318,0.3633898513860334,-0.019797476959501625,-0.017195600876258578
DNN,2020-10-27,0.32,0.3249,0.32,0.321201,93755,0.32120099999999985,0.34736407886771936,0.3666331994969161,-0.019269120629196727,-0.016545131855447814
DNN,2020-10-26,0.33,0.3354,0.325,0.327,344610,0.3269999999999998,0.3521210022982138,0.3702677754566693,-0.01814677315845553,-0.015864134662010587
DNN,2020-10-23,0.3497,0.3497,0.34299999999999997,0.3476,53481,0.34759999999999985,0.35668845726152537,0.3737291974932029,-0.01704074023167751,-0.015293475037899365
DNN,2020-10-22,0.3496,0.3539,0.342,0.349,131735,0.3489999999999999,0.35834090403634816,0.3758195332926591,-0.01747862925631094,-0.014856658739454829
DNN,2020-10-21,0.35700000000000004,0.35700000000000004,0.35,0.3537,78456,0.3536999999999999,0.3600392502247751,0.3779650959560718,-0.01792584573129669,-0.014201166110240802
DNN,2020-10-20,0.3481,0.3499,0.345,0.3451,55860,0.34509999999999985,0.3611918411747342,0.3799063036325576,-0.018714462457823374,-0.01326999620497683
DNN,2020-10-19,0.35,0.3543,0.34051,0.34544899999999995,404201,0.34544899999999984,0.3641176304792313,0.3826908079231622,-0.018573177443930892,-0.011908879641765176
DNN,2020-10-16,0.3411,0.349,0.3318,0.3378,567794,0.3377999999999998,0.3675119269300007,0.3856701525570152,-0.018158225627014524,-0.010242805191223748
DNN,2020-10-15,0.35,0.35,0.34,0.34105,708753,0.34104999999999985,0.3729140954627281,0.3894997647615765,-0.01658566929884836,-0.008263950082276053
DNN,2020-10-14,0.3425,0.344,0.3356,0.33689,690001,0.33688999999999986,0.3787075673650423,0.3933757459425025,-0.014668178577460222,-0.006183520278132961
DNN,2020-10-13,0.35,0.3517,0.3411,0.3418,392455,0.34179999999999977,0.3863107614314136,0.3978946056179027,-0.011583844186489056,-0.004062355703301146
DNN,2020-10-12,0.3551,0.3595,0.35,0.35,741517,0.34999999999999976,0.3944036271462161,0.4023821740673349,-0.00797854692111877,-0.002181983582504154
DNN,2020-10-09,0.3701,0.3771,0.37005,0.37240100000000004,639472,0.3724009999999999,0.4024770139000736,0.4065727479927217,-0.0040957340926480726,-0.0007328427478504865
DNN,2020-10-08,0.38,0.3898,0.36,0.3787,4499253,0.37869999999999976,0.4079453800637233,0.4093064878321394,-0.001361107768416081,0.0001078800883489102
DNN,2020-10-07,0.4198,0.42100000000000004,0.41,0.4186,46804,0.4185999999999998,0.4132627218934912,0.4117550068587106,0.001507715034780588,0.00047512705254017186
DNN,2020-10-06,0.4294,0.43,0.42200000000000004,0.4238,130600,0.4237999999999998,0.4122923076923077,0.4112074074074074,0.001084900284900325,0.00021698005698005398
DNN,2020-10-05,0.42,0.4245,0.4101,0.4102,84915,0.41019999999999984,0.4102,0.4102,0.0,0.0
