Symbol,Date,Open,High,Low,Close,Volume,IAG SMA,IAG spanTwelveEMA,IAG spanTwntySixEMA,IAG_x,IAG_y
IAG,2021-03-09,3.17,3.18,3.16,3.17,64574,3.17,3.1007075146708933,3.2066423964379807,-0.1059348817670873,-0.0996278035332813
IAG,2021-03-08,3.06,3.06,3.05,3.05,32608,3.05,3.0881088809746924,3.209573788153019,-0.1214649071783267,-0.09805103397482978
IAG,2021-03-05,3.01,3.01,3.0,3.005,12612,3.005,3.0950377684246364,3.2223396912052604,-0.127301922780624,-0.09219756567395554
IAG,2021-03-04,2.97,2.97,2.94,2.96,37998,2.96,3.1114082717745704,3.2397268665016816,-0.1283185947271112,-0.08342147639728842
IAG,2021-03-03,2.94,2.95,2.918,2.9199,163165,2.9199,3.138937048460856,3.2621050158218163,-0.1231679673609602,-0.07219719681483269
IAG,2021-03-02,2.88,2.9,2.88,2.89,138922,2.89,3.17876196636283,3.2894814170875617,-0.1107194507247317,-0.05945450417830081
IAG,2021-03-01,3.07,3.07,3.01,3.04,76852,3.04,3.2312641420651627,3.3214399304545665,-0.0901757883894038,-0.04663826754169306
IAG,2021-02-26,3.06,3.08,3.01,3.06,197411,3.06,3.266039440622465,3.343955124890932,-0.0779156842684671,-0.03575388732976535
IAG,2021-02-25,3.2,3.205,3.18,3.18,101190,3.18,3.303501157099277,3.3666715348822067,-0.0631703777829297,-0.02521343809508989
IAG,2021-02-24,3.17,3.17,3.14,3.1497,78102,3.1497,3.325955912935509,3.381605257672783,-0.0556493447372741,-0.015724203173129916
IAG,2021-02-23,3.3,3.3,3.22,3.22,158742,3.22,3.358002442560147,3.4001576782866056,-0.0421552357264585,-0.005742917782093864
IAG,2021-02-22,3.26,3.28,3.21,3.2263,238721,3.2263,3.383093795752901,3.4145702925495343,-0.0314764967966332,0.0033601617039973
IAG,2021-02-19,3.23,3.24,3.21,3.21,46421,3.21,3.411601758617065,3.4296319159534967,-0.0180301573364318,0.01206932632915493
IAG,2021-02-18,3.38,3.39,3.33,3.39,176279,3.39,3.4482566238201677,3.4472024692297767,0.0010541545903905,0.019594197245551632
IAG,2021-02-17,3.31,3.31,3.28,3.28,139228,3.28,3.458848737242016,3.4517786667681585,0.0070700704738571,0.024229207909341775
IAG,2021-02-16,3.46,3.46,3.44,3.45,106525,3.45,3.4913666894678363,3.465520960109611,0.0258457293582252,0.02851899226821283
IAG,2021-02-16,3.46,3.46,3.44,3.45,106525,3.45,3.498887905734716,3.46676263691838,0.032125268816336,0.02918730799570972
IAG,2021-02-12,3.51,3.52,3.48,3.48,54423,3.48,3.507776615868301,3.4681036478718505,0.0396729679964504,0.02845281779055314
IAG,2021-02-11,3.61,3.62,3.605,3.62,39050,3.62,3.5128269096625377,3.467151939701598,0.0456749699609391,0.0256477802390788
IAG,2021-02-10,3.59,3.6,3.59,3.59,38545,3.59,3.4933408932375443,3.4549240948777267,0.0384167983598175,0.02064098280861361
IAG,2021-02-09,3.6,3.6,3.58,3.58,21035,3.58,3.4757665101898247,3.444118022467945,0.0316484877218798,0.01619702892081261
IAG,2021-02-08,3.54,3.59,3.54,3.59,50449,3.59,3.456814966587975,3.4332474642653805,0.0235675023225945,0.012334164220545786
IAG,2021-02-05,3.49,3.5,3.46,3.46,36089,3.46,3.4325995059676067,3.4207072614066107,0.0118922445609959,0.009525829695033601
IAG,2021-02-04,3.425,3.425,3.3825,3.3825,60985,3.3825,3.427617597961717,3.41756384231914,0.0100537556425774,0.008934225978543023
IAG,2021-02-03,3.44,3.46,3.44,3.46,57296,3.46,3.4358207975911204,3.4203689497046708,0.0154518478864495,0.008654343562534517
IAG,2021-02-02,3.44,3.44,3.4,3.4178,75945,3.4178,3.431424578971324,3.4171984656810444,0.0142261132902796,0.006954967481555745
IAG,2021-02-01,3.5,3.52,3.5,3.5019,90393,3.5019,3.4339017751479286,3.417150342935528,0.0167514322124007,0.005137181029374762
IAG,2021-01-29,3.51,3.54,3.46,3.54,96868,3.54,3.4215384615384616,3.4103703703703703,0.0111680911680913,0.0022336182336182733
IAG,2021-01-28,3.39,3.4,3.38,3.4,84880,3.4,3.4,3.4,0.0,0.0
