Symbol,Date,Open,High,Low,Close,Volume,GFI SMA,GFI spanTwelveEMA,GFI spanTwntySixEMA,GFI_x,GFI_y
GFI,2021-03-09,9.75,9.78,9.74,9.775,114151,9.775,9.030937567945651,9.115049876775336,-0.0841123088296846,-0.17766402300514753
GFI,2021-03-08,9.09,9.11,9.0,9.0807,189547,9.0807,8.895653489390314,9.06225386691736,-0.1666003775270468,-0.20105195154901323
GFI,2021-03-05,9.01,9.01,8.96,8.96,33122,8.96,8.862008669279462,9.06077817627075,-0.1987695069912884,-0.20966484505450528
GFI,2021-03-04,8.73,8.74,8.665,8.7,88876,8.7,8.844192063693908,9.06884043037241,-0.224648366678501,-0.21238867957030946
GFI,2021-03-03,8.43,8.43,8.38,8.4,79258,8.4,8.870408802547347,9.098347664802205,-0.2279388622548559,-0.20932375779326154
GFI,2021-03-02,8.32,8.375,8.32,8.35,67126,8.35,8.955937675737774,9.15421547798638,-0.1982778022486062,-0.2046699816778625
GFI,2021-03-10,9.56,9.57,9.54,9.56,92677,9.56,9.066108162235553,9.21855271622529,-0.1524445539897385,-0.20626802653517654
GFI,2021-03-10,9.56,9.57,9.54,9.56,92677,9.56,8.976309646278379,9.191236933523314,-0.2149272872449348,-0.21972389467153647
GFI,2021-02-25,8.54,8.58,8.52,8.56,209309,8.56,8.870184127419902,9.16173588820518,-0.2915517607852766,-0.22092304652818687
GFI,2021-02-24,8.47,8.48,8.45,8.47,98415,8.47,8.926581241496248,9.209874759261591,-0.2832935177653439,-0.20326586796391397
GFI,2021-02-23,8.78,8.79,8.74,8.74,51107,8.74,9.009596012677385,9.26906474000252,-0.2594687273251352,-0.18325895551355648
GFI,2021-02-22,8.66,8.67,8.61,8.66,169635,8.66,9.05861346952782,9.311389919202725,-0.2527764496749043,-0.16420651256066177
GFI,2021-02-19,8.55,8.56,8.53,8.55,131673,8.55,9.131088645805605,9.36350111273894,-0.2324124669333382,-0.14206402828210113
GFI,2021-02-18,8.64,8.66,8.63,8.65,43226,8.65,9.236741126861167,9.428581201758057,-0.1918400748968896,-0.11947691861929272
GFI,2021-02-17,8.86,8.9,8.825,8.83,93065,8.83,9.343421331745017,9.490867697898702,-0.1474463661536873,-0.10138612954989348
GFI,2021-02-16,9.25,9.26,9.225,9.255,85288,9.255,9.436770664789565,9.543737113730598,-0.1069664489410353,-0.08987107039894544
GFI,2021-02-16,9.25,9.26,9.225,9.255,85288,9.255,9.469819876569485,9.566836082829044,-0.0970162062595623,-0.0855972257634234
GFI,2021-02-12,9.35,9.37,9.3,9.3284,51118,9.3284,9.508878035945752,9.591782969455368,-0.0829049335096154,-0.08274248063938956
GFI,2021-02-11,9.59,9.64,9.59,9.635,63248,9.635,9.541692224299526,9.612853607011797,-0.0711613827122708,-0.08270186742183308
GFI,2021-02-10,9.86,9.875,9.8,9.8032,134216,9.8032,9.524727174172169,9.61108189557274,-0.0863547214005731,-0.08558698859922363
GFI,2021-02-09,9.5,9.5,9.435,9.44,53156,9.44,9.474095751294378,9.59571244721856,-0.1216166959241817,-0.08539505539888671
GFI,2021-02-08,9.59,9.63,9.5224,9.6268,51547,9.6268,9.480294978802448,9.608169442996044,-0.1278744641935976,-0.07633964526756294
GFI,2021-02-05,9.14,9.16,9.14,9.16,24596,9.16,9.453657702221074,9.60667899843573,-0.1530212962146553,-0.06345594053605472
GFI,2021-02-04,8.9,8.9,8.7799,8.78,135965,8.78,9.507050011715815,9.642413318310586,-0.1353633065947708,-0.04106460161640455
GFI,2021-02-03,9.2,9.24,9.18,9.22,42262,9.22,9.639240922936873,9.711406383775437,-0.072165460838562,-0.017489925371812983
GFI,2021-02-02,9.36,9.36,9.25,9.3,97048,9.3,9.715466545289033,9.750718894477467,-0.035252349188438,-0.003821041505125279
GFI,2021-02-01,9.61,9.66,9.6,9.64,127722,9.64,9.791005917159763,9.786776406035669,0.0042295111240964,0.004036785415702014
GFI,2021-01-29,10.02,10.04,9.98,10.03,198926,10.03,9.818461538461538,9.798518518518518,0.0199430199430192,0.003988603988603856
GFI,2021-01-28,9.79,9.8,9.77,9.78,25521,9.78,9.78,9.78,0.0,0.0
