Symbol,Date,Open,High,Low,Close,Volume,SNCR SMA,SNCR spanTwelveEMA,SNCR spanTwntySixEMA,SNCR_x,SNCR_y
SNCR,2021-04-06,3.63,3.63,3.63,3.63,2620,3.63,3.883702704992088,4.085273036090966,-0.2015703310988779,-0.18368562122409554
SNCR,2021-04-05,3.89,3.89,3.875,3.875,5502,3.875,3.929830469536104,4.121694878978243,-0.1918644094421391,-0.1792144437553999
SNCR,2021-04-05,3.89,3.89,3.875,3.875,5502,3.875,3.939799645815395,4.141430469296502,-0.2016308234811066,-0.1760519523337152
SNCR,2021-04-01,3.64,3.64,3.64,3.64,3321,3.64,3.9515813996000126,4.162744906840223,-0.2111635072402098,-0.16965723454686735
SNCR,2021-03-31,3.67,3.74,3.67,3.74,2385,3.74,4.008232563163651,4.20456449938744,-0.1963319362237889,-0.1592806663735315
SNCR,2021-03-30,3.74,3.78,3.74,3.78,4841,3.78,4.057002120102497,4.241729659338435,-0.1847275392359382,-0.15001784891096714
SNCR,2021-03-29,3.89,3.89,3.89,3.89,2114,3.89,4.107366141939314,4.27866803208551,-0.1713018901461955,-0.14134042632972435
SNCR,2021-03-26,3.93,3.99,3.93,3.99,1764,3.99,4.146887258655553,4.30976147465235,-0.1628742159967968,-0.13385006037560654
SNCR,2021-03-25,3.77,3.77,3.74,3.74,7667,3.74,4.175412214774745,4.335342392624538,-0.1599301778497928,-0.12659402147030893
SNCR,2021-03-24,4.02,4.02,4.02,4.02,2113,4.02,4.254578072006517,4.3829697840345005,-0.1283917120279838,-0.11825998237543796
SNCR,2021-03-23,4.08,4.08,4.08,4.08,2473,4.08,4.297228630553156,4.41200736675726,-0.1147787362041041,-0.11572704996230147
SNCR,2021-03-22,4.24,4.26,4.24,4.25,5034,4.25,4.336724745199184,4.438567956097841,-0.1018432108986564,-0.11596412840185079
SNCR,2021-03-19,4.24,4.28,4.24,4.28,136029,4.28,4.352492880689945,4.453653392585668,-0.1011605118957232,-0.11949435777764936
SNCR,2021-03-18,4.37,4.37,4.36,4.36,4187,4.36,4.365673404451753,4.467545663992521,-0.1018722595407677,-0.12407781924813086
SNCR,2021-03-17,4.22,4.22,4.22,4.22,17526,4.22,4.36670493253389,4.476149317111922,-0.1094443845780324,-0.12962920917497162
SNCR,2021-03-16,4.66,4.66,4.66,4.66,2680,4.66,4.39337855663096,4.4966412624808765,-0.1032627058499162,-0.1346754153242064
SNCR,2021-03-15,4.58,4.58,4.58,4.58,5077,4.58,4.344901930563862,4.483572563479346,-0.1386706329154847,-0.14252859269277893
SNCR,2021-03-12,4.53,4.53,4.53,4.53,4913,4.53,4.302156827030019,4.475858368557693,-0.1737015415276745,-0.14349308263710245
SNCR,2021-03-11,4.13,4.15,4.13,4.131,7780,4.131,4.260730795580932,4.471527038042309,-0.2107962424613774,-0.1359409679144594
SNCR,2021-03-10,4.04,4.045,4.0,4.045,8719,4.045,4.284318212959283,4.498769201085693,-0.2144509881264102,-0.11722714927773009
SNCR,2021-03-09,3.65,3.65,3.3,3.49,60816,3.49,4.327830615315516,4.535070737172549,-0.2072401218570325,-0.09292118956556003
SNCR,2021-03-08,4.01,4.1,4.01,4.1,5338,4.1,4.480163454463792,4.618676396146353,-0.1385129416825608,-0.06434145649269188
SNCR,2021-03-05,4.5419,4.5419,3.98,3.98,5190,3.98,4.549284082548119,4.660170507838061,-0.1108864252899426,-0.04579858519522465
SNCR,2021-03-04,4.34,4.445,4.34,4.445,10136,4.445,4.65279027937505,4.714584148465106,-0.0617938690900565,-0.029526625171545154
SNCR,2021-03-03,4.61,4.61,4.61,4.61,1564,4.61,4.690570330170513,4.736150880342315,-0.0455805501718016,-0.0214598141919173
SNCR,2021-03-02,4.6,4.6,4.6,4.6,984,4.6,4.705219481110606,4.7462429507697,-0.0410234696590938,-0.015429630196946216
SNCR,2021-03-01,4.5,4.52,4.5,4.51,2732,4.51,4.724350295857989,4.757942386831275,-0.0335920909732863,-0.0090311703314093
SNCR,2021-02-26,4.61,4.61,4.61,4.61,2236,4.61,4.763323076923077,4.777777777777778,-0.0144547008547002,-0.0028909401709400484
SNCR,2021-02-25,4.79,4.82,4.732,4.7912,14290,4.7912,4.7912,4.7912,0.0,0.0
