Symbol,Date,Open,High,Low,Close,Volume,EGLX SMA,EGLX spanTwelveEMA,EGLX spanTwntySixEMA,EGLX_x,EGLX_y
EGLX,2021-07-02,6.03,6.038,5.96,6.038,4229,6.038,5.9429506390485285,6.096057904893395,-0.1531072658448664,-0.2083204748511528
EGLX,2021-07-01,6.01,6.01,6.0,6.0,3854,6.0,5.925668937057352,6.100702537284866,-0.1750336002275148,-0.22212377710272435
EGLX,2021-06-30,6.0,6.07,5.98,6.0223,14766,6.0223,5.912154198340506,6.108758740267656,-0.19660454192715,-0.23389632132152693
EGLX,2021-06-29,6.22,6.25,6.16,6.25,41409,6.25,5.892127688947872,6.115675439489068,-0.2235477505411962,-0.24321926617012116
EGLX,2021-06-28,5.88,5.94,5.71,5.85,126092,5.85,5.827059996029303,6.104929474648193,-0.2778694786188902,-0.2481371450773526
EGLX,2021-06-25,5.63,5.666,5.61,5.61,3084,5.61,5.822889086216448,6.125323832620048,-0.3024347464036001,-0.24070406169196817
EGLX,2021-06-24,5.78,5.83,5.76,5.76,11675,5.76,5.861596192801257,6.166549739229652,-0.3049535464283943,-0.22527139051406017
EGLX,2021-06-23,5.6056,5.6199,5.5,5.5127,37833,5.5127,5.880068227856032,6.199073718368024,-0.3190054905119925,-0.20535085153547641
EGLX,2021-06-22,5.47,5.47,5.35,5.35,10798,5.35,5.946862451102582,6.253983615837466,-0.3071211647348839,-0.1769371917913476
EGLX,2021-06-21,5.55,5.55,5.43,5.46,9022,5.46,6.055382896757598,6.326302305104464,-0.2709194083468658,-0.14439119855546348
EGLX,2021-06-18,5.56,5.58,5.53,5.58,4254,5.58,6.163634332531706,6.39560648951282,-0.2319721569811141,-0.1127591461076129
EGLX,2021-06-17,5.62,5.73,5.55,5.67,6231,5.67,6.269749665719289,6.460855008673846,-0.1911053429545575,-0.08295589338923756
EGLX,2021-06-16,5.73,5.83,5.73,5.83,4821,5.83,6.378795059486432,6.524123409367754,-0.1453283498813222,-0.05591853099790758
EGLX,2021-06-15,6.05,6.1,6.02,6.02,41862,6.02,6.478575979393056,6.579653282117175,-0.1010773027241187,-0.0335660762770539
EGLX,2021-06-14,6.31,6.34,6.2601,6.2601,37780,6.2601,6.561953430191793,6.624425544686548,-0.0624721144947546,-0.016688269665287466
EGLX,2021-06-11,6.09,6.25,6.09,6.2,110185,6.2,6.616835872044846,6.653571588261471,-0.0367357162166248,-0.00524230845792067
EGLX,2021-06-10,6.5,6.64,6.5,6.6,38978,6.6,6.692624212416636,6.689857315322388,0.002766897094248,0.0026310434817553765
EGLX,2021-06-09,6.72,6.72,6.68,6.7086,1372,6.7086,6.70946497831057,6.697045900548178,0.0124190777623915,0.0025970800786322096
EGLX,2021-06-08,6.85,6.91,6.79,6.91,4330,6.91,6.70962224709431,6.696121572592032,0.0135006745022776,0.00014158065769236334
EGLX,2021-06-07,6.64,6.64,6.61,6.61,7776,6.61,6.6731899283841845,6.679011298399395,-0.0058213700152105,-0.0031981928034539595
EGLX,2021-06-04,6.45,6.5,6.44,6.5,2937,6.5,6.6846790062722174,6.684532202271347,0.0001468040008703,-0.002542398500514812
EGLX,2021-06-03,6.68,6.68,6.68,6.68,2679,6.68,6.718257007412621,6.699294778453054,0.018962228959567,-0.0032146991258610903
EGLX,2021-06-02,6.98,6.98,6.98,6.98,984,6.98,6.725212826942189,6.700838360729299,0.0243744662128904,-0.008758931147218114
EGLX,2021-06-01,6.88,6.88,6.88,6.88,2502,6.88,6.678887886386224,6.678505429587643,0.0003824567985803,-0.017042280487245244
EGLX,2021-06-01,6.88,6.88,6.88,6.88,2502,6.88,6.642322047547355,6.662385863954655,-0.0200638164073003,-0.021398464808701875
EGLX,2021-05-28,6.55,6.63,6.55,6.63,2193,6.63,6.5991078743741465,6.644976733071028,-0.0458688586968811,-0.021732126909052248
EGLX,2021-05-27,6.27,6.27,6.27,6.27,1722,6.27,6.593491124260355,6.64617487171671,-0.0526837474563546,-0.01569794396209501
EGLX,2021-05-26,6.62,6.62,6.5,6.5,4617,6.5,6.6523076923076925,6.676268861454047,-0.0239611691463546,-0.006451493088530108
EGLX,2021-05-25,6.54,6.57,6.54,6.57,1546,6.57,6.680000000000001,6.6903703703703705,-0.0103703703703699,-0.002074074074073984
EGLX,2021-05-24,6.7,6.7,6.7,6.7,1107,6.7,6.7,6.7,0.0,0.0
