Symbol,Date,Open,High,Low,Close,Volume,HBM SMA,HBM spanTwelveEMA,HBM spanTwntySixEMA,HBM_x,HBM_y
HBM,2021-07-02,6.7,6.76,6.67,6.68,32250,6.68,6.627712196135201,6.8092751668524905,-0.1815629707172892,-0.2208341547619896
HBM,2021-07-01,6.69,6.73,6.69,6.72,8983,6.72,6.618205322705237,6.81961718020069,-0.2014118574954526,-0.2306519507731647
HBM,2021-06-30,6.43,6.48,6.43,6.48,16005,6.48,6.599697199560735,6.827586554616746,-0.2278893550560106,-0.23796197409259268
HBM,2021-06-29,6.53,6.55,6.5,6.51,22726,6.51,6.6214603267535965,6.855393478986085,-0.2339331522324883,-0.2404801288517382
HBM,2021-06-28,6.72,6.72,6.6792,6.68,16797,6.68,6.641725840708796,6.883024957304972,-0.2412991165961759,-0.24211687300655063
HBM,2021-06-25,6.65,6.71,6.63,6.7099,42672,6.7099,6.6347669026558505,6.89926695388937,-0.2645000512335196,-0.2423213121091443
HBM,2021-06-24,6.62,6.67,6.6,6.6183,26166,6.6183,6.621106339502369,6.91441631020052,-0.293309970698151,-0.23677662732805044
HBM,2021-06-23,6.44,6.49,6.3999,6.46,91551,6.46,6.621616583048254,6.938105615016561,-0.3164890319683078,-0.22264329148552528
HBM,2021-06-22,6.24,6.25,6.21,6.23,21492,6.23,6.651001416329754,6.976354064217887,-0.325352647888133,-0.19918185636482963
HBM,2021-06-21,6.13,6.13,6.12,6.12,12854,6.12,6.727547128389709,7.036062389355318,-0.308515260965609,-0.16763915848400376
HBM,2021-06-18,6.11,6.11,6.04,6.07,22269,6.07,6.838010242642383,7.109347380503744,-0.2713371378613605,-0.13242013286360244
HBM,2021-06-17,6.43,6.43,6.3,6.35,142160,6.35,6.977648468577362,7.192495170944044,-0.2148467023666818,-0.09769088161416292
HBM,2021-06-16,6.51,6.51,6.37,6.45,64952,6.45,7.091766371955065,7.259894784619567,-0.1681284126645019,-0.06840192642603318
HBM,2021-06-15,6.82,6.83,6.74,6.75,46442,6.75,7.208451166855985,7.324686367389132,-0.116235200533147,-0.043470304866415996
HBM,2021-06-14,7.13,7.2,7.06,7.11,26880,7.11,7.291805924466165,7.370661276780263,-0.0788553523140977,-0.025279080949733225
HBM,2021-06-11,7.2,7.24,7.17,7.18,30737,7.18,7.324861547096377,7.391514178922685,-0.0666526318263072,-0.01188501310864208
HBM,2021-06-10,7.05,7.07,6.97,7.0,47445,7.0,7.35120001020481,7.4084353132365,-0.0572353030316898,0.001806891570774202
HBM,2021-06-09,7.11,7.11,6.97,7.08,58608,7.08,7.415054557514775,7.44111013829542,-0.0260555807806444,0.016567440221390225
HBM,2021-06-08,7.25,7.26,7.11,7.18,39876,7.18,7.475973567972007,7.469998949359053,0.0059746186129538,0.027223195471898883
HBM,2021-06-07,7.49,7.52,7.46,7.47,32001,7.47,7.529786943966918,7.493198865307777,0.0365880786591406,0.03253533968663513
HBM,2021-06-04,7.5,7.61,7.5,7.61,16878,7.61,7.540657297415448,7.4950547745324,0.0456025228830485,0.031522154943508754
HBM,2021-06-03,7.42,7.42,7.2427,7.28,151053,7.28,7.528049533309167,7.485859156494992,0.0421903768141751,0.0280020629586238
HBM,2021-06-02,7.78,7.782,7.7,7.77,39349,7.77,7.573149448456288,7.502327889014591,0.0708215594416969,0.02445498449473596
HBM,2021-06-01,7.68,7.82,7.68,7.81,29010,7.81,7.537358439084704,7.480914120135758,0.0564443189489463,0.012863340757995698
HBM,2021-06-01,7.68,7.82,7.68,7.81,29010,7.81,7.487787246191013,7.454587249746618,0.0331999964443952,0.0019680962102580453
HBM,2021-05-28,7.75,7.77,7.63,7.63,47371,7.63,7.429203109134834,7.426154229726348,0.0030488794084861,-0.005839878848276242
HBM,2021-05-27,7.42,7.5,7.42,7.47,29707,7.47,7.392694583522986,7.409846568104456,-0.0171519845814698,-0.008062068412466851
HBM,2021-05-26,7.18,7.19,7.06,7.13,59443,7.13,7.378639053254438,7.405034293552812,-0.026395240298374,-0.005789589370216106
HBM,2021-05-25,7.42,7.42,7.37,7.39,11305,7.39,7.423846153846154,7.427037037037037,-0.0031908831908831,-0.0006381766381766241
HBM,2021-05-24,7.4,7.43,7.4,7.43,10489,7.43,7.43,7.43,0.0,0.0
