Symbol,Date,Open,High,Low,Close,Volume,SPPI SMA,SPPI spanTwelveEMA,SPPI spanTwntySixEMA,SPPI_x,SPPI_y
SPPI,2021-06-17,4.22,4.245,4.22,4.24,21510,4.24,4.130309605385243,3.829603915573008,0.3007056898122346,0.27394862183098767
SPPI,2021-06-16,4.22,4.25,4.22,4.23,37767,4.23,4.110365897273469,3.796772228818849,0.3135936684546201,0.2672593548356759
SPPI,2021-06-15,4.42,4.42,4.39,4.4,24594,4.4,4.088614242232281,3.762114007124356,0.3265002351079249,0.25567577643093997
SPPI,2021-06-14,4.44,4.45,4.4336,4.4418,58051,4.4418,4.031998649910878,3.711083127694305,0.3209155222165729,0.23796966176169376
SPPI,2021-06-11,4.4,4.42,4.38,4.38,23656,4.38,3.957489313531037,3.6526257779098494,0.3048635356211879,0.21723319664797397
SPPI,2021-06-10,4.38,4.42,4.37,4.42,64105,4.42,3.8806691887184983,3.594435840142637,0.2862333485758612,0.19532561190467057
SPPI,2021-06-09,4.2149,4.26,4.2144,4.245,27870,4.245,3.782609041212771,3.5283907073540486,0.2542183338587223,0.17259867773687287
SPPI,2021-06-08,4.32,4.34,4.31,4.32,58979,4.32,3.698537957796911,3.4710619639423728,0.2274759938545383,0.1521937637064105
SPPI,2021-06-07,3.8568,3.88,3.85,3.8501,42307,3.8501,3.585544859214531,3.4031469210577625,0.1823979381567686,0.13337320616937853
SPPI,2021-06-04,3.85,3.8582,3.8,3.81,35331,3.81,3.537443924526264,3.367390674742384,0.1700532497838804,0.12111702317253098
SPPI,2021-06-03,3.85,3.85,3.84,3.84,49023,3.84,3.4878882744401305,3.331981928721774,0.1559063457183565,0.1088829665196937
SPPI,2021-06-02,3.75,3.79,3.69,3.69,74896,3.69,3.4238679607019726,3.291340483019516,0.1325274776824567,0.097127121720028
SPPI,2021-06-01,3.59,3.59,3.52,3.568,95220,3.568,3.3754803171932406,3.259447721661077,0.1160325955321637,0.0882770327294208
SPPI,2021-06-01,3.59,3.59,3.52,3.568,95220,3.568,3.3404767385011023,3.234763539393963,0.1057131991071393,0.08133814202873507
SPPI,2021-05-28,3.4964,3.4964,3.48,3.4808,26012,3.4808,3.29910887277403,3.20810462254548,0.0910042502285497,0.07524437775913399
SPPI,2021-05-27,3.3,3.32,3.2832,3.32,61705,3.32,3.266074122369308,3.1862889923491187,0.079785130020189,0.07130440964178004
SPPI,2021-05-26,3.25,3.28,3.25,3.28,15637,3.28,3.2562694173455458,3.175592111737048,0.0806773056084977,0.06918422954717768
SPPI,2021-05-25,3.21,3.239,3.21,3.21,32467,3.21,3.2519547659538266,3.167239480676012,0.0847152852778148,0.06631096053184767
SPPI,2021-05-24,3.38,3.389,3.36,3.36,28798,3.36,3.259582905218158,3.163818639130093,0.0957642660880657,0.06170987934535588
SPPI,2021-05-21,3.45,3.45,3.41,3.42,27480,3.42,3.2413252516214603,3.1481241302605003,0.09320112136096,0.05319628265967852
SPPI,2021-05-20,3.33,3.35,3.33,3.33,20291,3.33,3.2088389337344534,3.12637406068134,0.0824648730531132,0.04319507298435814
SPPI,2021-05-19,3.3352,3.43,3.3,3.3401,59908,3.3401,3.1868096489588997,3.1100839855358475,0.0767256634230517,0.03337762296716937
SPPI,2021-05-18,3.45,3.51,3.45,3.4792,64509,3.4792,3.158938676042336,3.0916827043787154,0.0672559716636205,0.02254061285319866
SPPI,2021-05-17,3.4764,3.4764,3.41,3.425,90172,3.425,3.1007093444136697,3.060681320729013,0.0400280236846568,0.011361773150593195
SPPI,2021-05-14,3.07,3.08,3.0178,3.02,50933,3.02,3.041747407034337,3.031535826387334,0.0102115806470028,0.004195210517077278
SPPI,2021-05-13,3.2173,3.2332,3.17,3.18,39337,3.18,3.04570148104058,3.032458692498321,0.0132427885422594,0.0026911179845958743
SPPI,2021-05-12,3.08,3.08,3.06,3.07,15402,3.07,3.021283568502504,3.020655387898186,0.0006281806043175,5.3200345180087576e-05
SPPI,2021-05-11,2.95,2.95,2.91,2.92,46460,2.92,3.012426035502959,3.016707818930041,-0.004281783427082,-9.054471960439508e-05
SPPI,2021-05-10,3.1,3.12,3.08,3.08,54716,3.08,3.0292307692307694,3.0244444444444443,0.0047863247863251,0.0009572649572650249
SPPI,2021-05-07,3.02,3.04,3.0009,3.02,25607,3.02,3.02,3.02,0.0,0.0
