Symbol,Date,Open,High,Low,Close,Volume,LCTX SMA,LCTX spanTwelveEMA,LCTX spanTwntySixEMA,LCTX_x,LCTX_y
LCTX,2021-06-17,2.85,2.86,2.8,2.8,85124,2.8,2.806176755302125,2.725913027883042,0.0802637274190836,0.05812082485609851
LCTX,2021-06-16,2.9,2.9,2.9,2.9,8967,2.9,2.8072998017206943,2.719986070113685,0.0873137316070087,0.05258509921535234
LCTX,2021-06-15,2.98,2.98,2.95,2.9689,14165,2.9689,2.790445220215366,2.7055849557227805,0.0848602644925855,0.04390294111743814
LCTX,2021-06-14,2.89,2.9,2.88,2.9,44204,2.9,2.75799889661816,2.6845197521806026,0.0734791444375573,0.03366361027365129
LCTX,2021-06-11,2.84,2.84,2.82,2.82,5309,2.82,2.732180514185098,2.6672813323550506,0.0648991818300475,0.02370972673267479
LCTX,2021-06-10,2.81,2.81,2.81,2.81,29087,2.81,2.716213334946025,2.655063838943455,0.06114949600257,0.01341236295833161
LCTX,2021-06-09,2.76,2.799,2.76,2.78,24463,2.78,2.6991612140271206,2.642668946058932,0.0564922679681889,0.001478079697272006
LCTX,2021-06-08,2.87,2.899,2.86,2.86,9423,2.86,2.6844632529411427,2.631682461743646,0.0527807911974966,-0.012275467370457122
LCTX,2021-06-07,2.82,2.8288,2.81,2.8288,27145,2.8288,2.652547480748624,2.6134170586831376,0.0391304220654857,-0.028539532012445572
LCTX,2021-06-04,2.85,2.85,2.844,2.844,22487,2.844,2.620501568157464,2.5961864233777883,0.0243151447796758,-0.04545702053192852
LCTX,2021-06-03,2.73,2.735,2.7201,2.723,22083,2.723,2.5798654896406394,2.576361337248012,0.0035041523926278,-0.06290006185982962
LCTX,2021-06-02,3.0,3.0,2.981,2.985,76679,2.985,2.553841033211665,2.564630244227853,-0.0107892110161875,-0.07950111542294386
LCTX,2021-06-01,2.64,2.659,2.64,2.6423,72157,2.6423,2.4754484937956045,2.531000663766081,-0.0555521699704764,-0.09667909152463282
LCTX,2021-06-01,2.64,2.659,2.64,2.6423,72157,2.6423,2.445111856303896,2.522096716867367,-0.076984860563471,-0.10696082191317191
LCTX,2021-05-28,2.42,2.42,2.4139,2.4139,6067,2.4139,2.409259466540968,2.5124804542167563,-0.1032209876757881,-0.1144548122505971
LCTX,2021-05-27,2.36,2.4,2.36,2.4,11397,2.4,2.4084157331847806,2.520366890554097,-0.1119511573693161,-0.11726326839429933
LCTX,2021-05-26,2.32,2.32,2.32,2.32,5623,2.32,2.4099458664911046,2.5299962417984245,-0.1200503753073198,-0.11859129615054512
LCTX,2021-05-25,2.43,2.43,2.43,2.43,3926,2.43,2.4262996603985783,2.5467959411422982,-0.1204962807437199,-0.11822652636135142
LCTX,2021-05-24,2.42,2.42,2.42,2.42,6057,2.42,2.425626871380138,2.556139616433682,-0.1305127450535437,-0.11765908776575926
LCTX,2021-05-21,2.38,2.38,2.38,2.38,1526,2.38,2.4266499389038,2.567030785748376,-0.1403808468445762,-0.11444567344381314
LCTX,2021-05-20,2.34,2.34,2.34,2.34,1927,2.34,2.435131745977218,2.581993248608246,-0.1468615026310282,-0.10796188009362236
LCTX,2021-05-19,2.24,2.25,2.23,2.25,10025,2.25,2.452428427063985,2.601352708496906,-0.148924281432921,-0.09823697445927088
LCTX,2021-05-18,2.35,2.36,2.35,2.35,7511,2.35,2.489233595621073,2.6294609251766583,-0.1402273295555853,-0.08556514771585833
LCTX,2021-05-17,2.22,2.2301,2.22,2.2301,11588,2.2301,2.514548794824904,2.6518177991907907,-0.1372690043658866,-0.07189960225592655
LCTX,2021-05-14,2.3,2.31,2.26,2.27,33100,2.27,2.5662667575203413,2.685555223126054,-0.1192884656057127,-0.055557251728436535
LCTX,2021-05-13,2.3,2.35,2.3,2.35,12521,2.35,2.620133440705858,2.7187996409761386,-0.0986662002702805,-0.03962444825911749
LCTX,2021-05-12,2.36,2.36,2.33,2.33,8237,2.33,2.6692486117432868,2.748303612254229,-0.0790550005109427,-0.024864010256326733
LCTX,2021-05-11,2.34,2.36,2.26,2.2622,78206,2.2622,2.7309301775147934,2.781767901234568,-0.0508377237197743,-0.011316262692672848
LCTX,2021-05-10,2.72,2.74,2.71,2.74,16603,2.74,2.8161538461538465,2.8233333333333333,-0.0071794871794867,-0.0014358974358973599
LCTX,2021-05-07,2.85,2.85,2.807,2.83,11772,2.83,2.83,2.83,0.0,0.0
