Symbol,Date,Open,High,Low,Close,Volume,SESN SMA,SESN spanTwelveEMA,SESN spanTwntySixEMA,SESN_x,SESN_y
SESN,2021-06-17,4.26,4.27,4.2295,4.2611,67151,4.2611,3.997664517169662,3.59996604285128,0.3976984743183824,0.3619729769271361
SESN,2021-06-16,4.16,4.168,4.15,4.16,64915,4.16,3.949767156655055,3.5470753262793817,0.4026918303756734,0.3530416025793246
SESN,2021-06-15,4.29,4.29,4.2615,4.2695,28855,4.2695,3.9115430033196095,3.4980413523817324,0.4135016509378779,0.3406290456302373
SESN,2021-06-14,4.35,4.37,4.3,4.33,176703,4.33,3.846459913014085,3.4363246605722706,0.4101352524418145,0.3224108943033273
SESN,2021-06-11,4.279,4.279,4.22,4.22,42041,4.22,3.7585435335621007,3.3648306334180527,0.393712900144048,0.3004798047687055
SESN,2021-06-10,4.19,4.22,4.17,4.17,43520,4.17,3.67464235784612,3.296417084091497,0.3782252737546225,0.27717153092486985
SESN,2021-06-09,4.17,4.18,4.14,4.14,107186,4.14,3.5845773319999594,3.226530450818817,0.3580468811811426,0.25190809521743157
SESN,2021-06-08,3.9971,4.04,3.9971,4.02,47357,4.02,3.483591392363588,3.153452886884322,0.3301385054792658,0.2253733987265038
SESN,2021-06-07,3.81,3.85,3.81,3.85,85575,3.85,3.386062554611513,3.084129117835068,0.3019334367764452,0.19918212203831326
SESN,2021-06-04,3.74,3.75,3.73,3.75,30396,3.75,3.301710291813606,3.0228594472618733,0.2788508445517328,0.17349429335378025
SESN,2021-06-03,3.61,3.61,3.585,3.6074,71202,3.6074,3.2202030721433523,2.964688203042823,0.2555148691005291,0.1471551555542921
SESN,2021-06-02,3.9,3.93,3.88,3.88,83529,3.88,3.149803630714871,2.9132712592862493,0.2365323714286216,0.12006522716773281
SESN,2021-06-01,3.47,3.475,3.44,3.455,116527,3.455,3.0170406544812107,2.835932960029149,0.1811076944520615,0.09094844110251062
SESN,2021-06-01,3.47,3.475,3.44,3.455,116527,3.455,2.937411682568704,2.7864075968314808,0.151004085737223,0.06840862776512288
SESN,2021-05-28,3.2,3.2,3.14,3.14,64387,3.14,2.8433047157630136,2.732920204577999,0.1103845111850145,0.04775976327209773
SESN,2021-05-27,2.9812,3.01,2.9812,3.0001,29101,3.0001,2.789360118629016,2.700353820944239,0.0890062976847771,0.032103576293868515
SESN,2021-05-26,2.95,2.9639,2.95,2.955,40736,2.955,2.7510437765615645,2.676374126619778,0.0746696499417867,0.01787789594614145
SESN,2021-05-25,2.92,2.929,2.91,2.9217,19087,2.9217,2.7139608268454856,2.65408405674936,0.0598767700961255,0.003679957447230134
SESN,2021-05-24,2.97,2.98,2.97,2.98,14106,2.98,2.6761900680901194,2.632674781289309,0.0435152868008104,-0.010369245714993727
SESN,2021-05-21,2.95,2.95,2.91,2.91,55816,2.91,2.620951898651959,2.6048887637924536,0.0160631348595052,-0.023840378843944757
SESN,2021-05-20,2.83,2.84,2.83,2.8385,17058,2.8385,2.5683976984068604,2.58047986489585,-0.0120821664889896,-0.03381625726980726
SESN,2021-05-19,2.6,2.6,2.54,2.57,63538,2.57,2.5192881890262897,2.559838254087518,-0.0405500650612284,-0.039249779965011666
SESN,2021-05-18,2.69,2.69,2.65,2.673,34154,2.673,2.5100678597583426,2.5590253144145194,-0.0489574546561768,-0.03892470869095746
SESN,2021-05-17,2.34,2.35,2.34,2.35,14061,2.35,2.48044383425986,2.549907339567681,-0.0694635053078216,-0.03641652219965261
SESN,2021-05-14,2.3,2.32,2.3,2.31,30949,2.31,2.50416089503438,2.565899926733096,-0.0617390316987163,-0.028154776422610567
SESN,2021-05-13,2.4,2.47,2.4,2.4425,11713,2.4425,2.539462875949721,2.5863719208717435,-0.0469090449220219,-0.019758712603584243
SESN,2021-05-12,2.4,2.4557,2.4,2.435,29242,2.435,2.557092489758762,2.5978816745414828,-0.0407891847827208,-0.012971129523974697
SESN,2021-05-11,2.25,2.28,2.225,2.225,128439,2.225,2.579291124260355,2.6109122085048013,-0.0316210842444464,-0.006016615709288154
SESN,2021-05-10,2.68,2.7,2.63,2.6641,77608,2.6641,2.643707692307692,2.641785185185185,0.0019225071225066,0.00038450142450141556
SESN,2021-05-07,2.645,2.65,2.64,2.64,24574,2.64,2.64,2.64,0.0,0.0
