Symbol,Date,Open,High,Low,Close,Volume,EVOK SMA_x,EVOK SMA_y,EVOK SMA_x,EVOK SMA_y
EVOK,2020-06-22,4.53,5.0,4.14,4.1999,10880317,4.1999,4.1999,4.1999,4.1999
EVOK,2020-06-19,2.43,2.44,2.32,2.34,232666,2.34,2.34,2.34,2.34
EVOK,2020-06-18,2.4,2.4319,2.36,2.4,139218,2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004
EVOK,2020-06-17,2.5,2.53,2.35,2.4301,199962,2.4301,2.4301,2.4301,2.4301
EVOK,2020-06-16,2.8,2.8,2.65,2.7011,212067,2.7011,2.7011,2.7011,2.7011
EVOK,2020-06-15,2.5,2.63,2.43,2.5980000000000003,228339,2.5980000000000003,2.5980000000000003,2.5980000000000003,2.5980000000000003
EVOK,2020-06-12,2.39,2.44,2.35,2.4201,96667,2.4201,2.4201,2.4201,2.4201
EVOK,2020-06-11,2.45,2.45,2.1,2.35,217299,2.35,2.35,2.35,2.35
EVOK,2020-06-10,2.52,2.59,2.48,2.5599,164336,2.5599000000000003,2.5599000000000003,2.5599000000000003,2.5599000000000003
EVOK,2020-06-09,2.62,2.63,2.5,2.56,134558,2.5600000000000005,2.5600000000000005,2.5600000000000005,2.5600000000000005
EVOK,2020-06-08,2.69,2.7,2.55,2.585,266472,2.5850000000000004,2.5850000000000004,2.5850000000000004,2.5850000000000004
EVOK,2020-06-05,2.33,2.3807,2.27,2.32,140083,2.3200000000000003,2.3200000000000003,2.3200000000000003,2.3200000000000003
EVOK,2020-06-04,2.38,2.4,2.31,2.3283,68177,2.328300000000001,2.328300000000001,2.328300000000001,2.328300000000001
EVOK,2020-06-03,2.39,2.4,2.32,2.335,55067,2.3350000000000013,2.3350000000000013,2.3350000000000013,2.3350000000000013
EVOK,2020-06-02,2.34,2.4,2.31,2.36,59340,2.3600000000000008,2.3600000000000008,2.3600000000000008,2.360000000000001
EVOK,2020-06-01,2.47,2.49,2.41,2.44,60954,2.440000000000001,2.440000000000001,2.440000000000001,2.440000000000001
EVOK,2020-05-29,2.53,2.53,2.43,2.4401,96668,2.4401000000000006,2.4401000000000006,2.4401000000000006,2.4401000000000006
EVOK,2020-05-28,2.59,2.6,2.5,2.52,41306,2.5200000000000005,2.5200000000000005,2.5200000000000005,2.5200000000000005
EVOK,2020-05-27,2.65,2.69,2.4,2.44,332066,2.440000000000001,2.440000000000001,2.440000000000001,2.440000000000001
EVOK,2020-05-26,2.5,2.65,2.45,2.6,348752,2.600000000000001,2.600000000000001,2.600000000000001,2.600000000000001
EVOK,2020-05-26,2.5,2.65,2.45,2.6,348752,2.600000000000001,2.600000000000001,2.600000000000001,2.600000000000001
EVOK,2020-05-22,2.01,2.0699,1.98,2.0573,73643,2.057300000000001,2.057300000000001,2.057300000000001,2.057300000000001
EVOK,2020-05-21,2.08,2.1199,2.0,2.01,111445,2.0100000000000007,2.0100000000000007,2.0100000000000007,2.010000000000001
EVOK,2020-05-20,1.84,2.09,1.8,1.9146,568859,1.9146000000000007,1.9146000000000007,1.9146000000000012,1.9146000000000014
EVOK,2020-05-19,1.71,1.83,1.71,1.7743,252380,1.7743000000000009,1.7743000000000009,1.7743000000000009,1.774300000000001
EVOK,2020-05-18,1.52,1.57,1.5,1.5578,154730,1.5578000000000014,1.5578000000000014,1.5578000000000014,1.5578000000000014
EVOK,2020-05-15,1.42,1.44,1.38,1.39,5213,1.3900000000000012,1.3900000000000012,1.3900000000000012,1.3900000000000012
