Symbol,Date,Open,High,Low,Close,Volume,AIV SMA,AIV spanTwelveEMA,AIV spanTwntySixEMA,AIV_x,AIV_y
AIV,2021-02-24,5.0,5.035,4.97,5.01,320457,5.01,4.882944996950943,4.8527756770532315,0.03016931989771177,0.02181615920819865
AIV,2021-02-23,4.84,4.88,4.825,4.88,514541,4.880000000000001,4.859844087305661,4.840197731217491,0.019646356088170336,0.01972786903582037
AIV,2021-02-22,4.84,4.88,4.83,4.84,289720,4.840000000000002,4.856179375906692,4.8370135497148885,0.01916582619180129,0.019748247272732875
AIV,2021-02-19,4.82,4.84,4.76,4.8,371796,4.800000000000002,4.859121080616998,4.836774633692079,0.02234644692491816,0.019893852542965322
AIV,2021-02-18,4.9,4.94,4.88,4.905,257938,4.905000000000002,4.869870368001908,4.839716604387447,0.03015376361445998,0.01928070394747689
AIV,2021-02-17,4.89,4.9,4.8317,4.859,203566,4.859000000000003,4.863483162184072,4.834493932738444,0.02898922944562798,0.016562439030730892
AIV,2021-02-16,4.92,4.945,4.88,4.9009,564556,4.900900000000002,4.864298282581175,4.832533447357519,0.03176483522365636,0.013455741427006618
AIV,2021-02-16,4.92,4.945,4.88,4.9009,564556,4.900900000000002,4.8576434248686615,4.827064123146121,0.030579301722540638,0.008878467977844182
AIV,2021-02-12,4.85,4.91,4.84,4.8799,429826,4.879900000000003,4.8497785930266,4.8211572529978115,0.028621340028789355,0.0034532595416700666
AIV,2021-02-11,4.92,4.945,4.87,4.9417,357295,4.941700000000004,4.844301973576892,4.816457833237635,0.027844140339255752,-0.0028387605801095343
AIV,2021-02-10,4.91,4.96,4.9,4.955,634992,4.955000000000003,4.826593241499962,4.806438459896647,0.020154781603316074,-0.010509485809951077
AIV,2021-02-09,4.9,4.94,4.86,4.93,293294,4.9300000000000015,4.803246558136318,4.794553536688378,0.008693021447940373,-0.018175552663267643
AIV,2021-02-08,4.88,4.9,4.86,4.885,350049,4.885000000000002,4.780200477797466,4.783717819623448,-0.0035173418259812905,-0.024892696191069645
AIV,2021-02-05,4.87,4.88,4.7658,4.81,1225700,4.8100000000000005,4.761146019215189,4.7756152451933245,-0.014469225978135825,-0.030236534782341513
AIV,2021-02-04,4.82,4.92,4.8,4.855,553430,4.855000000000001,4.7522634772543135,4.772864464808792,-0.020600987554477257,-0.034178361983392934
AIV,2021-02-03,4.86,4.89,4.82,4.85,346403,4.850000000000001,4.733584109482371,4.766293621993494,-0.032709512511122966,-0.03757270559062163
AIV,2021-02-02,4.75,4.825,4.68,4.78,484457,4.780000000000003,4.712417583933712,4.7595971117529725,-0.047179527819261935,-0.038788503860496294
AIV,2021-02-01,4.64,4.66,4.5599,4.595,608269,4.595000000000003,4.700129871921659,4.757964880693212,-0.05783500877155313,-0.036690747870805326
AIV,2021-01-29,4.73,4.73,4.5,4.59,868438,4.5900000000000025,4.719244394089233,4.771002071148669,-0.05175767705943635,-0.03140468264561838
AIV,2021-01-28,4.6,4.69,4.6,4.655,479122,4.655000000000003,4.74274337483273,4.785482236840563,-0.042738862007833056,-0.026316434042163883
AIV,2021-01-27,4.69,4.69,4.61,4.63,568867,4.6300000000000034,4.75869671571141,4.795920815787809,-0.03722410007639887,-0.022210827050746586
AIV,2021-01-26,4.81,4.86,4.7721,4.82,427725,4.820000000000003,4.782096118568028,4.809194481050833,-0.027098362482803395,-0.018457508794333513
AIV,2021-01-25,4.81,4.825,4.68,4.71,430520,4.710000000000003,4.775204503762216,4.8083300395349005,-0.03312553577268318,-0.01629729537221582
AIV,2021-01-22,4.75,4.76,4.66,4.675,816415,4.675000000000002,4.787059868082619,4.816196442697692,-0.029136574615072238,-0.012090235272098758
AIV,2021-01-21,4.8,4.8,4.71,4.735,484001,4.735000000000002,4.807434389552187,4.827492158113507,-0.02005776856131991,-0.007828650436355163
AIV,2021-01-20,4.94,4.94,4.74,4.75,1031452,4.750000000000003,4.8206042785616745,4.8348915307625875,-0.014287252200912091,-0.0047713709051139756
AIV,2021-01-19,4.87,4.895,4.78,4.7917,499862,4.791700000000001,4.833441420118342,4.841682853223594,-0.008241433105251161,-0.0023924005811642246
AIV,2021-01-19,4.87,4.895,4.78,4.7917,499862,4.791700000000001,4.841030769230769,4.845681481481481,-0.004650712250712452,-0.0009301424501424905
AIV,2021-01-15,4.91,4.92,4.82,4.85,647558,4.8500000000000005,4.85,4.85,0.0,0.0
