Symbol,Date,Open,High,Low,Close,Volume,BKCC SMA,BKCC spanTwelveEMA,BKCC spanTwntySixEMA,BKCC_x,BKCC_y
BKCC,2021-02-24,3.35,3.43,3.35,3.39,42689,3.39,3.2548770857745817,3.152461752181553,0.10241533359302846,0.10428214473099702
BKCC,2021-02-23,3.36,3.4,3.25,3.28,130124,3.28,3.2303092831881424,3.133458692356077,0.09685059083206447,0.10474884751548905
BKCC,2021-02-22,3.3,3.38,3.3,3.36,48255,3.36,3.221274607404168,3.121735387744564,0.09953921965960387,0.10672341168634497
BKCC,2021-02-19,3.32,3.3434,3.26,3.27,46270,3.27,3.19605180875038,3.1026742187641285,0.0933775899862508,0.10851945969303024
BKCC,2021-02-18,3.21,3.21,3.1955,3.2028,23594,3.2027999999999994,3.1826066830686313,3.0892881562652588,0.0933185268033716,0.11230492711972487
BKCC,2021-02-17,3.15,3.175,3.15,3.175,10615,3.174999999999999,3.1789351708992912,3.08020720876648,0.098727962132811,0.11705152719881297
BKCC,2021-02-16,3.2,3.2,3.16,3.1728,66762,3.1728,3.1796506565173437,3.0726237854677985,0.10702687104954567,0.12163241846531334
BKCC,2021-02-16,3.2,3.2,3.16,3.1728,66762,3.1727999999999987,3.1808962304295885,3.0646096883052225,0.11628654212436595,0.12528380531925537
BKCC,2021-02-12,3.18,3.2,3.1614,3.17,24788,3.1699999999999986,3.1823682723258773,3.0559544633696403,0.126413808956237,0.1275331211179777
BKCC,2021-02-11,3.17,3.205,3.14,3.2007,26566,3.2006999999999985,3.1846170491124006,3.046830820439212,0.13778622867318902,0.12781294915841288
BKCC,2021-02-10,3.2,3.235,3.19,3.19,48546,3.1899999999999986,3.181692876223746,3.034521286074349,0.14717159014939707,0.12531962927971896
BKCC,2021-02-09,3.36,3.36,3.28,3.33,38301,3.33,3.180182490082609,3.022082988960297,0.15809950112231208,0.11985663906229943
BKCC,2021-02-08,3.4,3.42,3.38,3.38,64948,3.379999999999999,3.1529429428249016,2.997449628077121,0.15549331474778105,0.11029592354729624
BKCC,2021-02-05,3.37,3.44,3.37,3.37,39657,3.3699999999999988,3.1116598415203383,2.96684559832329,0.1448142431970476,0.09899657574717513
BKCC,2021-02-04,3.28,3.35,3.28,3.34,72434,3.339999999999999,3.064688903614945,2.934593246189154,0.13009565742579102,0.0875421588847069
BKCC,2021-02-03,3.19,3.2396,3.19,3.21,33633,3.209999999999998,3.0146323406358437,2.9021607058842864,0.11247163475155776,0.07690378424943588
BKCC,2021-02-02,3.15,3.17,3.1101,3.1581,25954,3.1580999999999992,2.9791109480241795,2.8775335623550293,0.1015773856691502,0.06801182162390551
BKCC,2021-02-01,3.0,3.06,3.0,3.0,48558,2.9999999999999987,2.946567484028576,2.855088247343432,0.09147923668514403,0.05962043061259434
BKCC,2021-01-29,3.19,3.19,3.13,3.15,38270,3.1499999999999986,2.936852481124681,2.8434953071309064,0.0933571739937742,0.05165572909445691
BKCC,2021-01-28,3.05,3.07,3.05,3.07,49898,3.069999999999999,2.8980983867837136,2.8189749317013786,0.07912345508233498,0.041230367869627485
BKCC,2021-01-27,3.05,3.08,3.05,3.0598,73065,3.0598,2.8668435480171164,2.798892926237489,0.06795062177962707,0.03175709606645061
BKCC,2021-01-26,3.03,3.06,3.0,3.04,36479,3.04,2.8317605567475006,2.7780203603364884,0.053740196411012235,0.02270871463815638
BKCC,2021-01-25,2.89,2.9058,2.88,2.905,16906,2.905,2.793898839792501,2.7570619891634074,0.03683685062909348,0.014950844194942409
BKCC,2021-01-22,2.91,2.91,2.88,2.9,42165,2.9,2.7736986288456835,2.74522694829648,0.028471680549202905,0.009479342586404642
BKCC,2021-01-21,2.79,2.9399,2.76,2.91,201341,2.9100000000000006,2.750734743181261,2.7328451041601984,0.017889639021062997,0.004731258095704965
BKCC,2021-01-20,2.68,2.72,2.68,2.72,22252,2.7200000000000006,2.721777423759673,2.7186727124930146,0.003104711266658011,0.0014416628643655685
BKCC,2021-01-19,2.75,2.75,2.72,2.74,83866,2.7400000000000007,2.7221005917159764,2.718566529492456,0.0035340622235207064,0.0010259007637923468
BKCC,2021-01-19,2.75,2.75,2.72,2.74,83866,2.74,2.7188461538461537,2.716851851851852,0.001994301994301839,0.00039886039886036787
BKCC,2021-01-15,2.72,2.75,2.7037,2.715,18355,2.715,2.715,2.715,0.0,0.0
