Symbol,Date,Open,High,Low,Close,Volume,TLSA SMA,TLSA spanTwelveEMA,TLSA spanTwntySixEMA,TLSA_x,TLSA_y
TLSA,2021-02-24,3.05,3.25,3.036,3.19,30168,3.19,3.671703211068957,3.746274481872829,-0.07457127080387194,0.05467466261963012
TLSA,2021-02-23,3.24,3.2799,2.7,2.9101,271808,2.9100999999999995,3.7592856130814942,3.790776440422655,-0.03149082734116071,0.08698614597550564
TLSA,2021-02-22,3.72,3.72,3.5505,3.698,48485,3.698,3.9136829972781295,3.861230555656467,0.05245244162166207,0.11660538930467221
TLSA,2021-02-19,3.82,3.82,3.74,3.78,38764,3.78,3.9528980876923354,3.874289000108985,0.07860908758334961,0.1326436262254246
TLSA,2021-02-18,3.95,3.97,3.9,3.92,74296,3.92,3.984334103636396,3.8818321201177035,0.10250198351869157,0.14615226088594313
TLSA,2021-02-17,3.99,3.99,3.87,3.97,41269,3.97,3.9960312133884672,3.87877868972712,0.11725252366134685,0.1570648302277558
TLSA,2021-02-16,4.04,4.05,3.84,3.94,79796,3.94,4.00076416127728,3.87148098490529,0.12928317637198994,0.1670179068693579
TLSA,2021-02-16,4.04,4.05,3.84,3.94,79796,3.94,4.011812190600422,3.8659994636977126,0.14581272690270894,0.17645158949369988
TLSA,2021-02-12,4.02,4.07,3.86,4.0412,129506,4.0412,4.024868952527772,3.8600794207935296,0.16478953173424138,0.18411130514144758
TLSA,2021-02-11,4.09,4.1,3.98,3.98,77814,3.98,4.0218996711691855,3.845589774457012,0.1763098967121728,0.1889417484932489
TLSA,2021-02-10,4.19,4.22,4.12,4.1501,140490,4.1501,4.029517793199945,3.834836956413573,0.1946808367863726,0.1920997114385177
TLSA,2021-02-09,3.98,4.14,3.9619999999999997,4.08,80140,4.08,4.0075937555999355,3.809615912926658,0.19797784267327634,0.19145443010155408
TLSA,2021-02-08,4.08,4.09,3.9,4.04,199292,4.040000000000001,3.994428983890832,3.787985185960791,0.2064437979300413,0.18982357695862315
TLSA,2021-02-05,4.1814,4.1814,4.0101,4.08,57762,4.080000000000001,3.986143344598256,3.767824000837654,0.21831934376060147,0.18566852171576873
TLSA,2021-02-04,4.31,4.35,4.13,4.1646,128822,4.164600000000002,3.969078498161575,3.7428499209046664,0.2262285772569088,0.1775058162045604
TLSA,2021-02-03,4.21,4.4661,4.1925,4.325,392053,4.325000000000003,3.933529134190952,3.7091099145770383,0.22441921961391254,0.1653251259414733
TLSA,2021-02-02,4.98,4.99,4.32,4.47,1035179,4.4700000000000015,3.8623526131347616,3.6598387077432015,0.2025139053915588,0.15055160252336314
TLSA,2021-02-01,3.73,3.8,3.574,3.68,56757,3.6800000000000015,3.7518712700683534,3.595025804362659,0.15684546570569502,0.13756102680631388
TLSA,2021-01-29,3.84,4.05,3.84,4.0199,116556,4.019900000000002,3.764938773717146,3.5882278687116718,0.17671090500547404,0.1327399170814687
TLSA,2021-01-28,3.5,3.76,3.45,3.63,82567,3.6300000000000017,3.718582187120263,3.553694098208605,0.16488808891165796,0.12174717010046737
TLSA,2021-01-27,3.95,4.1857,3.8,3.925,246710,3.9250000000000016,3.734688039323947,3.5475896260652933,0.18709841325865414,0.11096194039766971
TLSA,2021-01-26,3.81,4.09,3.78,4.07,132427,4.070000000000002,3.7000858646555743,3.517396796150517,0.1826890685050575,0.09192782218242371
TLSA,2021-01-25,3.91,3.9356,3.75,3.83,182262,3.830000000000002,3.6328287491384055,3.4731885398425577,0.15964020929584732,0.06923751060176525
TLSA,2021-01-22,4.25,4.3,4.07,4.28,130684,4.280000000000003,3.5969794307999337,3.444643623029963,0.15233580776997124,0.04663683592824462
TLSA,2021-01-21,4.34,4.445,4.0,4.1154,882510,4.115400000000002,3.4727938727635586,3.37781511287236,0.09497875989119864,0.020212092967813074
TLSA,2021-01-20,3.5,4.08,3.42,3.9999,504670,3.999900000000001,3.3559563950842057,3.3188083219021487,0.03714807318205704,0.0015204262369666781
TLSA,2021-01-19,3.11,3.145,3.0102,3.11,95141,3.1100000000000017,3.2388757396449703,3.2643209876543207,-0.02544524800935033,-0.0073864854993059125
TLSA,2021-01-19,3.11,3.145,3.0102,3.11,95141,3.1100000000000017,3.2623076923076924,3.2766666666666664,-0.014358974358974487,-0.0028717948717948086
TLSA,2021-01-15,3.16,3.3,3.1,3.29,88962,3.2900000000000023,3.29,3.29,0.0,0.0
