Symbol,Date,Open,High,Low,Close,Volume,PIXY SMA,PIXY spanTwelveEMA,PIXY spanTwntySixEMA,PIXY_x,PIXY_y
PIXY,2020-11-18,2.28,2.29,2.25,2.2634,30599,2.2634,2.225614551778376,2.4086926418679018,-0.18307809008952614,-0.2415120969470991
PIXY,2020-11-17,2.23,2.2463,2.18,2.2006,33789,2.200600000000001,2.2187444702835353,2.420316053217334,-0.20157158293379893,-0.25612059866149245
PIXY,2020-11-16,2.2,2.2636,2.2,2.22,30868,2.22,2.2220434648805414,2.4378933374747205,-0.2158498725941791,-0.26975785259341595
PIXY,2020-11-13,2.15,2.17,2.15,2.16,41231,2.1600000000000006,2.222415003949731,2.4553248044726983,-0.2329098005229673,-0.28323484759322515
PIXY,2020-11-12,2.21,2.21,2.1489,2.15,31128,2.1500000000000004,2.233763186486046,2.4789507888305145,-0.2451876023444681,-0.29581610936078956
PIXY,2020-11-11,2.28,2.2823,2.18,2.21,59879,2.2100000000000004,2.248992856756236,2.505266851936955,-0.2562739951807189,-0.3084732361148698
PIXY,2020-11-10,2.28,2.2892,2.2213,2.25,18910,2.250000000000001,2.256082467075552,2.5288882000919117,-0.2728057330163596,-0.32152304634840756
PIXY,2020-11-09,2.2,2.29,2.18,2.23,64604,2.2300000000000004,2.2571883701801974,2.5511992560992645,-0.2940108859190671,-0.3337023746814195
PIXY,2020-11-06,2.1699,2.1752,2.13,2.13,31455,2.1300000000000003,2.262131710212961,2.5768951965872056,-0.314763486374245,-0.3436252468720076
PIXY,2020-11-05,2.13,2.19,2.1243,2.19,28566,2.1900000000000004,2.286155657524408,2.6126468123141824,-0.3264911547897742,-0.3508406869964483
PIXY,2020-11-04,2.14,2.18,2.1267,2.13,19819,2.1300000000000003,2.3036385043470284,2.646458557299317,-0.3428200529522889,-0.35692807004811683
PIXY,2020-11-03,2.17,2.26,2.17,2.22,55162,2.2200000000000006,2.335209141501033,2.6877752418832626,-0.35256610038222913,-0.3604550743220739
PIXY,2020-11-02,2.11,2.14,2.08,2.1301,113160,2.130100000000001,2.356156258137585,2.7251972612339235,-0.3690410030963385,-0.3624273178070349
PIXY,2020-10-30,2.21,2.23,2.133,2.23,52527,2.230000000000001,2.3972573959807826,2.7728050421326373,-0.3755476461518548,-0.36077389648470903
PIXY,2020-10-29,2.142,2.142,2.02,2.08,79928,2.0800000000000005,2.427667831613652,2.8162294455032484,-0.3885616138895967,-0.3570804590679226
PIXY,2020-10-28,2.22,2.22,2.11,2.17,98720,2.17,2.490880164634316,2.8751278011435084,-0.38424763650919225,-0.3492101703625042
PIXY,2020-10-27,2.29,2.29,2.22,2.24,19458,2.24,2.549222012749646,2.931538025234989,-0.3823160124853429,-0.34045080382583215
PIXY,2020-10-26,2.31,2.34,2.23,2.34,138819,2.34,2.6054441968859456,2.986861067253788,-0.3814168703678424,-0.32998450166095444
PIXY,2020-10-23,2.38,2.38,2.323,2.34,34423,2.34,2.653706778137936,3.0386099526340917,-0.3849031744961553,-0.31712640948423243
PIXY,2020-10-22,2.35,2.38,2.325,2.36,31178,2.3599999999999994,2.7107443741630157,3.0944987488448183,-0.3837543746818031,-0.30018221823125163
PIXY,2020-10-21,2.3553,2.41,2.315,2.315,169025,2.314999999999999,2.774516078556291,3.153258648752404,-0.3787425701961129,-0.27928917911861384
PIXY,2020-10-20,2.42,2.42,2.31,2.34,211742,2.3399999999999994,2.858064456475617,3.2203193406525963,-0.3622548841769797,-0.2544258313492391
PIXY,2020-10-19,2.58,2.59,2.5201,2.525,105103,2.5249999999999995,2.9522579940166382,3.2907448879048036,-0.3384868938881662,-0.22746856814230398
PIXY,2020-10-16,2.58,2.5978,2.5,2.51,397645,2.51,3.0299412656560265,3.3520044789371877,-0.3220632132811616,-0.19971398670583862
PIXY,2020-10-15,2.79,3.0,2.66,2.66,2531821,2.66,3.1244760412298493,3.4193648372521634,-0.2948887960223141,-0.16912668006200796
PIXY,2020-10-14,2.65,2.6794,2.61,2.6616,85123,2.6616,3.2089262305443675,3.4801140242323365,-0.27118779368796897,-0.1376861510719314
PIXY,2020-10-13,2.63,2.63,2.54,2.5879,120972,2.5878999999999994,3.3084400906433435,3.5455951461709234,-0.2371550555275799,-0.10431074041792202
PIXY,2020-10-12,2.84,2.85,2.73,2.74,179354,2.74,3.4394473798512237,3.622210757864597,-0.18276337801337306,-0.07109966164050754
PIXY,2020-10-09,2.69,2.79,2.68,2.745,844941,2.7449999999999988,3.5666196307332654,3.692787618493765,-0.1261679877605002,-0.043183732547291166
PIXY,2020-10-08,3.58,3.6,3.55,3.56,94707,3.56,3.7160050181393127,3.7686106279732665,-0.05260560983395335,-0.022437668743989017
PIXY,2020-10-07,3.63,3.64,3.55,3.56,18494,3.5599999999999987,3.744369566891916,3.785299478211128,-0.040929911319212316,-0.014895683471497823
PIXY,2020-10-06,3.66,3.74,3.64,3.6794,10009,3.679399999999999,3.7778913063268083,3.8033234364680184,-0.02543213014120882,-0.008387126509569201
PIXY,2020-10-05,3.72,3.7293,3.65,3.65,6293,3.649999999999999,3.795798816568048,3.81323731138546,-0.01743849481741222,-0.004125875601658962
PIXY,2020-10-02,3.87,3.87,3.7744,3.78,34001,3.779999999999999,3.822307692307693,3.826296296296296,-0.003988603988603678,-0.0007977207977206469
PIXY,2020-10-01,3.83,3.85,3.81,3.83,8566,3.83,3.83,3.83,0.0,0.0
