Symbol,Date,Open,High,Low,Close,Volume,ASC SMA,ASC spanTwelveEMA,ASC spanTwntySixEMA,ASC_x,ASC_y
ASC,2020-12-22,3.08,3.1,3.06,3.07,9982,3.07,3.2775413163887754,3.2699427357441064,0.007598580644669006,0.05550214242759176
ASC,2020-12-21,3.16,3.2,3.07,3.0955,73038,3.0955,3.3152761011867344,3.2859381546036346,0.029337946583099406,0.06747803287332245
ASC,2020-12-18,3.3,3.31,3.2559,3.275,80817,3.275,3.355235392311595,3.301173206971926,0.05406218533966901,0.0770130544458781
ASC,2020-12-17,3.28,3.34,3.27,3.295,3233,3.2950000000000004,3.3698236454591584,3.3032670635296806,0.06655658192947732,0.08275077172243035
ASC,2020-12-16,3.44,3.46,3.36,3.39,10101,3.390000000000001,3.3834279446335502,3.303928428612055,0.07949951602149508,0.08679931917066849
ASC,2020-12-15,3.34,3.4,3.33,3.375,18895,3.3750000000000004,3.3822330254760136,3.2970427029010194,0.08519032257499415,0.08862426995796184
ASC,2020-12-14,3.55,3.55,3.45,3.45,12745,3.450000000000001,3.3835481210171072,3.290806119133101,0.09274200188400616,0.08948275680370377
ASC,2020-12-11,3.56,3.56,3.45,3.5,15974,3.5000000000000013,3.3714659612020363,3.2780706086637483,0.09339535253828668,0.08866794553362815
ASC,2020-12-10,3.36,3.44,3.33,3.43,16591,3.430000000000001,3.3480961359660424,3.2603162573568487,0.08777987860919279,0.08748609378246319
ASC,2020-12-09,3.36,3.38,3.33,3.36,15569,3.3600000000000008,3.333204524323504,3.246741557945397,0.08646296637810691,0.08741264757578057
ASC,2020-12-08,3.28,3.39,3.28,3.39,18691,3.390000000000001,3.32833261965505,3.2376808825810293,0.09065173707402074,0.08765006787519898
ASC,2020-12-07,3.38,3.3956,3.29,3.35,20836,3.350000000000001,3.317120368683241,3.2254953531875112,0.09162501549572966,0.08689965057549354
ASC,2020-12-04,3.27,3.41,3.27,3.4,35699,3.400000000000001,3.3111422538983764,3.2155349814425125,0.09560727245586342,0.08571830934543449
ASC,2020-12-03,3.28,3.31,3.26,3.31,9031,3.3100000000000014,3.294986300061717,3.2007777799579133,0.09420852010380364,0.08324606856782714
ASC,2020-12-02,3.24,3.25,3.23,3.23,6791,3.2300000000000013,3.2922565364365743,3.1920400023545463,0.10021653408202802,0.08050545568383301
ASC,2020-12-01,3.39,3.4,3.375,3.39,8684,3.390000000000001,3.3035759066977697,3.18900320254291,0.11457270415485965,0.07557768608428425
ASC,2020-11-30,3.46,3.52,3.4,3.4,21921,3.400000000000001,3.287862435188273,3.172923458746342,0.1149389764419304,0.0658289315666404
ASC,2020-11-27,3.47,3.54,3.47,3.5,11212,3.5000000000000004,3.2674737870406867,3.1547573354460496,0.11271645159463704,0.05355142034781777
ASC,2020-11-27,3.47,3.54,3.47,3.5,11212,3.5,3.2251962937753573,3.127137922281734,0.0980583714936234,0.038760162536112946
ASC,2020-11-25,3.46,3.54,3.4,3.52,108468,3.52,3.1752319835526945,3.097308956064273,0.0779230274884215,0.023935610296735327
ASC,2020-11-24,3.45,3.57,3.45,3.57,56912,3.57,3.112546889653185,3.063493672549414,0.049053217103770315,0.010438755998813784
ASC,2020-11-23,3.1,3.155,3.09,3.145,22623,3.145,3.029373596862855,3.0229731663533683,0.0064004305094869105,0.0007851407225745413
ASC,2020-11-20,2.95,2.97,2.95,2.965,52070,2.9649999999999994,3.0083506144742835,3.0132110196616373,-0.0048604051873542,-0.00061868172415344
ASC,2020-11-19,2.93,2.97,2.885,2.97,108217,2.97,3.0162325443786986,3.0170679012345683,-0.0008353568558701062,0.00044174914164663904
ASC,2020-11-18,2.95,3.12,2.95,3.065,100032,3.065,3.0246384615384616,3.020833333333333,0.003805128205128128,0.0007610256410257144
ASC,2020-11-17,3.0,3.07,2.9623,3.0173,33906,3.0173,3.0173,3.0173,0.0,0.0
