Symbol,Date,Open,High,Low,Close,Volume,RUBY SMA,RUBY spanTwelveEMA,RUBY spanTwntySixEMA,RUBY_x,RUBY_y
RUBY,2020-12-22,7.55,7.7575,7.405,7.7,52430,7.7,7.412338936226129,6.8972804786858255,0.5150584575403023,0.5680914484558655
RUBY,2020-12-21,7.39,7.5,7.13,7.41,44863,7.4099999999999975,7.360036924630878,6.833062916980691,0.5269740076501863,0.581349696184756
RUBY,2020-12-18,7.32,7.66,7.2601,7.52,155438,7.52,7.35095272910922,6.786907950339148,0.5640447787700724,0.5949436183183983
RUBY,2020-12-17,7.05,7.55,7.05,7.15,108311,7.15,7.320216861674532,6.728260586366278,0.5919562753082541,0.6026683282054799
RUBY,2020-12-16,7.64,8.06,7.5006,7.67,201842,7.67,7.351165381978995,6.694521433275582,0.6566439487034135,0.6053463414297863
RUBY,2020-12-15,8.0635,8.07,7.01,7.2988,668188,7.2988,7.293195451429721,6.616483147937628,0.6767123034920939,0.5925219396113794
RUBY,2020-12-14,6.44,8.81,6.44,8.81,516583,8.810000000000002,7.292176442598762,6.5618977997726375,0.7302786428261232,0.5714743486412011
RUBY,2020-12-11,7.67,7.75,7.39,7.39,26529,7.390000000000002,7.0162085230712625,6.382049623754449,0.6341588993168141,0.5317732750949702
RUBY,2020-12-10,7.56,7.58,7.04,7.5093,35409,7.509300000000002,6.948246436356947,6.3014135936548055,0.6468328427021417,0.5061768690395094
RUBY,2020-12-09,8.12,8.165,7.9,8.06,31447,8.060000000000002,6.846236697512755,6.20478268114719,0.6414540163655662,0.4710128756238513
RUBY,2020-12-08,7.55,7.7932,7.55,7.69,25327,7.690000000000002,6.625552460696894,6.056365295638965,0.5691871650579285,0.4284025904384228
RUBY,2020-12-07,7.13,7.19,7.13,7.155,5452,7.155000000000002,6.432016544459965,5.925674519290083,0.5063420251698831,0.3932064467835463
RUBY,2020-12-04,6.82,7.0,6.65,6.925,3721,6.9250000000000025,6.300565007089051,5.827328480833289,0.4732365262557616,0.36492255218696235
RUBY,2020-12-03,6.59,6.79,6.59,6.79,8893,6.790000000000003,6.1870313720143315,5.7395147592999525,0.4475166127143808,0.3378440586697625
RUBY,2020-12-02,6.54,6.54,6.3005,6.345,7703,6.3450000000000015,6.077400712380575,5.6554759400439485,0.4219247723366264,0.31042592015860837
RUBY,2020-12-01,6.25,6.39,6.24,6.35,8854,6.3500000000000005,6.028746296449771,5.6003140152474655,0.4284322812023067,0.28255120711410386
RUBY,2020-11-30,6.91,6.91,6.6608,6.6608,16229,6.6608,5.970336532167911,5.540339136467261,0.4299973957006502,0.24608093859205332
RUBY,2020-11-27,6.61,6.78,6.57,6.73,13490,6.73,5.844797719834803,5.450702267384641,0.3940954524501628,0.2001018243149041
RUBY,2020-11-27,6.61,6.78,6.57,6.73,13490,6.73,5.683851850713858,5.3483584487754126,0.33549340193844657,0.15160341728108961
RUBY,2020-11-25,6.44,6.47,6.4,6.46,4028,6.460000000000001,5.4936430962981975,5.2378271246774455,0.2558159716207511,0.10563092111675061
RUBY,2020-11-24,5.99,6.16,5.9301,6.1,9574,6.1000000000000005,5.317941841079686,5.140053294651642,0.1778885464280453,0.06808465849075027
RUBY,2020-11-23,5.6,5.76,5.56,5.76,25895,5.76,5.1757494485487205,5.063257558223773,0.11249189032494744,0.040633686506426715
RUBY,2020-11-20,5.37,5.37,5.2648,5.31,12225,5.3100000000000005,5.06952207555758,5.0075181628816745,0.06200391267590444,0.022669135551796532
RUBY,2020-11-19,5.23,5.263999999999999,5.01,5.21,5971,5.21,5.025798816568048,4.983319615912208,0.042479200655839655,0.01283544127076933
RUBY,2020-11-18,5.28,5.33,5.18,5.28,25399,5.28,4.992307692307693,4.9651851851851845,0.02712250712250785,0.005424501424501749
RUBY,2020-11-17,4.98,5.0,4.9238,4.94,7664,4.94,4.94,4.94,0.0,0.0
