Symbol,Date,Open,High,Low,Close,Volume,CPPKF SMA,CPPKF spanTwelveEMA,CPPKF spanTwntySixEMA,CPPKF_x,CPPKF_y
CPPKF,2020-12-22,0.18100000000000002,0.18100000000000002,0.18,0.18100000000000002,5918,0.18100000000000002,0.18204433330736505,0.17570561862070005,0.006338714686664998,0.007388606238647066
CPPKF,2020-12-21,0.18193299999999998,0.1901,0.18179,0.18179,44904,0.18179000000000006,0.1822342120905223,0.17528206811035604,0.006952143980166248,0.007651079126642583
CPPKF,2020-12-18,0.1972,0.1972,0.1857,0.1857,4197,0.1857000000000001,0.1823149779251627,0.17476143355918453,0.007553544365978188,0.007825812913261666
CPPKF,2020-12-17,0.18921,0.1894,0.18921,0.1894,4347,0.18940000000000004,0.1816995193661014,0.1738863482439193,0.007813171122182105,0.007893880050082536
CPPKF,2020-12-16,0.17125,0.1908,0.17125,0.18245,16261,0.18245,0.18029943197811985,0.1726452561034328,0.0076541758746870294,0.007914057282057643
CPPKF,2020-12-15,0.19,0.1905,0.18775,0.1905,3000,0.1905,0.17990841961050527,0.17186087659170746,0.008047543018797844,0.00797902763390029
CPPKF,2020-12-14,0.1885,0.1885,0.187,0.187,6078,0.187,0.17798267772150622,0.17036974671904406,0.0076129310024621874,0.007961898787675909
CPPKF,2020-12-11,0.17800000000000002,0.18,0.17800000000000002,0.18,62109,0.18,0.1763431645799619,0.16903932645656755,0.007303838123394356,0.008049140733979346
CPPKF,2020-12-10,0.17800000000000002,0.17800000000000002,0.17800000000000002,0.17800000000000002,500,0.17800000000000002,0.17567828541268227,0.16816247257309294,0.007515812839589325,0.008235466386625593
CPPKF,2020-12-09,0.1785,0.17945999999999998,0.1785,0.17945999999999998,2469,0.17945999999999998,0.1752561554877154,0.16737547037894038,0.007880685108775015,0.008415379773384659
CPPKF,2020-12-08,0.17605,0.17605,0.17,0.17,1689,0.17,0.17449182012184547,0.1664087080092556,0.008083112112589858,0.00854905343953707
CPPKF,2020-12-07,0.1669,0.1669,0.1669,0.1669,880,0.16689999999999994,0.17530851468945371,0.16612140464999606,0.009187110039457658,0.008665538771273873
CPPKF,2020-12-04,0.18,0.18,0.18,0.18,22178,0.18,0.17683733554208167,0.16605911702199574,0.010778218520085923,0.008535145954227927
CPPKF,2020-12-03,0.1899,0.1899,0.18,0.18,26525,0.18,0.17626230564064202,0.1649438463837554,0.011318459256886598,0.007974377812763427
CPPKF,2020-12-02,0.191,0.195,0.191,0.195,13000,0.195,0.17558272484803145,0.16373935409445586,0.011843370753575609,0.007138357451732627
CPPKF,2020-12-01,0.2,0.2087,0.19712000000000002,0.2,62326,0.2,0.17205231118403716,0.1612385024220123,0.010813808762024868,0.005962104126271886
CPPKF,2020-11-30,0.1933,0.2047,0.19,0.2,75484,0.2,0.16697091321749846,0.1581375826157733,0.00883333060172517,0.0047491779673336405
CPPKF,2020-11-27,0.1776,0.1788,0.1691,0.1691,70160,0.16909999999999994,0.1609656247115891,0.15478858922503516,0.0061770354865539326,0.0037281398087357573
CPPKF,2020-11-27,0.1776,0.1788,0.1691,0.1691,70160,0.16909999999999994,0.15948664738642349,0.153643676363038,0.0058429710233854895,0.003115915889281213
CPPKF,2020-11-25,0.165,0.1712,0.165,0.1651,41490,0.16509999999999994,0.15773876509304596,0.15240717047208105,0.005331594620964886,0.002434152105755143
CPPKF,2020-11-24,0.18,0.1849,0.18,0.1849,5177,0.1849,0.15640035874632702,0.15139174410984754,0.005008614636479475,0.0017097914769527004
CPPKF,2020-11-23,0.1525,0.162,0.1525,0.162,15400,0.16199999999999998,0.15121860579111376,0.14871108363863536,0.002507522152478403,0.0008850856870710065
CPPKF,2020-11-20,0.16,0.16,0.16,0.16,1000,0.15999999999999995,0.14925835229858894,0.14764797032972618,0.0016103819688627894,0.0004794765707191573
CPPKF,2020-11-19,0.165,0.165,0.14665,0.15,14912,0.14999999999999994,0.14730532544378694,0.14665980795610425,0.0006455174876827119,0.00019675022118325616
CPPKF,2020-11-18,0.15852,0.15852,0.15,0.1513,40830,0.1512999999999999,0.1468153846153846,0.1463925925925926,0.0004227920227919957,8.455840455839914e-05
CPPKF,2020-11-17,0.145,0.146,0.145,0.146,15000,0.1459999999999999,0.146,0.146,0.0,0.0
