Symbol,Date,Open,High,Low,Close,Volume,LXRX SMA,LXRX spanTwelveEMA,LXRX spanTwntySixEMA,LXRX_x,LXRX_y
LXRX,2020-11-27,1.65,1.66,1.59,1.6218,329673,1.6218,1.501252272793554,1.430903043303919,0.07034922948963508,0.035193523806032356
LXRX,2020-11-27,1.65,1.66,1.59,1.6218,329673,1.6218,1.4793345042105637,1.4156312867682326,0.0637032174423311,0.02640459738513167
LXRX,2020-11-25,1.62,1.64,1.55,1.6,408000,1.6,1.4534316867943025,1.3991377897096913,0.05429389708461119,0.01707994237083181
LXRX,2020-11-24,1.48,1.49,1.45,1.46,207275,1.46,1.4267829025750849,1.3830688128864663,0.04371408968861812,0.007776453692386966
LXRX,2020-11-23,1.49,1.5,1.44,1.4534,384289,1.4534000000000002,1.4207434303160091,1.376914317917384,0.043829112398625185,-0.0012079553066709336
LXRX,2020-11-20,1.53,1.56,1.48,1.5019999999999998,384058,1.5019999999999998,1.4148058721916472,1.3707954633507746,0.0440104088408726,-0.012467222232994965
LXRX,2020-11-19,1.57,1.58,1.49,1.51,764881,1.5100000000000002,1.3989523944083102,1.3602991004188367,0.03865329398947348,-0.02658663000146185
LXRX,2020-11-18,1.8,1.815,1.65,1.65,2690293,1.65,1.3787619206643666,1.3483230284523438,0.030438892212022894,-0.04289661099919568
LXRX,2020-11-17,2.25,2.38,1.88,1.95,36859392,1.95,1.3294459062397062,1.3241888707285312,0.005257035511174957,-0.06123048680200032
LXRX,2020-11-16,1.28,1.31,1.27,1.285,77966,1.2850000000000004,1.2166178891923798,1.2741239803868138,-0.05750609119443384,-0.07785236738029414
LXRX,2020-11-13,1.23,1.23,1.19,1.2101,72206,1.2101000000000004,1.2041847781364492,1.2732538988177589,-0.06906912068130966,-0.08293893642675915
LXRX,2020-11-12,1.25,1.26,1.23,1.23,51671,1.2300000000000002,1.2031092832521673,1.2783062107231795,-0.07519692747101248,-0.0864063903631215
LXRX,2020-11-11,1.29,1.29,1.225,1.235,151521,1.2350000000000003,1.1982200620252883,1.2821707075810342,-0.0839506455557455,-0.0892087560861488
LXRX,2020-11-10,1.17,1.23,1.1666,1.2234,162467,1.2234,1.191532800575341,1.2859443641875168,-0.09441156361217584,-0.09052328371874951
LXRX,2020-11-09,1.03,1.14,1.03,1.14,241796,1.14,1.185738764316312,1.290947913322518,-0.10520914900620616,-0.08955121374539293
LXRX,2020-11-06,1.11,1.1245,1.069,1.09,107673,1.09,1.194054903282914,1.3030237463883194,-0.10896884310540544,-0.08563672993018968
LXRX,2020-11-05,1.11,1.13,1.08,1.1,50088,1.1000000000000003,1.2129739766070802,1.320065646099385,-0.10709166949230498,-0.07980370163638574
LXRX,2020-11-04,1.1,1.13,1.1,1.11,37729,1.1100000000000003,1.2335146996265491,1.3376708977873355,-0.1041561981607868,-0.07298170967240598
LXRX,2020-11-03,1.06,1.11,1.06,1.1001,165520,1.1001000000000003,1.2559719177404671,1.3558845696103226,-0.09991265186985564,-0.06518808755031089
LXRX,2020-11-02,1.09,1.09,1.05,1.075,109870,1.0750000000000004,1.284312266420552,1.3763473351791482,-0.09203506875859624,-0.05650694647042475
LXRX,2020-10-30,1.15,1.16,1.125,1.13,84792,1.13,1.3223690421333796,1.40045512199348,-0.07808607986010041,-0.04762491589838187
LXRX,2020-10-29,1.25,1.25,1.16,1.2,200545,1.2000000000000002,1.357345231612176,1.4220915317529583,-0.06474630014078264,-0.040009624907952235
LXRX,2020-10-28,1.3,1.3,1.26,1.27,39140,1.2700000000000002,1.3859534555416624,1.4398588542931954,-0.053905398751533,-0.03382545609974469
LXRX,2020-10-27,1.33,1.33,1.31,1.325,22708,1.3250000000000002,1.4070359020037826,1.4534475626366512,-0.04641166063286861,-0.028805470436797605
LXRX,2020-10-26,1.32,1.3499,1.32,1.33,28501,1.3300000000000003,1.421951520549925,1.4637233676475834,-0.04177184709765847,-0.02440392288777985
LXRX,2020-10-23,1.37,1.375,1.35,1.365,37852,1.3650000000000002,1.4386699788317294,1.4744212370593899,-0.03575125822766068,-0.020061941835310196
LXRX,2020-10-22,1.4,1.4,1.36,1.36,39825,1.3600000000000003,1.4520645204374985,1.4831749360241413,-0.03111041558664285,-0.016139612737222628
LXRX,2020-10-21,1.39,1.41,1.39,1.4,33549,1.4000000000000006,1.4688035241534072,1.4930289309060725,-0.02422540675266527,-0.012396912024867573
LXRX,2020-10-20,1.42,1.4343,1.405,1.41,77355,1.4100000000000006,1.4813132558176632,1.5004712453785582,-0.01915798956089509,-0.009439788342918146
LXRX,2020-10-19,1.49,1.5,1.45,1.455,50923,1.4550000000000007,1.4942793023299654,1.507708945008843,-0.013429642678877585,-0.00701023803842391
LXRX,2020-10-16,1.5,1.51,1.49,1.51,16777,1.510000000000001,1.5014209936626866,1.5119256606095504,-0.010504666946863805,-0.005405386878310492
LXRX,2020-10-15,1.46,1.46,1.43,1.455,49365,1.4550000000000007,1.4998611743286296,1.5120797134583144,-0.012218539129684736,-0.004130566861172163
LXRX,2020-10-14,1.46,1.48,1.44,1.44,69701,1.4400000000000004,1.5080177514792896,1.5166460905349797,-0.008628339055689827,-0.0021085737940440196
LXRX,2020-10-13,1.49,1.5075,1.48,1.495,19107,1.4950000000000006,1.5203846153846152,1.5227777777777778,-0.0023931623931625623,-0.00047863247863251247
LXRX,2020-10-12,1.57,1.57,1.52,1.525,24828,1.5250000000000004,1.525,1.525,0.0,0.0
