Symbol,Date,Open,High,Low,Close,Volume,ABMC SMA,ABMC spanTwelveEMA,ABMC spanTwntySixEMA,ABMC_x,ABMC_y
ABMC,2020-11-27,0.1,0.1055,0.1,0.1055,6500,0.1055,0.1317352442256049,0.16226720672776215,-0.030531962502157256,-0.022625202954026938
ABMC,2020-11-27,0.1,0.1055,0.1,0.1055,6500,0.1055,0.13650528863026032,0.16680858326598313,-0.03030329463572282,-0.020648513066994355
ABMC,2020-11-25,0.1006,0.1056,0.1006,0.1056,1100,0.1056,0.14214261383576218,0.1717132699272618,-0.029570656091499614,-0.018234817674812238
ABMC,2020-11-24,0.10845,0.1095,0.1001,0.1047,25245,0.10470000000000004,0.1487867254422644,0.17700233152144276,-0.02821560607917833,-0.015400858070640393
ABMC,2020-11-23,0.10705,0.11,0.10099999999999999,0.1015,44165,0.10150000000000002,0.15680249370449428,0.18278651804315815,-0.025984024338663897,-0.012197171068505899
ABMC,2020-11-20,0.1093,0.1125,0.10737999999999999,0.1125,18800,0.11250000000000004,0.16685749255985688,0.18928943948661084,-0.02243194692675396,-0.008750457750966405
ABMC,2020-11-19,0.11075,0.1125,0.109,0.1125,5368,0.11250000000000004,0.1767406730252854,0.1954325946455397,-0.01869192162025429,-0.005330085457019516
ABMC,2020-11-18,0.11,0.115,0.10685,0.11,82300,0.11000000000000004,0.1884207953935191,0.20206720221718288,-0.013646406823663748,-0.0019896264162108223
ABMC,2020-11-17,0.23,0.23,0.11,0.111,1242694,0.11100000000000004,0.2026791218287044,0.20943257839455748,-0.0067534565658530785,0.0009245686856524161
ABMC,2020-11-16,0.23,0.23,0.20625,0.21,11000,0.21,0.21934805307028699,0.2173071846661221,0.002040868404164925,0.0028440749985287894
ABMC,2020-11-13,0.2379,0.2379,0.22495,0.2379,14800,0.2379000000000001,0.22104769908306648,0.21789175943941186,0.0031559396436545983,0.0030448766471197625
ABMC,2020-11-12,0.2299,0.24,0.2161,0.2161,13700,0.2161,0.21798364437089676,0.2162911001945648,0.0016925441763319116,0.0030171108979860466
ABMC,2020-11-11,0.203025,0.233,0.20275,0.233,18400,0.2330000000000001,0.21832612516560526,0.21630638821013,0.0020197369554752487,0.0033482525783995664
ABMC,2020-11-10,0.20005,0.20005,0.2,0.2,3000,0.20000000000000004,0.215658147922988,0.2149708992669404,0.0006872486560476343,0.0036803814841306452
ABMC,2020-11-09,0.2001,0.2001,0.18,0.18,40290,0.18,0.21850508390898585,0.2161685712082956,0.002336512700690213,0.004428664691151405
ABMC,2020-11-06,0.21,0.2197,0.21,0.2197,10718,0.2197,0.22550600825607414,0.21906205690495925,0.006443951351114918,0.004951702688766695
ABMC,2020-11-05,0.22,0.24,0.22,0.24,800,0.24,0.2265616461208149,0.21901102145735604,0.007550624663458932,0.004578640523179646
ABMC,2020-11-04,0.2055,0.22,0.1998,0.22,990,0.22,0.2241183090518722,0.21733190317394446,0.006786405877927726,0.003835644488109844
ABMC,2020-11-03,0.22,0.22,0.21,0.21,38156,0.20999999999999994,0.22486709251584894,0.21711845542785999,0.0077486370879889235,0.0030979541406553728
ABMC,2020-11-02,0.25,0.25,0.24,0.242225,89900,0.24222499999999994,0.2275702002460033,0.2176879318620888,0.009882268383914455,0.0019352834038219775
ABMC,2020-10-30,0.2566,0.268,0.2566,0.268,3700,0.2679999999999999,0.22490569119982204,0.21572496641105596,0.00918072478876611,-5.146284120115599e-05
ABMC,2020-10-29,0.265,0.275,0.26,0.275,9250,0.2749999999999999,0.2170703623270624,0.2115429637239404,0.005527398603121986,-0.0023595097486929653
ABMC,2020-10-28,0.225,0.23,0.225,0.2251,8000,0.22509999999999986,0.2065377009319828,0.20646640082185566,7.130011012718152e-05,-0.004331236836646703
ABMC,2020-10-27,0.23,0.23,0.2198,0.23,17600,0.22999999999999984,0.20316273746507066,0.2049757128876041,-0.0018129754225334747,-0.00543187107334016
ABMC,2020-10-26,0.2295,0.2295,0.21,0.21975,20200,0.21974999999999986,0.19828323518599253,0.20297376991861246,-0.0046905347326199045,-0.006336594986041838
ABMC,2020-10-23,0.2155,0.23,0.2003,0.2013,25973,0.20129999999999987,0.19438018703799115,0.20163167151210146,-0.007251484474110281,-0.006748110049397313
ABMC,2020-10-22,0.20485,0.20485,0.1927,0.1927,3177,0.1926999999999999,0.1931220392267168,0.2016582052330696,-0.008536166006352763,-0.006622266443219064
ABMC,2020-10-21,0.1899,0.1899,0.182775,0.182775,2027,0.18277499999999988,0.1931987736315744,0.20237486165171514,-0.009176088020140749,-0.006143791552435631
ABMC,2020-10-20,0.1751,0.19,0.1751,0.19,2100,0.18999999999999986,0.1950940052009516,0.2039428505838524,-0.008848845382900787,-0.005385717435509352
ABMC,2020-10-19,0.1787,0.1787,0.1787,0.1787,500,0.17869999999999986,0.19602018796476092,0.20505827863056056,-0.009038090665799609,-0.004519935448661492
ABMC,2020-10-16,0.18,0.18,0.18,0.18,1050,0.17999999999999985,0.1991693130492629,0.20716694092100535,-0.007997627871742434,-0.003390396644376956
ABMC,2020-10-15,0.174225,0.174225,0.174225,0.174225,240,0.17422499999999985,0.2026546426945835,0.2093402961946858,-0.0066856535001023065,-0.0022385888375355853
ABMC,2020-10-14,0.185,0.187225,0.17800000000000002,0.17800000000000002,10749,0.1779999999999999,0.20782366863905324,0.21214951989026065,-0.004325851251207408,-0.0011268226718939046
ABMC,2020-10-13,0.19395,0.1959,0.19395,0.1959,4500,0.19589999999999988,0.21324615384615386,0.2148814814814815,-0.0016353276353276713,-0.0003270655270655287
ABMC,2020-10-12,0.217,0.2231,0.18100000000000002,0.2164,99950,0.2163999999999999,0.2164,0.2164,0.0,0.0
