Symbol,Date,Open,High,Low,Close,Volume,CERS SMA,CERS spanTwelveEMA,CERS spanTwntySixEMA,CERS_x,CERS_y
CERS,2021-07-14,5.07,5.08,5.06,5.065,12567,5.065,5.377329411969003,5.522238687329766,-0.1449092753607628,-0.06514138942577394
CERS,2021-07-13,5.11,5.13,5.11,5.12,8684,5.12,5.43411657778155,5.558817782316147,-0.1247012045345972,-0.045199417942026726
CERS,2021-07-12,5.26,5.27,5.23,5.24,28065,5.24,5.491228682832741,5.593923204901438,-0.1026945220686972,-0.0253239712938841
CERS,2021-07-09,5.25,5.25,5.18,5.18,26941,5.18,5.536906625165966,5.6222370612935535,-0.0853304361275872,-0.005981333600180815
CERS,2021-07-08,5.11,5.12,5.05,5.06,85363,5.06,5.601798738832505,5.657616026197037,-0.0558172873645324,0.013855942031670801
CERS,2021-07-07,5.46,5.46,5.43,5.44,16342,5.44,5.700307600438415,5.705425308292801,-0.005117707854386,0.0312742493807216
CERS,2021-07-06,5.59,5.59,5.56,5.57,27708,5.57,5.747636255063581,5.726659332956225,0.0209769221073559,0.040372238689498505
CERS,2021-07-06,5.59,5.59,5.56,5.57,27708,5.57,5.779933755984232,5.739192079592723,0.0407416763915096,0.04522106783503416
CERS,2021-07-02,6.1244,6.1244,5.92,6.03,25923,6.03,5.818103529799547,5.75272744596014,0.065376083839407,0.046340915695915294
CERS,2021-07-01,5.91,5.95,5.895,5.94,96511,5.94,5.77957689885401,5.730545641636952,0.0490312572170585,0.04158212366004235
CERS,2021-06-30,5.67,5.73,5.67,5.71,26691,5.71,5.750409062282012,5.713789292967907,0.0366197693141048,0.03971984027078829
CERS,2021-06-29,5.77,5.78,5.76,5.77,9105,5.77,5.757756164515105,5.714092436405339,0.0436637281097658,0.04049485800995915
CERS,2021-06-28,5.86,5.89,5.85,5.865,23292,5.865,5.755530012608761,5.709619831317767,0.0459101812909947,0.03970264048500749
CERS,2021-06-25,5.78,5.82,5.76,5.8,21412,5.8,5.735626378537627,5.697189417823188,0.0384369607144385,0.03815075528351067
CERS,2021-06-24,5.71,5.765,5.71,5.75,17477,5.75,5.723922083726286,5.688964571249043,0.0349575124772432,0.03807920392577869
CERS,2021-06-23,5.62,5.66,5.62,5.64,28316,5.64,5.719180644403792,5.684081736948967,0.0350989074548255,0.038859626787912556
CERS,2021-06-22,5.69,5.69,5.67,5.67,11317,5.67,5.733577125204482,5.687608275904885,0.0459688492995971,0.0397998066211843
CERS,2021-06-21,5.75,5.83,5.7,5.755,20837,5.755,5.745136602514387,5.689016937977276,0.0561196645371113,0.038257545951581096
CERS,2021-06-18,5.83,5.895,5.83,5.88,188327,5.88,5.743343257517004,5.683738293015457,0.0596049645015464,0.03379201630519853
CERS,2021-06-17,5.75,5.75,5.73,5.74,13879,5.74,5.71849657706555,5.668037356456694,0.0504592206088556,0.027338779256111563
CERS,2021-06-16,5.8,5.8,5.759,5.759,8469,5.759,5.71458686380474,5.6622803449732295,0.0523065188315108,0.021558668917925534
CERS,2021-06-15,5.9,5.9,5.8501,5.8501,15737,5.8501,5.706511748132875,5.654542772571088,0.0519689755617864,0.01387170643952921
CERS,2021-06-14,5.98,6.0,5.97,5.98,27704,5.98,5.680404793247943,5.638898194376775,0.0415065988711678,0.004347389158964892
CERS,2021-06-11,5.83,5.84,5.825,5.83,15715,5.83,5.625932937474842,5.611610049926917,0.0143228875479257,-0.004942413269085838
CERS,2021-06-10,5.64,5.64,5.63,5.63,10912,5.63,5.588829835197541,5.59413885392107,-0.0053090187235289,-0.00975873847333874
CERS,2021-06-09,5.67,5.71,5.67,5.7,25470,5.7,5.581344350688003,5.591269962234756,-0.0099256115467527,-0.010871168410791183
CERS,2021-06-08,5.57,5.61,5.57,5.607,21232,5.607,5.559770596267639,5.582571559213536,-0.0228009629458965,-0.011107557626800565
CERS,2021-06-07,5.29,5.38,5.28,5.38,73048,5.38,5.551183431952664,5.580617283950618,-0.029433851997954,-0.008184206297026578
CERS,2021-06-04,5.45,5.48,5.425,5.43,50148,5.43,5.582307692307693,5.596666666666667,-0.0143589743589735,-0.0028717948717947197
CERS,2021-06-03,5.59,5.65,5.59,5.61,45410,5.61,5.61,5.61,0.0,0.0
