Symbol,Date,Open,High,Low,Close,Volume
QTT,2021-02-12,5.0035,5.24,4.69,5.175,2851991
QTT,2021-02-11,4.39,5.14,4.38,5.12,4124289
QTT,2021-02-10,4.34,4.74,4.14,4.5983,4226003
QTT,2021-02-09,3.76,3.85,3.65,3.798,740411
QTT,2021-02-08,3.81,3.829,3.5001,3.6394,1357038
QTT,2021-02-05,3.8145,3.88,3.62,3.66,1750911
QTT,2021-02-04,3.75,3.88,3.56,3.58,2263314
QTT,2021-02-03,2.98,3.35,2.95,3.28,1696645
QTT,2021-02-02,3.09,3.12,2.97,3.02,693793
QTT,2021-02-01,3.15,3.15,3.02,3.0427,697196
QTT,2021-01-29,3.22,3.32,3.12,3.2,971694
QTT,2021-01-28,3.48,3.58,3.45,3.54,1183441
